Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1997,63.455002,48.402,,,,,0.0,0.0,0.0,15.053,-35.514,14.005,2.667,8.841,0.0,,10.001,27.941,-27.719,27.719,0.0,0.0,0.222,0.0,,,,0.0,,,0.222,,0.096,,,0.096,0.096,,38.694,0.24,0.24,0.24,38.694,0.24,0.24,0.24,,,,,,,,,,,17.975,,17.975,,,,,,17.975,0.464542,0.464542,0.0,0.0,0.0,0.0,
06/30/1997,5.363,4.946,,,,,0.0,0.116,0.0,0.301,-2.463,1.37,0.247,0.846,0.0,,0.0,2.9,-1.371,1.371,0.0,0.0,1.529,0.0,,,,-7.983,,,9.512,,9.057,,,9.057,9.057,,38.694,0.23,0.03,0.03,38.694,0.23,0.03,0.03,,,,,,,,,,,1.697,,1.697,,,,,,1.697,0.043857,0.043857,0.035,79.804949,79.804949,0.0,
09/30/1997,62.988998,59.089001,,,,,0.0,2.105,0.0,1.795,-28.708,16.523001,2.917,9.268,0.0,,0.0,34.281,-14.719,14.719,0.0,0.0,19.562,0.0,,,,0.058,,,19.504,,13.722,,,13.722,13.722,,38.694,0.36,0.36,0.36,38.694,0.36,0.36,0.36,,,,,,,,,,,20.200001,,20.200001,,,,,,20.200001,0.522045,0.522045,0.405,77.579552,77.579552,84.287121,
12/31/1997,77.288,75.388,,,,,0.0,1.591,0.0,0.309,-37.291,22.201,3.525,11.565,0.0,,0.0,39.997,-22.214,22.214,0.0,0.0,17.783,0.0,,,,0.0,,,17.783,,12.372,,,12.372,12.372,,38.694,0.32,0.32,0.32,39.108,0.32,0.32,0.32,,,,,,,,,,,26.459,,26.459,,,,,,26.459,0.676562,0.676562,0.405,59.861447,59.861447,59.756605,
03/31/1998,95.602997,88.827003,,,,,0.0,1.776,0.0,5.0,-44.446001,26.530001,4.821,13.095,0.0,,0.0,51.157001,-24.929001,24.929001,0.0,0.0,26.228001,0.0,,,,0.0,,,26.228001,,19.631001,,,19.631001,19.631001,,54.283001,0.36,0.36,0.36,54.902,0.36,0.36,0.36,,,,,,,,,,,29.447001,,29.447001,,,,,,29.447001,0.536356,0.536356,0.405,75.509593,75.509593,84.850748,
06/30/1998,108.041,97.611,,,,,0.0,4.383,0.0,6.047,-49.797,27.403,5.8,16.594,0.0,,0.0,58.243999,-23.813999,23.813999,0.0,0.0,34.43,0.0,,,,-3.564,,,37.994,,29.921,,,29.921,29.921,,61.694,0.48,0.42,0.42,62.284,0.48,0.42,0.42,,,,,,,,,,,38.938,,38.938,,,,,,38.938,0.625169,0.625169,0.404999,64.782332,64.782332,66.064002,
09/30/1998,140.177002,133.199997,,,,,0.0,2.734,0.0,4.243,-70.907002,43.255001,6.129,21.523001,0.0,,0.0,69.27,-33.182999,33.182999,0.0,0.0,36.087002,0.0,,,,0.0,,,36.087002,,25.341,,,25.341,25.341,,63.467999,0.4,0.4,0.4,63.991001,0.4,0.4,0.4,,,,,,,,,,,41.053001,,41.053001,,,,,,41.053001,0.641543,0.641543,0.425,66.246499,66.246499,65.766204,
12/31/1998,170.026,162.06,,,,,0.0,3.517,0.0,4.449,-83.261,53.303,5.753,24.205,0.0,,0.0,86.765,-42.934,42.934,0.0,0.0,43.831,0.0,,,,9.045,,,34.786,,18.226,,,18.226,18.226,9.045,63.528,0.29,0.43,0.5723,68.432,0.29,0.43,0.562,,,,,,,,,,,43.606998,,43.606998,,,,,,43.606998,0.637231,0.637231,0.425,66.694801,66.694801,61.914375,
03/31/1999,187.639999,179.947006,,,,,0.0,4.047,0.0,0.57,-91.753999,57.349998,6.61,27.794001,0.0,,0.0,95.885998,-50.246,50.459,-0.213,0.0,45.639998,0.0,,,,0.0,,,45.639998,,25.773001,,,24.934001,24.934001,,63.534,0.39,0.39,0.39,64.078003,0.39,0.39,0.39,,,,,,,,,,,62.813999,,62.813999,,,,,,62.813999,0.980274,0.980274,0.425,43.355227,43.355227,42.992007,
06/30/1999,191.639999,187.408997,,,,,0.0,3.611,0.0,0.62,-97.101001,60.306,7.352,29.443001,0.0,,0.0,94.539002,-48.990002,49.219002,-0.229,0.0,45.549,0.0,,,,0.0,,,45.549,,28.905001,,,27.223001,27.223001,,65.533997,0.42,0.42,0.42,66.336998,0.41,0.41,0.41,,,,,,,,,,,66.365997,,66.365997,,,,,,66.365997,1.000437,1.000437,0.425,42.481429,42.481429,43.47859,
