Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1989,1647.453003,,,,,,,,-1538.984009,,,108.469002,-48.810999,,46.842999,,,,1.968,59.658003,-29.236,30.422001,0.0,,,30.422003,0.0,30.422001,0.0,,30.422001,30.422001,,210.863998,0.145,0.145,,210.863998,0.145,0.145,0.145,
11/30/1989,1724.149048,,,,,,,,-1596.234985,,,127.914001,-47.101,,43.653,,,,3.448,80.813002,-43.808998,37.004002,0.0,,,37.004004,0.0,37.004002,0.0,,37.004002,37.004002,,212.863998,0.175,0.175,,212.863998,0.175,0.175,0.175,
02/28/1990,1729.256958,,,,,,,,-1667.583008,,,61.674,-50.815001,,46.534,,,,4.281,10.858999,-5.646,5.213,0.0,,,5.212999,0.0,5.213,0.0,,5.213,5.213,,212.427994,0.025,0.025,,212.427994,0.025,0.025,0.025,
05/31/1990,1914.209961,,,,,,,,-1798.687988,,,115.522003,-48.428999,,51.078999,,,,-2.65,67.093004,-23.968,43.125,0.0,,,43.125004,0.0,43.125,0.0,,43.125,43.125,,212.003996,0.2,0.2,0.2,212.003996,0.2,0.2,0.2,
08/31/1990,1916.516968,,,,,,,,-1787.281982,,,129.235001,-46.720001,,43.630001,,,,3.09,82.515,-39.455002,43.060001,0.0,,,43.059998,0.0,43.060001,0.0,,43.060001,43.060001,,213.412003,0.2025,0.2025,,213.412003,0.2025,0.2025,0.2025,
11/30/1990,1993.092041,,,,,,,,-1867.334961,,,125.757004,-49.114001,,42.109001,,,,7.005,76.643003,-39.168999,37.473999,0.0,,,37.474004,0.0,37.473999,0.0,,37.473999,37.473999,,212.171997,0.1775,0.1775,,212.171997,0.1775,0.1775,0.1775,
02/28/1991,1864.485962,,,,,,,,-1832.972046,,,31.514,-200.229004,,46.209,,,,154.020004,-168.715004,63.074001,-105.640999,0.0,,,-105.641003,0.0,-105.640999,0.0,,-105.640999,-105.640999,,213.259995,-0.495,-0.495,,213.259995,-0.495,-0.495,-0.495,
05/31/1991,1914.20105,,,,,,,,-1799.913941,,,114.286994,-63.787992,,49.932003,,,,13.855989,50.499002,-19.493999,31.004999,0.0,,,31.005003,0.0,31.004999,0.0,,31.004999,31.004999,,214.526,0.145,0.145,0.145,214.526,0.145,0.145,0.145,
08/31/1991,1825.785034,,,,,,,,-1745.5,,,80.285004,-46.763999,,42.778999,,,,3.985,33.521004,-16.291,17.23,0.0,,,17.230004,0.0,17.23,0.0,,17.23,17.23,,215.108002,0.08,0.08,,215.108002,0.08,0.08,0.08,
11/30/1991,1943.406006,,,,,,,,-1844.463013,,,98.943001,-48.314998,,41.766998,,,,6.548,50.628003,-24.101,26.527,0.0,,,26.527003,0.0,26.527,0.0,,26.527,26.527,,214.888,0.1225,0.1225,,214.888,0.1225,0.1225,0.1225,
02/29/1992,1889.536011,,,,,,,,-1886.165039,,,3.371,-301.360996,,39.356998,,,,262.003998,-297.989996,104.632004,-193.358002,0.0,,,-193.357992,0.0,-193.358002,0.0,,-193.358002,-193.358002,,215.768005,-0.895,-0.895,,215.768005,-0.895,-0.895,-0.895,
05/31/1992,1891.333008,,,,,,,,-1796.964966,,,94.367996,-27.354999,,40.411999,,,,-13.057,67.012997,-31.194,35.819,0.0,,,35.818997,0.0,35.819,0.0,,35.819,35.819,,216.39,0.165,0.165,0.165,216.39,0.165,0.165,0.165,
08/31/1992,1864.936035,,,,,,,,-1795.212036,,,69.723999,-49.507999,,41.487999,,0.0,,8.02,20.216,-10.068,10.148,55.943001,,,-45.795001,0.0,-45.794998,0.0,,-45.794998,-45.794998,,217.108002,-0.21,0.0475,,217.108002,-0.21,0.0475,0.0475,
11/30/1992,1964.67395,,,,,,,,-1852.019043,,,112.654999,-42.136,,40.382,,0.0,,1.754,70.518999,-35.118,35.401001,0.0,,,35.400999,0.0,35.401001,0.0,,35.401001,35.401001,,217.167999,0.1625,0.1625,,217.167999,0.1625,0.1625,0.1625,
02/28/1993,1939.781006,,,,,,,,-1881.459961,,,58.320999,-41.446002,,40.136002,,0.0,,1.31,16.874998,-8.387,8.488,0.0,,,8.487998,0.0,8.488,0.0,,8.488,8.488,,220.468002,0.0375,0.0375,,220.468002,0.0375,0.0375,0.0375,
05/31/1993,2038.651978,,,,,,,,-416.859009,,,1621.792969,-1525.827034,,38.917,,0.0,,1486.910034,95.965935,-40.194,55.771999,0.0,,,55.771935,0.0,55.771999,0.0,,55.771999,55.771999,,220.755996,0.2525,0.2525,0.2525,220.755996,0.2525,0.2525,0.2525,
08/31/1993,2015.724976,,,,,,,,-1913.817993,,,101.906998,-41.071998,,37.266998,,,,3.805,60.834999,-27.983999,32.851002,0.0,,,32.851,0.0,32.851002,0.0,,32.851002,32.851002,,220.744003,0.15,0.15,,220.744003,0.15,0.15,0.15,
11/30/1993,2121.524902,,,,,,,,-1971.807007,,,149.718002,-39.179,,36.584,,,,2.595,110.539003,-50.848,59.691002,0.0,,,59.691003,0.0,59.691002,0.0,,59.691002,59.691002,,223.399994,0.2675,0.2675,,223.399994,0.2675,0.2675,0.2675,
02/28/1994,2077.414062,,,,,,,,-1992.097046,,,85.317001,-27.6,,35.132,,,,-7.532,57.717001,-26.549999,31.167,0.0,,,31.167002,0.0,31.167,0.0,,31.167,31.167,,225.779999,0.1375,0.1375,,225.779999,0.1375,0.1375,0.1375,
05/31/1994,2264.791992,,,,,,,,-2071.102051,,,193.690002,-44.319,,33.409,,,,10.91,149.371002,-68.709999,80.661003,0.0,,,80.661003,0.0,80.661003,0.0,,80.661003,80.661003,,226.276,0.3575,0.3575,0.3575,226.276,0.3575,0.3575,0.3575,
08/31/1994,2231.126953,,,,,,,,-2088.14209,,,142.985001,-35.717999,,32.987,,,,2.731,107.267001,-46.125,61.141998,0.0,,,61.142001,0.0,61.141998,0.0,,61.141998,61.141998,,226.455994,0.27,0.27,,226.455994,0.27,0.27,0.27,
11/30/1994,2358.764893,,,,,,,,-2182.388916,,,176.376007,-25.256,,30.462,,0.0,,-5.206,151.120007,-64.981003,86.139,0.0,,,86.139004,0.0,86.139,0.0,,86.139,86.139,,225.539993,0.3825,0.3825,,225.539993,0.3825,0.3825,0.3825,
02/28/1995,2332.593994,,,,,,,,-2234.922119,,,97.671997,13.041998,,26.933001,,,,-39.974998,110.713995,-47.606998,63.106998,0.0,,,63.106997,0.0,63.106998,0.0,,63.106998,63.106998,,225.496002,0.28,0.28,,225.496002,0.28,0.28,0.28,
05/31/1995,2469.586914,,,,,,,,-2295.476074,,,174.110992,-21.128,,24.305,,0.0,,-3.177,152.982992,-65.782997,87.199997,0.0,,,87.199995,0.0,87.199997,0.0,,87.199997,87.199997,,226.404008,0.385,0.385,0.385,226.404008,0.385,0.385,0.385,
