Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,,,,,,,,,,,-520.0,,,,,,,,,,538.0,,,,,,552.0,,,552.0,552.0,,,,,,,,,,
06/30/2009,,,,,,,,,,,-357.0,,,,,,,,,,-564.0,,,,,,-603.0,,,-603.0,-603.0,,,,,,,,,,
09/30/2009,,,,,,,,,,,-241.0,,,,,,,,,,9417.0,,,,,,9369.0,,,9369.0,9369.0,,,,,,,,,,
12/31/2009,,,,,,,,,,,-10.0,,,,,,,,,,-3.0,,,,,,-18.0,,,-18.0,-18.0,,,,,,,,,,
03/31/2010,3410.0,3410.0,-2848.0,2848.0,562.0,0.0,-238.0,198.0,,40.0,324.0,-6.0,3.0,8.0,-5.0,,3.0,318.0,-85.0,2.0,235.0,0.0,0.0,0.0,235.0,-20.0,215.0,0.0,0.0,215.0,227.35,12.35,,,,,,,,,
06/30/2010,3446.0,3446.0,-2903.0,2903.0,543.0,0.0,-246.0,199.0,,47.0,297.0,-8.0,2.0,8.0,-6.0,,6.0,289.0,-62.0,6.0,233.0,0.0,0.0,0.0,233.0,-19.0,214.0,0.0,0.0,214.0,229.6,15.6,,,,,,,,,
09/30/2010,3309.0,3309.0,-2807.0,2807.0,502.0,0.0,-296.0,207.0,,89.0,206.0,-1.0,-3.0,6.0,-9.0,,4.0,205.0,-62.0,1.0,144.0,0.0,0.0,0.0,144.0,-17.0,127.0,0.0,0.0,127.0,177.7,50.7,,,,,,,,,
12/31/2010,3652.0,3652.0,-3210.0,3210.0,442.0,0.0,-329.0,211.0,,118.0,113.0,19.0,-1.0,8.0,-9.0,,-18.0,132.0,-49.0,8.0,91.0,0.0,0.0,0.0,91.0,-16.0,75.0,0.0,0.0,75.0,140.0,65.0,,,,,,,,,
03/31/2011,3997.0,3997.0,-3353.0,3353.0,644.0,0.0,-232.0,205.0,,27.0,412.0,-3.0,-3.0,6.0,-9.0,,6.0,409.0,-116.0,17.0,310.0,0.0,0.0,0.0,310.0,-19.0,291.0,0.0,0.0,291.0,296.2,5.2,,,,,,,,,
06/30/2011,4213.0,4213.0,-3518.0,3518.0,695.0,0.0,-267.0,240.0,,27.0,428.0,-45.0,34.0,41.0,-7.0,,11.0,383.0,-73.0,6.0,316.0,0.0,0.0,0.0,316.0,-18.0,298.0,0.0,0.0,298.0,303.2,5.2,,,,,,,,,
09/30/2011,3931.0,3931.0,-3294.0,3294.0,637.0,0.0,-244.0,222.0,,22.0,393.0,-23.0,27.0,37.0,-10.0,,-4.0,370.0,-87.0,2.0,285.0,0.0,0.0,0.0,285.0,-19.0,266.0,0.0,0.0,266.0,269.9,3.9,336.83,0.789716,0.789716,0.801294,336.83,0.789716,0.789716,0.801294,
