Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,6.662,,-4.02,,2.642,,-8.126,,,,,,-5.484,0.392,,0.0,,0.0,,-0.392,-5.092,0.0,-5.092,0.0,,,-5.092,0.389,-4.703,0.0,,-4.703,-4.703,,69.012001,-0.0675,-0.0675,-0.0675,69.012001,-0.0675,-0.0675,-0.0675,
06/30/1998,8.552,,-4.257,,4.295,,-10.065,,,,,,-5.77,0.657,,0.0,,0.0,,-0.657,-5.113,0.0,-5.113,0.0,,,-5.113,0.324,-4.789,0.0,,-4.789,-4.789,,87.092003,-0.055,-0.055,-0.055,87.092003,-0.055,-0.055,-0.055,
09/30/1998,10.505,,-5.19,,5.315,,-10.342,,,,,,-5.027,-2.927,,0.0,,0.0,,2.927,-7.954,0.0,-7.954,0.0,,,-7.954,0.237,-7.717,0.0,,-7.717,-7.717,,90.463997,-0.085,-0.085,-0.045,90.463997,-0.085,-0.085,-0.045,
12/31/1998,13.211,,-5.987,,7.224,,-10.533,,,,,,-3.309,0.443,,0.0,,0.0,,-0.443,-2.866,0.0,-2.866,0.0,,,-2.866,0.332,-2.534,0.0,,-2.534,-2.534,,92.143997,-0.0275,-0.0275,-0.0275,92.143997,-0.0275,-0.0275,-0.0275,
03/31/1999,15.582,,-6.601,,8.981,,-12.41,,,,,,-3.429,1.186,,0.0,,0.0,,-1.186,-2.243,0.0,-2.243,0.0,,,-2.243,0.25,-1.993,0.0,,-1.993,-1.993,,95.751999,-0.02,-0.02,-0.02,95.751999,-0.02,-0.02,-0.02,
06/30/1999,18.736,,-7.373,,11.363,,-13.306,,,,,,-1.943,1.613,,0.0,,0.0,,-1.613,-0.33,0.0,-0.33,0.0,,,-0.33,0.178,-0.152,0.0,,-0.152,-0.152,,99.117996,0.0,0.0,0.0,99.117996,0.0,0.0,0.0,
09/30/1999,22.782,,-8.405,,14.377,,-14.376,,,,,,0.001,1.272,,0.0,,0.0,,-1.272,1.273,0.0,1.273,0.0,,,1.273,0.294,1.567,0.0,,1.567,1.567,,101.514,0.02,0.02,0.02,115.197998,0.015,0.015,0.015,
12/31/1999,27.676001,,-9.519,,18.157001,,-16.096001,,,,,,2.061,2.358,,0.0,-22.67,0.0,,20.312,4.419,0.0,4.419,0.0,,,4.419,0.114,4.533,0.0,,4.533,4.533,,102.93,0.04,0.04,0.04,118.211998,0.04,0.04,0.04,
03/31/2000,34.070999,,-12.462,,21.608999,,-82.758003,,,,,,-61.148998,34.847,,0.0,,0.0,,-34.847,-26.301998,0.0,-26.302,0.0,,,-26.301998,0.147,-26.155001,0.0,,-26.155001,-26.155001,,108.847,-0.24,-0.24,0.02,108.847,-0.24,-0.24,0.02,
06/30/2000,70.253998,,-22.57,,47.683998,,-453.368988,,,,,,-405.684998,-47.252998,,0.0,-6.871,0.0,,54.123998,-452.937996,0.0,-452.937988,0.0,,,-452.937996,0.0,-452.937988,0.0,,-452.937988,-452.937988,,134.436996,-3.37,-3.37,0.07,134.436996,-3.37,-3.37,0.07,
09/30/2000,173.085999,,-59.938999,,113.146999,,-1458.93396,,,,,,-1345.786987,21.601999,,0.0,-22.870001,0.0,,1.268002,-1324.184988,0.0,-1324.185059,0.0,,,-1324.184988,0.0,-1324.185059,0.0,0.0,-1324.185059,-1324.185059,,195.345993,-6.78,-6.78,0.2,195.345993,-6.78,-6.78,0.18,
