Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,1904.0,1904.0,-1486.0,1486.0,418.0,0.0,-172.0,113.0,59.0,246.0,27.0,3.0,6.0,-3.0,-30.0,0.0,273.0,-25.0,248.0,0.0,0.0,0.0,248.0,-15.0,233.0,0.0,0.0,233.0,282.4,49.4,130.3,1.79,1.79,2.167306,130.44,1.79,1.79,2.167306,
06/30/2010,1945.0,1945.0,-1841.0,1841.0,104.0,0.0,-140.0,88.0,52.0,-36.0,-91.0,126.0,129.0,-3.0,-35.0,0.0,-127.0,-50.0,-177.0,0.0,0.0,0.0,-177.0,-24.0,-201.0,0.0,0.0,-201.0,-165.9,35.1,129.4,-1.55,-1.55,-1.282071,129.4,-1.55,-1.55,-1.282071,
09/30/2010,1730.0,1730.0,-1690.0,1690.0,40.0,0.0,-148.0,91.0,57.0,-108.0,4.0,31.0,35.0,-4.0,-35.0,0.0,-104.0,-19.0,-123.0,0.0,0.0,0.0,-123.0,-17.0,-140.0,0.0,0.0,-140.0,-102.95,37.05,129.4,-1.08,-1.08,-0.795595,129.4,-1.08,-1.08,-0.795595,
12/31/2010,1887.0,1887.0,-1643.0,1643.0,244.0,0.0,-151.0,110.0,41.0,93.0,31.0,10.0,16.0,-6.0,-41.0,0.0,124.0,-19.0,105.0,0.0,0.0,0.0,105.0,-19.0,86.0,0.0,0.0,86.0,-582.2,-668.2,50.2,1.713147,1.713147,-11.59761,51.7,1.663443,1.663443,-11.59761,
03/31/2011,1850.0,1850.0,-1707.0,1707.0,143.0,0.0,-98.0,96.0,2.0,45.0,35.0,9.0,15.0,-6.0,-44.0,0.0,80.0,-28.0,52.0,-4.0,-4.0,0.0,56.0,-17.0,39.0,0.0,0.0,39.0,39.55,4.55,50.7,0.77,0.69,0.780079,52.0,0.75,0.67,0.7575,
06/30/2011,2046.0,2046.0,-1854.0,1854.0,192.0,0.0,-126.0,100.0,26.0,66.0,12.0,7.0,12.0,-5.0,-43.0,24.0,78.0,-34.0,44.0,0.0,0.0,0.0,44.0,-18.0,26.0,0.0,0.0,26.0,58.5,32.5,51.0,0.51,0.51,1.147059,51.9,0.5,0.5,1.126204,
09/30/2011,1909.0,1909.0,-1770.0,1770.0,139.0,0.0,-96.0,95.0,1.0,43.0,38.0,5.0,10.0,-5.0,-43.0,0.0,81.0,-25.0,56.0,-4.0,-4.0,0.0,60.0,-19.0,41.0,0.0,0.0,41.0,37.65,0.65,51.5,0.8,0.72,0.731068,52.0,0.79,0.71,0.7225,
12/31/2011,1727.0,1727.0,-1583.0,1583.0,144.0,0.0,-78.0,96.0,-18.0,66.0,32.0,6.0,11.0,-5.0,-38.0,0.0,98.0,-40.0,58.0,64.0,64.0,0.0,-6.0,-20.0,-26.0,0.0,0.0,-26.0,98.95,40.95,50.7,-0.51,0.75,1.557199,50.7,-0.51,0.75,1.557199,
03/31/2012,1717.0,1717.0,-1583.0,1583.0,134.0,0.0,-154.0,91.0,63.0,-20.0,33.0,9.0,12.0,-3.0,-42.0,0.0,13.0,-27.0,-14.0,-3.0,-3.0,0.0,-11.0,-18.0,-29.0,0.0,0.0,-29.0,29.1,61.1,51.9,-0.56,-0.62,0.560694,51.9,-0.56,-0.62,0.557264,
06/30/2012,1693.0,1693.0,-1565.0,1565.0,128.0,0.0,-98.0,87.0,11.0,30.0,97.0,6.0,10.0,-4.0,-103.0,0.0,127.0,-42.0,85.0,1.0,1.0,0.0,84.0,-9.0,75.0,0.0,0.0,75.0,42.2,-33.8,53.3,1.41,1.43,0.791745,53.7,1.4,1.42,0.790577,
