Date,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Total Capital,Total Debt/Total Capital,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2008,-534.700001,,,4022.900024,6937.0,57.991928,,
06/30/2008,,,,,,,,
09/30/2008,,,,,,,,
12/31/2008,,,,,,,,
03/31/2009,-378.2,0.0,240.2,3317.6,5034.3,65.899927,,
06/30/2009,-682.0,0.0,232.3,3642.2,5733.8,63.521574,,
09/30/2009,-1018.0,0.0,242.9,3721.5,6094.5,61.063254,,
12/31/2009,-756.0,0.0,198.0,3608.0,5829.0,61.89741,,
03/31/2010,-522.0,0.0,209.6,3468.0,5605.8,61.864497,,
06/30/2010,-649.0,0.0,205.0,3500.0,5651.0,61.935941,,
09/30/2010,-700.9,0.0,217.9,4345.0,6872.6,63.22207,,
12/31/2010,-640.0,0.0,211.0,4278.0,6780.0,63.097345,,
03/31/2011,-430.0,0.0,201.0,4363.0,6987.0,62.44454,,
06/30/2011,-260.0,0.0,157.0,4340.0,7038.0,61.665246,,
09/30/2011,-257.0,0.0,154.0,4088.0,6556.0,62.355095,,
12/31/2011,-400.0,0.0,153.0,4033.0,5545.0,72.732191,,
03/31/2012,-299.0,0.0,164.0,4130.0,5866.0,70.405728,,
06/30/2012,-336.0,0.0,142.0,4019.0,5676.0,70.806906,,
09/30/2012,-336.0,0.0,150.0,3893.0,5714.0,68.130907,,
12/31/2012,-431.0,0.0,174.0,3773.0,5289.0,71.336737,,
03/31/2013,-359.0,0.0,175.0,3897.0,5496.0,70.906114,,
06/30/2013,-249.0,0.0,160.0,3773.0,5379.0,70.143149,,
09/30/2013,-219.0,0.0,167.0,3664.0,5394.0,67.927327,,
12/31/2013,-383.0,0.0,147.0,3567.0,5618.0,63.492346,,
03/31/2014,-201.0,0.0,130.0,3702.0,5895.0,62.798982,,
06/30/2014,-194.0,0.0,122.0,3647.0,5975.0,61.037657,,
09/30/2014,-264.0,0.0,124.0,3484.0,5683.0,61.305648,,
12/31/2014,-512.0,0.0,117.0,3445.0,5155.0,66.828322,,
03/31/2015,-257.0,0.0,123.0,3621.0,5070.0,71.420118,,
06/30/2015,-378.0,0.0,112.0,3772.0,5268.0,71.602126,,
09/30/2015,-270.0,0.0,110.0,5859.0,7115.0,82.347154,,
12/31/2015,-399.0,0.0,108.0,5573.0,6669.0,83.565752,,
03/31/2016,-239.0,0.0,118.0,5901.0,7123.0,82.844307,,
06/30/2016,-334.0,0.0,110.0,5854.0,7105.0,82.392681,,
09/30/2016,-294.0,0.0,114.0,5595.0,6883.0,81.287229,,
12/31/2016,-492.0,0.0,109.0,5328.0,6383.0,83.471722,,
03/31/2017,-312.0,0.0,116.0,5627.0,6923.0,81.279792,,
06/30/2017,-335.0,0.0,109.0,5742.0,7187.0,79.894254,,
09/30/2017,-339.0,0.0,117.0,5621.0,7203.0,78.036929,,
12/31/2017,-492.0,0.0,119.0,5330.0,6839.0,77.935371,,
03/31/2018,-418.0,0.0,130.0,5834.0,7528.0,77.497343,,
06/30/2018,-365.0,0.0,121.0,5668.0,7123.0,79.573214,,
09/30/2018,-440.0,0.0,119.0,5639.0,7248.0,77.800773,,
12/31/2018,-512.0,0.0,114.0,5379.0,6881.0,78.171777,,
03/31/2019,-326.0,0.0,122.0,5911.0,7453.0,79.310345,,
06/30/2019,-371.0,0.0,115.0,6568.0,8157.0,80.519799,,
09/30/2019,-273.0,0.0,101.0,6117.0,7020.0,87.136752,,
09/12/2020,-273.0,0.0,101.0,6117.0,7020.0,87.1367521367521,,
