Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2008,1831.078003,,-743.484985,,1087.593018,,-635.895996,,,,,451.696991,-41.637005,82.175003,82.175003,,0.0,,-40.537998,410.059986,-125.137001,,,284.923004,-5.032,,,289.954985,-7.628,282.326996,0.0,0.0,282.326996,282.326996,,495.200989,0.57,0.56,0.57,496.886993,0.57,0.56,0.57,
09/30/2008,1684.593,,-730.405,,954.188,,-669.063,441.813,,,227.25,285.125,-413.582,,312.511,,0.0,-4.277,105.348,-128.457,52.344,,,-76.113,4.071,,,-80.184,-10.003,-90.187,0.0,0.0,-90.187,-90.187,54.35365,81.242,-1.11,-1.05989,-0.440966,81.242,-1.11,-1.05989,-0.440966,
03/31/2009,1207.987,1207.987,-618.349,618.349,589.638,0.0,-603.624,377.536,,175.559,50.529,-13.986,-394.421,,387.053,,,4.188,3.18,-408.407,-19.592,11.095,8.497,-427.999,0.0,0.0,0.0,-427.999,9.782,-418.217,0.0,0.0,-418.217,-395.012,23.205,81.242,-5.15,-5.15,-4.862165,81.242,-5.15,-5.15,-4.864372,
06/30/2009,1437.865,1437.865,-637.076,637.076,800.789,0.0,-4691.659,360.558,,208.246,4122.855,-3890.87,28.285,,384.625,,,17.719,-430.629,-3862.585,184.552,18.936,-203.488,-3678.033,0.0,0.0,0.0,-3678.033,4.629,-3673.404,0.0,0.0,-3673.404,-1230.9302,2442.4738,81.224,-45.23,-45.23,-15.15476,81.224,-45.23,-45.23,-15.159161,
09/30/2009,1393.973,1393.973,-632.778,632.778,761.195,0.0,-605.564,337.055,,190.189,78.32,155.631,-159.184,,369.314,,,-1.226,-208.904,-3.553,-89.118,12.735,76.383,-92.671,0.0,0.0,0.0,-92.671,2.816,-89.855,0.0,0.0,-89.855,-67.7043,22.1507,81.427,-1.12,-1.12,-0.831472,81.427,-1.12,-1.12,-0.847969,
12/31/2009,1512.084,1512.084,-695.06,695.06,817.024,0.0,-754.945,391.444,,191.48,172.021,62.079,-329.89,,359.874,,,0.008,-29.992,-267.811,417.478,,,149.667,0.0,0.0,0.0,149.667,-2.277,147.39,0.0,-8.382,139.008,238.7661,99.7581,81.291,1.71,1.71,2.937178,81.291,1.71,1.71,2.937173,
03/31/2010,1263.778,1263.778,-597.347,597.347,666.431,0.0,-591.354,349.296,,181.334,60.724,75.077,-325.889,,385.795,,,-1.871,-58.035,-250.812,71.185,12.657,-83.842,-179.627,0.0,0.0,0.0,-179.627,4.213,-175.414,0.0,-1.15,-176.564,-203.2309,-26.6669,81.427,-2.17,-2.17,-2.495866,81.427,-2.17,-2.17,-2.497495,
06/30/2010,1490.009,1490.009,-600.916,600.916,889.093,0.0,-621.66,376.637,,184.178,60.845,267.433,-382.619,,385.579,,,-3.747,0.787,-115.186,37.979,13.987,-51.966,-77.207,0.0,0.0,0.0,-77.207,-9.117,-86.324,0.0,-0.243,-86.567,-37.20795,49.35905,81.54,-1.06,-1.06,-0.456315,81.54,-1.06,-1.06,-0.456315,
09/30/2010,1477.347,1477.347,-579.098,579.098,898.249,0.0,-677.153,382.997,,184.079,110.077,221.096,-391.903,,389.197,,,-2.994,5.7,-170.807,20.415,14.663,-35.078,-150.392,0.0,0.0,0.0,-150.392,-4.293,-154.685,0.0,-1.196,-155.881,-112.33815,43.54285,81.619,-1.91,-1.91,-1.376373,81.619,-1.91,-1.91,-1.376511,
12/31/2010,1634.551,1634.551,-647.364,647.364,987.187,0.0,-685.952,418.204,,183.278,84.47,301.235,-387.263,,372.77,,,2.91,11.583,-86.028,30.401,,,-55.627,0.0,0.0,0.0,-55.627,-7.039,-62.666,0.0,0.0,-62.666,-47.9409,14.7251,78.3325,-0.8,-0.8,-0.612018,78.3325,-0.8,-0.8,-0.612018,
