Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,334.621002,0.0,334.621002,0.0,0.0,-227.115997,0.0,0.0,0.0,227.115997,,,,107.505005,-63.167,,,,63.167,44.338001,-11.351,,,,,11.987,11.987,,,-0.636,32.987001,-11.436,21.551001,0.0,,,21.551001,0.0,21.551001,-0.338,,21.213001,21.213001,,43.512001,0.49,0.49,0.49,43.512001,0.49,0.49,0.49,
03/31/1990,375.247009,0.0,375.247009,0.0,0.0,-238.925003,0.0,0.0,0.0,238.925003,,,,136.322006,-68.599998,,,,68.599998,67.722,-11.984,,,,,11.429,11.429,,,0.555,55.738,-19.750999,35.987,0.0,,,35.987001,0.0,35.987,-0.324,,35.663,35.663,,43.731998,0.815,0.815,0.815,43.731998,0.815,0.815,0.815,
06/30/1990,157.880997,0.0,157.880997,0.0,0.0,-92.466003,0.0,0.0,0.0,92.466003,,,,65.414993,-60.185001,,,,60.185001,5.23,-9.902,,,,,10.184,10.184,,,-0.282,-4.672,2.606,-2.066,0.0,,,-2.066,0.0,-2.066,-0.322,,-2.388,-2.388,,43.966,-0.055,-0.055,-0.055,43.966,-0.055,-0.055,-0.055,
09/30/1990,133.147995,0.0,133.147995,0.0,0.0,-73.771004,0.0,0.0,0.0,73.771004,,,,59.376991,-60.112999,,,,60.112999,-0.736,-16.537,,,,,11.199,11.199,,,5.338,-17.273,7.441,-9.832,0.0,,,-9.832,0.0,-9.832,-0.321,,-10.153,-10.153,,44.202,-0.23,-0.23,-0.23,44.202,-0.23,-0.23,-0.23,
12/31/1990,295.335999,0.0,295.335999,0.0,0.0,-182.783997,0.0,0.0,0.0,182.783997,,,,112.552002,-64.606003,,,,64.606003,47.945999,-11.442,,,,,11.694,11.694,,,-0.252,36.503999,-12.518,23.986,0.0,,,23.985999,0.0,23.986,-0.328,,23.658,23.658,,45.105999,0.525,0.525,0.525,45.105999,0.525,0.525,0.525,
03/31/1991,378.979004,0.0,378.979004,0.0,0.0,-242.389999,0.0,0.0,0.0,242.389999,,,,136.589005,-71.741997,,,,71.741997,64.847,-11.069,,,,,11.504,11.504,,,-0.435,53.778,-19.072001,34.706001,0.0,,,34.706,0.0,34.706001,-0.276,,34.430001,34.430001,,46.866001,0.735,0.735,0.735,46.866001,0.735,0.735,0.735,
06/30/1991,159.320999,0.0,159.320999,0.0,0.0,-87.023003,0.0,0.0,0.0,87.023003,,,,72.297997,-64.596001,,,,64.596001,7.702,-10.601,,,,,10.708,10.708,,,-0.107,-2.899,0.497,-2.402,0.0,,,-2.402,0.0,-2.402,-0.282,,-2.684,-2.684,,47.208,-0.055,-0.055,-0.055,47.208,-0.055,-0.055,-0.055,
09/30/1991,130.227997,0.0,130.227997,0.0,0.0,-67.720001,0.0,0.0,0.0,67.720001,,,,62.507996,-62.268002,,,,62.268002,0.24,-11.811,,,,,13.022,13.022,,,-1.211,-11.571,4.703,-6.868,0.0,,,-6.868,0.0,-6.868,-0.282,,-7.15,-7.15,,47.459999,-0.15,-0.15,-0.15,47.459999,-0.15,-0.15,-0.15,
12/31/1991,300.197998,0.0,300.197998,0.0,0.0,-185.938995,0.0,0.0,0.0,185.938995,,,,114.259003,-70.152,,,,70.152,44.106998,-12.138,,,,,14.091,14.091,,,-1.953,31.968999,-10.727,21.242001,0.0,,,21.241999,0.0,21.242001,-0.275,,20.967001,20.967001,,47.698002,0.44,0.44,0.44,47.698002,0.44,0.44,0.44,
03/31/1992,395.273987,0.0,395.273987,0.0,0.0,-245.261993,0.0,0.0,0.0,245.261993,,,,150.011993,-75.046997,,,,75.046997,74.964996,-10.571,,,,,11.786,11.786,,,-1.215,64.393996,-21.297001,43.097,0.0,,,43.096995,0.0,43.097,-0.261,,42.836,42.836,,47.976002,0.895,0.895,0.895,47.976002,0.895,0.895,0.895,
06/30/1992,176.292007,0.0,176.292007,0.0,0.0,-101.525002,0.0,0.0,0.0,101.525002,,,,74.767006,-65.18,,,,65.18,9.587,-10.796,,,,,10.776,10.776,,,0.02,-1.209,-0.392,-1.601,0.0,,,-1.601,0.0,-1.601,-0.261,,-1.862,-1.862,,48.240002,-0.04,-0.04,-0.04,48.240002,-0.04,-0.04,-0.04,
09/30/1992,122.835999,0.0,122.835999,0.0,0.0,-57.773998,0.0,0.0,0.0,57.773998,,,,65.062001,-67.920998,,,,67.920998,-2.859,-11.095,,,,,10.747,10.747,,,0.348,-13.954,6.616,-7.338,0.0,,,-7.338,0.0,-7.338,-0.203,,-7.541,-7.541,,48.599998,-0.155,-0.155,-0.155,48.599998,-0.155,-0.155,-0.155,
12/31/1992,334.100006,0.0,334.100006,0.0,0.0,-212.300003,0.0,0.0,0.0,212.300003,,,,121.800003,-76.699997,,,,76.699997,45.099998,-11.4,,,,,11.7,11.7,,,-0.3,33.699999,-11.6,22.1,0.0,,,22.099998,0.0,22.1,-0.9,,21.2,21.2,,48.799999,0.435,0.435,0.435,48.799999,0.435,0.435,0.435,
