Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,159888.5,5546.200012,4533.5,1012.700012,4879.799805,,,7436.5,,,,,2024.199951,,,,,19886.699219,19310.5,,,106728.796875,,,13962.5,,,,,13962.5,140001.796875,,8699.099609,8699.099609,,,,20016.900391,,,,,,10529.398438,,,,10529.398438,39245.398438,82325.796875,,,,,14437.200195,,,14437.200195,96762.99707,136008.395508,800.0,1048.0,,,,,21848.5,23696.5,183.600006,23880.100006,159888.495514,
06/30/1990,167468.5,8561.799926,6648.399902,1913.400024,5600.399902,,,7237.200195,,,,,1841.800049,,,,,23241.199219,20220.699219,,,109842.5,,,14164.099609,,,,,14164.099609,144227.298828,,8693.5,8693.5,,,,19989.0,,,,,,11315.300781,,,,11315.300781,39997.800781,88305.898438,,,,,14629.400391,,,14629.400391,102935.298829,142933.09961,800.0,1056.0,,,,,22534.300781,24390.300781,145.100006,24535.400787,167468.500397,
09/30/1990,169135.5,6823.099853,5570.899902,1252.199951,4838.600098,,,7750.0,,,,,2921.0,,,,,22332.699219,21471.0,,,111053.296875,,,14278.5,,,,,14278.5,146802.796875,,8579.799805,8579.799805,,,,19924.900391,,,,,,11425.100585,,,,11425.100585,39929.800781,89513.601562,,,,,14933.099609,,,14933.099609,104446.701171,144376.501952,800.0,1193.0,,,,,22618.900391,24611.900391,147.100006,24759.000397,169135.502349,
12/31/1990,173085.796875,8796.899781,6767.799805,2029.099976,44982.0,,,7115.399902,,,,,2448.800049,,,,,63343.101562,22207.800781,40694.601562,-18486.800781,71156.703125,,,16378.200195,,,,,16378.200195,109742.704101,,8590.5,8590.5,,,,65725.5,,,,,,10832.703125,,,,10832.703125,85148.703125,47686.5,,,,,16064.599609,,,16064.599609,63751.099609,148899.802734,800.0,1239.300049,,,-52.0,,22050.800781,24038.10083,147.899994,24186.000824,173085.803558,
03/31/1991,167055.0,9022.299926,7479.899902,1542.400024,2779.699951,,,6646.399902,,,,,2337.100098,,,,,20785.5,21523.900391,,,108794.203125,,,15951.400391,,,,,15951.400391,146269.503907,,8578.0,8578.0,,,,21195.800781,,,,,,10751.5,,,,10751.5,40525.300781,89257.703125,,,,,15081.599609,,,15081.599609,104339.302734,144864.603515,800.0,1292.599976,,,,,20097.800781,22190.400757,,22190.400757,167055.004272,
06/30/1991,165138.203125,9263.199707,6894.299805,2368.899902,3559.5,,,5605.600098,,,,,2001.099976,,,,,20429.400391,21062.699219,,,108230.296875,,,15415.799805,,,,,15415.799805,144708.795899,,8372.599609,8372.599609,,,,20312.099609,,,,,,12072.101563,,,,12072.101563,40756.800781,88469.5,,,,,14532.5,,,14532.5,103002.0,143758.800781,800.0,1302.5,,,,,19276.900391,21379.400391,,21379.400391,165138.201172,
09/30/1991,169734.296875,10567.5,6282.399902,4285.100098,3594.699951,,,6276.600098,,,,,2119.600098,,,,,22558.400391,21412.599609,,,110398.703125,,,15364.599609,,,,,15364.599609,147175.902343,,8713.299805,8713.299805,,,,19163.5,,,,,,12368.399414,,,,12368.399414,40245.199219,92957.5,,,,,15287.900391,,,15287.900391,108245.400391,148490.59961,800.0,1543.699951,,,,,18900.0,21243.699951,,21243.699951,169734.299561,
12/31/1991,174273.796875,13351.90039,8133.200195,5218.700195,47337.601562,,,6215.299805,,,,,2641.399902,,,,,69546.203125,22522.300781,41944.300781,-19422.0,66588.703125,,,15616.599609,,,,,15616.599609,104727.603515,,8384.5,8384.5,,,,60174.300781,,,,,,12217.300781,,,,12217.300781,80776.101562,54120.898438,,,,,15713.700195,,,15713.700195,69834.598633,150610.700195,800.0,3862.100098,,,,,18828.199219,23490.299317,172.800003,23663.09932,174273.799515,
03/31/1992,172493.59375,14224.100098,9063.700195,5160.399902,3279.800049,,,6151.700195,,,,,2814.5,,,,,26470.099609,21927.300781,,,109643.296875,,,14452.900391,,,,,14452.900391,146023.498047,,9487.5,9487.5,,,,17605.199219,,,,,,12580.902344,,,,12580.902344,39673.601562,94183.398438,,,,,15490.799805,,,15490.799805,109674.198242,149347.799805,800.0,3922.699951,,,,,18423.099609,23145.799561,,23145.799561,172493.599365,
06/30/1992,176241.90625,13526.600098,7516.200195,6010.399902,3140.399902,,,5939.600098,,,,,3017.699951,,,,,25624.300781,22644.900391,,,112878.398438,,,15094.299805,,,,,15094.299805,150617.598633,,9869.400391,9869.400391,,,,16499.300781,,,,,,13470.400391,,,,13470.400391,39839.101562,94514.796875,,,,,17529.099609,,,17529.099609,112043.896484,151882.998047,1081.300049,3965.399902,,,,,19312.199219,24358.89917,,24358.89917,176241.897217,
