Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,220.424,49.129,49.129,,24.413,24.413,,45.167,18.939,14.54,11.688,0,14.73,,,,,,133.439,73.826,,,0,13.159,,,,13.159,86.985,,8.64,8.64,,,,0.848,,,,,,21.496,,,,21.496,30.984,20.0,,,,,0.218,,,,,0.218,20.218,51.202,0,271.367,,,0.0,-113.779,8.435,166.023,3.199,169.222,220.424,
06/30/2007,240.125,46.709,46.709,0.0,26.726,26.726,,52.691,21.964,18.827,11.9,0,22.512,,,,,,148.638,81.483,,,0,10.004,,,,10.004,91.487,,10.788,10.788,,,,10.732,,,,,,16.31,,,,16.31,37.83,20.0,,,,,4.955,,,,,4.955,24.955,62.785,0,272.33,,,0.0,-107.391,8.986,173.925,3.415,177.34,240.125,
09/30/2007,258.212,44.75,44.75,0.0,33.277,33.277,,58.85,23.282,23.63,11.938,0,24.446,,,,,,161.323,89.811,,,0,7.078,,,,7.078,96.889,,9.204,9.204,,,,15.566,,,,,,18.108,,,,18.108,42.878,20.0,,,,,3.731,,,,,3.731,23.731,66.609,0,273.724,,,0.0,-98.834,12.646,187.536,4.067,191.603,258.212,
12/31/2007,263.321,44.922,37.972,6.95,33.946,33.946,,60.412,25.363,25.831,9.218,0,16.411,,,,,,155.691,96.369,157.287,-60.918,0,11.261,0.0,0.0,0.0,11.261,107.63,,9.444,9.444,,,,11.218,11.218,0.0,0.0,,,13.82,,,,13.82,34.482,20.0,20.0,0.0,0.0,,4.204,,,,,4.204,24.204,58.686,0,275.51,,,0.0,-90.497,15.167,200.18,4.455,204.635,263.321,
03/31/2008,287.755,39.698,38.698,1.0,37.269,37.269,,69.63,25.876,31.456,12.298,0,18.775,,,,,,165.372,107.01,,,0,15.373,,,,15.373,122.383,,11.364,11.364,,,,15.336,,,,,,18.704,,,,18.704,45.404,20.0,,,,,2.149,,,,,2.149,22.149,67.553,0,276.207,,,0.0,-82.348,21.542,215.401,4.801,220.202,287.755,
06/30/2008,303.031,44.926,44.926,0.0,37.747,37.747,,76.574,28.488,31.958,16.128,0,16.759,,,,,,176.006,111.207,,,0,15.818,,,,15.818,127.025,,9.613,9.613,,,,21.183,,,,,,20.128,,,,20.128,50.924,18.71,,,,,2.645,,,,,2.645,21.355,72.279,0,277.879,,,0.0,-73.796,21.399,225.482,5.27,230.752,303.031,
09/30/2008,303.917,44.339,44.339,0.0,39.503,39.503,,72.797,27.438,29.489,15.87,0,17.114,,,,,,173.753,112.479,,,0,17.685,,0.0,,17.685,130.164,,10.031,10.031,,,,17.334,,,,,,22.039,,,,22.039,49.404,18.356,,,,,2.842,,,,,2.842,21.198,70.602,0,279.368,,,0.0,-62.903,11.954,228.419,4.896,233.315,303.917,
12/31/2008,313.218,51.283,51.283,0.0,41.842,41.842,,72.555,27.482,28.653,16.42,0,15.343,,,,,,181.023,114.492,184.39,-69.898,0,17.703,,,,17.703,132.195,,7.739,7.739,,,,21.102,21.102,0.0,0.0,,,20.185,,,,20.185,49.026,17.997,17.997,0.0,0.0,,2.896,,,,,2.896,20.893,69.919,0,283.221,,,0.0,-53.843,8.794,238.172,5.127,243.299,313.218,
03/31/2009,313.805,71.601,71.601,0.0,29.74,29.74,0.0,66.445,25.073,26.719,14.653,0,15.892,,,2.765,1.585,6.265,183.678,112.865,,,0,17.262,5.661,,5.661,8.836,130.127,,24.9,5.029,2.364,,17.507,31.093,29.76,,,,1.333,0.337,,,2.089,0.0,56.33,17.649,17.649,,,,2.089,,,,,0.0,19.738,76.068,0,288.214,0.005,288.209,0.0,-52.572,1.886,237.528,0.209,237.737,313.805,
06/30/2009,323.101,78.068,78.068,0.0,32.006,32.006,0.0,62.085,22.447,23.704,15.934,0,17.672,,,3.008,1.995,6.138,189.831,115.258,,,0,18.012,5.715,,5.715,9.289,133.27,,26.647,6.065,1.653,,18.929,32.734,31.401,,,,1.333,0.343,,,1.819,0.0,59.724,17.334,17.334,,,,1.819,,,,,0.0,19.153,78.877,0,289.247,0.005,289.242,0.0,-53.801,8.683,244.129,0.095,244.224,323.101,
09/30/2009,318.939,76.309,76.309,0.0,29.768,29.768,0.0,59.155,19.458,23.409,16.288,0,18.831,,,4.077,0.975,6.581,184.063,114.957,,,0,19.919,5.744,,5.744,10.098,134.876,,29.241,4.624,3.341,,21.276,16.809,15.476,,,,1.333,0.201,,,2.485,0.0,46.251,17.0,17.0,,,,2.485,,,,,0.0,19.485,65.736,0,291.678,0.005,291.673,0.0,-51.546,12.965,253.097,0.106,253.203,318.939,
12/31/2009,312.636,82.92,82.92,0.0,30.356,30.356,0.0,52.869,17.801,21.375,13.693,0,14.769,,0.0,4.313,2.558,4.653,180.914,111.453,195.955,-84.502,0,20.269,5.693,0.0,5.693,10.263,131.722,,28.988,5.62,2.179,0.0,21.189,7.34,6.007,0.0,0.0,,1.333,0.503,0.0,0.0,2.567,0.0,36.831,16.667,16.667,0.0,0.0,,2.567,0.0,0.0,0.0,0.0,0.0,19.234,56.065,0,293.748,0.005,293.743,0.0,-48.424,11.106,256.43,0.141,256.571,312.636,
03/31/2010,315.207,84.407,84.407,0.0,30.078,30.078,0.0,52.135,17.092,22.089,12.954,0,18.541,,,4.548,3.193,6.095,185.161,109.639,,,0,20.407,7.223,,7.223,8.636,130.046,,35.376,5.824,4.236,,25.316,8.431,7.098,,,,1.333,0.322,,,2.293,0.0,44.129,16.333,16.333,,,,2.293,,,,,0.0,18.626,62.755,0,294.729,0.005,294.724,0.0,-45.027,2.582,252.284,0.168,252.452,315.207,
06/30/2010,333.724,90.655,90.655,0.0,39.907,39.907,0.0,54.029,17.605,21.24,15.184,0,20.288,,,5.326,2.96,7.191,204.879,106.106,,,0,22.739,10.424,,10.424,6.989,128.845,,53.122,10.427,7.408,,35.287,7.633,6.3,,,,1.333,2.572,,,1.425,0.0,63.327,16.649,16.649,,,,1.425,,,,,0.0,18.074,81.401,0,296.577,0.005,296.572,0.0,-34.721,-9.74,252.116,0.207,252.323,333.724,
09/30/2010,373.976,96.63,96.63,0.0,53.72,53.72,0.0,64.898,22.261,23.008,19.629,0,24.365,,,6.017,5.199,10.792,239.613,111.847,,,0,22.516,10.953,,10.953,5.546,134.363,,62.414,10.663,10.025,,41.726,5.967,4.634,,,,1.333,2.167,,,1.594,0.0,70.548,16.382,16.382,,,,1.594,,,,,0.0,17.976,88.524,0,302.939,0.005,302.934,0.0,-21.495,3.712,285.156,0.296,285.452,373.976,
12/31/2010,441.855,147.86,147.86,0.0,55.399,55.399,0.0,72.47,25.126,24.392,22.952,0,25.072,,0.0,4.489,2.663,13.816,300.801,120.683,214.234,-93.551,0,20.371,10.825,0.0,10.825,5.057,141.054,,71.209,9.51,11.594,0.0,50.105,8.174,6.841,0.0,0.0,,1.333,3.387,0.0,0.0,1.735,0.0,82.77,40.547,40.547,0.0,0.0,,1.735,0.0,0.0,0.0,0.0,0.0,42.282,125.052,0,310.223,0.005,310.218,0.0,5.567,0.81,316.6,0.203,316.803,441.855,
03/31/2011,489.567,160.618,160.618,0.0,57.97,57.97,0.0,88.698,29.772,30.666,28.26,0,29.524,,,4.485,2.376,17.834,336.81,131.3,,,0,21.457,8.104,,8.104,8.868,152.757,,67.726,12.526,7.688,,47.512,8.118,6.587,,,,1.531,7.557,,,2.766,0.0,83.401,17.112,17.112,,,,2.766,,,,,0.0,19.878,103.279,0,317.714,0.005,317.709,0.0,28.635,13.89,360.239,26.049,386.288,489.567,
