Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/04/1996,89.718002,0.824,0.824,0.0,3.231,,,33.042,0.0,0.0,33.042,0.0,5.222,,,,42.319,45.764999,,,0.0,,1.634,,,,1.634,47.398999,,4.044,4.044,,,,153.074005,,,,,13.79299,,,13.79299,170.910995,50.0,,,,,0.627,,,,,,,0.627,50.627,221.537995,0.0,,,,,,-131.820007,-131.820007,0.0,-131.820007,89.717988,
08/03/1996,109.393997,1.427,1.427,0.0,2.553,,,52.918999,0.0,0.0,52.918999,0.0,6.294,,,,63.193001,44.57,,,0.0,,1.631,,,,1.631,46.201,,6.73,6.73,,,,158.615997,,,,,16.254009,,,16.254009,181.600006,50.0,,,,,9.241,,,,,,,9.241,59.241,240.841006,0.0,,,,,,-131.447006,-131.447006,0.0,-131.447006,109.394,
11/02/1996,113.947998,1.816,1.816,0.0,3.109,,,51.339001,,,,,5.204,,,,61.467999,51.256001,,,0.0,,1.224,,,,1.224,52.48,,9.357,9.357,,,,8.616,,,,,52.415999,,,52.415999,70.389,51.601002,,,,,0.855,,,,,,,0.855,52.456002,122.845002,0.0,118.873001,,,0.0,,-127.769997,-8.896996,0.0,-8.896996,113.948006,
02/01/1997,105.761002,1.945,1.945,0.0,2.102,,,34.943001,,,,,5.888,,,,44.877998,58.992001,101.918999,-42.926998,0.0,,1.891,,,,1.891,60.883001,,6.414,6.414,,,,5.417,,,,,31.759,,,31.759,43.59,50.0,,,,,0.933,,,,,,,0.933,50.933,94.523,0.0,118.490997,,,0.0,,-107.252998,11.237999,0.0,11.237999,105.760999,
05/03/1997,104.685997,1.921,1.921,0.0,1.422,,,30.966,,,,,6.294,,,,40.603001,60.993,106.110001,-45.117001,0.0,,3.09,,,,3.09,64.083,,7.259,7.259,,,,0.0,,,,,35.419001,,,35.419001,42.678001,50.0,,,,,1.057,,,,,,,1.057,51.057,93.735001,0.0,118.490997,,,-0.852,,-106.688001,10.950996,0.0,10.950996,104.685997,
08/02/1997,140.399994,2.317,2.317,0.0,2.669,,,60.686001,,,,,8.36,,,,74.031998,64.278,112.997002,-48.719002,0.0,,2.09,,,,2.09,66.368,,11.606,11.606,,,,0.0,,,,,64.688998,,,64.688998,76.294998,50.0,,,,,1.085,,,,,,,1.085,51.085,127.379998,0.0,118.486,,,-0.831,,-104.635003,13.019997,0.0,13.019997,140.399995,
11/01/1997,137.996994,2.623,2.623,0.0,2.433,,,55.583,,,,,6.465,,,,67.103996,66.695999,120.098999,-53.403,0.0,,4.197,,,,4.197,70.892999,,15.645,15.645,,,,0.0,,,,,47.628998,,,47.628998,63.273998,50.0,,,,,1.266,,,,,,,1.266,51.266,114.539998,0.0,118.484001,,,-0.795,,-94.232,23.457001,0.0,23.457001,137.996999,
01/31/1998,183.238007,42.667,42.667,0.0,1.695,,,39.519001,,,,,25.080999,,,,108.961998,70.516998,124.0,-53.483002,0.0,,3.759,,,,3.759,74.275998,,15.968,15.968,,,,0.0,,,,,50.993998,,,50.993998,66.961998,50.0,,,,,7.501,,,,,,,7.501,57.501,124.462998,0.0,118.483002,,,-0.777,,-58.931,58.775002,0.0,58.775002,183.238,
05/02/1998,155.220993,2.671,2.671,0.0,0.951,,,42.523998,,,,,35.356998,,,,81.502998,68.738998,126.873001,-58.133999,0.0,,4.979,,,,4.979,73.717999,,12.615,12.615,,,,0.0,,,,,39.573,,,39.573,52.188,0.0,,,,,11.594,,,,,,,11.594,11.594,63.782,0.0,144.408005,,,-0.346,,-52.623002,91.439003,0.0,91.439003,155.221003,
08/01/1998,211.223007,45.855,45.855,0.0,3.681,,,81.805,,,,,0.95,,,,132.291,73.987,126.203003,-52.216,0.0,,4.945,,,,4.945,78.932,,36.084999,36.084999,,,,0.0,,,,,58.578003,,,58.578003,94.663002,0.0,,,,,14.502,,,,,,,14.502,14.502,109.165002,0.0,144.408005,,,-0.325,,-42.024998,102.058006,0.0,102.058006,211.223008,
