Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,66.002004,53.464005,153.759003,126.802002,26.957001,-100.294998,12.538,-0.168,,,,8.04,4.666,-5.346,60.656004,-41.105999,0.0,41.105999,19.549999,0.0,,0.0,19.549999,-6.784,12.766,0.0,,,12.765999,0.0,12.766,0.0,,12.766,12.766,,69.15,0.185,0.185,,69.15,0.185,0.185,0.185,
06/30/1990,71.678003,56.616003,160.736006,133.949005,26.787001,-104.120003,15.062,0.206,,,,8.281,6.575,-6.527,65.151003,-42.907001,0.0,42.907001,22.243999,0.0,,0.0,22.243999,-8.44,13.804,0.0,,,13.804,0.0,13.804,0.0,,13.804,13.804,,68.189998,0.202,0.202,,68.189998,0.202,0.202,0.202,
09/30/1990,70.250003,57.564003,162.606003,136.675003,25.931,-105.042,12.686,-0.355,,,,7.881,5.16,-6.709,63.541003,-40.706001,0.0,40.706001,22.834999,0.0,,0.0,22.834999,-8.433,14.402,0.0,,,14.401999,0.0,14.402,0.0,,14.402,14.402,,67.789998,0.212,0.212,,67.789998,0.212,0.212,0.212,
12/31/1990,78.106002,62.804002,180.275003,151.050003,29.225,-117.471001,15.302,0.605,,,,12.1,2.597,-8.83,69.276002,-49.172001,0.0,49.172001,20.104,0.0,,0.0,20.104,-7.134,12.97,0.0,,,12.97,0.0,12.97,0.0,,12.97,12.97,,67.6,0.192,0.192,0.192,67.6,0.192,0.192,0.192,
03/31/1991,85.363006,70.217007,179.279003,143.145004,36.133999,-109.061996,15.146,1.163,,,,8.375,5.608,-10.741,74.622006,-48.077,0.0,48.077,26.545,0.0,,0.0,26.545,-11.222,15.323,0.0,,,15.323,0.0,15.323,-0.16,,15.163,15.163,,68.179998,0.222,0.222,,68.179998,0.222,0.222,0.222,
06/30/1991,93.465001,75.178001,185.957001,147.251999,38.705002,-110.778999,18.286999,2.096,,,,9.322,6.869,-11.515,81.950001,-54.367001,0.0,54.367001,27.583,0.0,,0.0,27.583,-11.274,16.309,0.0,,,16.309,0.0,16.309,-0.9,,15.409,15.409,,68.88,0.224,0.224,,68.88,0.224,0.224,0.224,
09/30/1991,112.919989,86.151989,204.867992,159.373993,45.493999,-118.716003,26.768,8.756,,,,9.793,8.219,-21.955999,90.963989,-62.327,0.0,62.327,28.636999,0.0,,0.0,28.636999,-11.283,17.354,0.0,,,17.353999,0.0,17.354,-0.9,,16.454,16.454,,69.569998,0.237,0.237,,69.569998,0.237,0.237,0.237,
12/31/1991,119.08901,97.26101,198.919007,155.436005,43.483002,-101.657997,21.828,-0.95,,,,11.195,11.583,-19.200001,99.889009,-67.859001,0.0,67.859001,32.029999,0.0,,0.0,32.029999,-13.822,18.208,0.0,,,18.207999,0.0,18.208,-0.9,,17.308,17.308,,69.56,0.249,0.249,0.249,69.56,0.249,0.249,0.249,
03/31/1992,139.394004,101.743004,189.483002,146.485001,42.998001,-87.739998,37.651,14.325,,,,13.288,10.038,-17.718,121.676003,-75.023003,0.0,75.023003,46.653,0.0,,0.0,46.653,-19.115,27.538,0.0,,,27.538,0.0,27.538,-0.9,,26.638,26.638,,70.0,0.381,0.381,,70.0,0.381,0.381,0.381,
06/30/1992,140.451003,102.941002,183.717003,147.895004,35.821999,-80.776001,37.510001,18.839001,,,,11.779,6.892,-24.127001,116.324002,-70.18,0.0,70.18,46.144001,0.0,,0.0,46.144001,-18.382,27.761999,0.0,,,27.762001,0.0,27.761999,-0.9,,26.861999,26.861999,,70.33,0.382,0.382,,70.33,0.382,0.382,0.382,
