Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/29/1989,4377.299805,161.200003,139.300003,21.9,712.299988,,,1026.800049,,,,,100.099998,,,,,,2000.400024,1568.099976,,,,,808.799988,,,,808.799988,2376.899963,,543.0,543.0,,,,518.700012,,,,,,530.799988,,,530.799988,1592.5,640.0,,,,,301.600006,,,,,,,301.600006,941.600006,2534.100006,0.0,73.0,,,-69.0,,1839.199951,1843.199951,,1843.199951,4377.299957,
01/28/1990,4368.899902,164.700001,143.5,21.200001,714.099976,,,927.799988,,,,,96.099998,,,,,,1902.699951,1634.199951,,,,,832.0,,,,832.0,2466.199951,,506.200012,506.200012,,,,458.200012,,,,,,504.599976,,,504.599976,1469.0,651.700012,,,,,307.0,,,,,,,307.0,958.700012,2427.700012,0.0,77.300003,,,-68.300003,,1932.200027,1941.200027,,1941.200027,4368.90004,
04/29/1990,4263.100098,161.100002,141.300003,19.799999,592.700012,,,870.0,,,,,101.5,,,,,,1725.300049,1682.599976,,,,,855.200012,,,,855.200012,2537.799988,,406.200012,406.200012,,,,481.799988,,,,,,477.0,,,477.0,1365.0,655.0,,,,,311.0,,,,,,,311.0,966.0,2331.0,0.0,79.099998,,,-106.0,,1959.0,1932.099998,,1932.099998,4263.099998,
07/29/1990,4115.600098,103.199997,80.699997,22.5,624.5,,,819.799988,,,,,118.0,,,,,,1665.5,1717.699951,2734.899902,-1017.200012,52.0,,680.400024,,,,680.400024,2450.099975,,525.200012,525.200012,,,,202.300003,,,,,,570.599961,,,570.599961,1298.099976,805.799988,,,,,263.600006,,,,,,,263.600006,1069.399994,2367.49997,0.0,82.199997,,,-107.199997,,1716.799973,1691.799973,56.299999,1748.099972,4115.599942,
10/28/1990,4453.799805,101.700003,75.800003,25.9,770.0,,,992.799988,,,,,124.099998,,,,,,1988.599976,1729.599976,,,,,735.599976,,,,735.599976,2465.199951,,566.599976,566.599976,,,,451.200012,,,,,,637.700012,,,637.700012,1655.5,815.799988,,,,,351.200012,,,,,,,351.200012,1167.0,2822.5,0.0,84.199997,,,-255.800003,,1802.899979,1631.299973,,1631.299973,4453.799973,
01/27/1991,4281.399902,132.299997,107.199997,25.1,789.700012,,,787.200012,,,,,116.0,,,,,,1825.199951,1775.099976,,,,,681.099976,,,,681.099976,2456.199951,,445.0,445.0,,,,251.899994,,,,,,586.699982,,,586.699982,1283.599976,914.400024,,,,,352.799988,,,,,,,352.799988,1267.200012,2550.799988,0.0,91.400002,,,-267.200012,,1906.399963,1730.599953,,1730.599953,4281.39994,
04/28/1991,3990.300049,169.4,146.0,23.4,597.400024,,,687.5,,,,,96.699997,,,,,,1551.0,1741.900024,,,,,697.400024,,,,697.400024,2439.300049,,355.299988,355.299988,,,,89.599998,,,,,,551.400002,,,551.400002,996.299988,906.900024,,,,,347.5,,,,,,,347.5,1254.400024,2250.700012,0.0,111.5,,,-269.600006,,1897.699982,1739.599976,,1739.599976,3990.299988,
07/28/1991,4149.0,191.699994,178.899994,12.8,527.400024,,,706.700012,,,,,92.699997,,,,,,1518.5,1790.400024,2921.899902,-1131.5,44.200001,,795.900024,,,,795.900024,2630.500049,,482.399994,482.399994,,,,282.200012,,,,,,513.399994,,,513.399994,1278.0,772.599976,,,,,281.5,,,,,,,281.5,1054.099976,2332.099976,0.0,127.599998,,,-270.399994,,1936.200043,1793.400047,23.5,1816.900047,4149.000023,
10/27/1991,4374.200195,87.600001,79.900002,7.7,669.900024,,,873.400024,,,,,104.199997,,,,,,1735.099976,1800.199951,,,,,838.900024,,,,838.900024,2639.099976,,477.5,477.5,,,,432.700012,,,,,,572.200012,,,572.200012,1482.400024,784.099976,,,,,311.0,,,,,,,311.0,1095.099976,2577.5,0.0,121.400002,,,-377.700012,,2053.000061,1796.70005,,1796.70005,4374.20005,
01/26/1992,4376.200195,146.100003,139.800003,6.3,718.200012,,,754.299988,,,,,93.800003,,,,,,1712.400024,1851.5,,,,,812.299988,,,,812.299988,2663.799988,,423.799988,423.799988,,,,349.299988,,,,,,557.0,,,557.0,1330.099976,805.5,,,,,317.799988,,,,,,,317.799988,1123.299988,2453.399963,0.0,129.600006,,,-375.700012,,2168.899963,1922.799957,,1922.799957,4376.199921,
