Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1997,4005.275,168.695,124.574,44.121,767.861,,,729.337,86.29,578.027,,,44.456,,,,1710.349,1755.17,2618.072,-862.902,217.362,322.394,,,,322.394,2294.926,,648.442,648.442,,,162.265,,,,,841.12,,,841.12,1651.827,0.365,,,,628.874,,,,,,628.874,629.239,2281.066,,634.996,,,,1123.653,-34.44,1724.209,,1724.209,4005.275,
04/30/1997,4235.697,273.055,233.996,39.059,835.618,,,754.865,94.685,567.873,,,50.615,,,,1914.153,1804.977,2708.587,-903.61,206.358,310.209,,,,310.209,2321.544,,613.672,613.672,,,3.59,,,,,1059.193,,,1059.193,1676.455,300.464,,,,626.894,,,,,,626.894,927.358,2603.813,,630.734,,,,1037.565,-36.415,1631.884,,1631.884,4235.697,
07/31/1997,4417.127,232.279,198.319,33.96,847.235,,,865.601,156.969,649.259,,,61.763,,,,2006.878,1861.307,2815.859,-954.552,249.229,299.713,,,,299.713,2410.249,,704.104,704.104,,,84.62,,,,,1017.566,,,1017.566,1806.29,300.524,,,,630.433,,,,,,630.433,930.957,2737.247,,627.241,,,,1087.923,-35.284,1679.88,,1679.88,4417.127,
10/31/1997,4697.84,309.413,299.324,10.089,930.104,,,866.843,100.874,691.395,74.574,,119.526,,,,2225.886,1938.79,2940.105,-1001.315,96.549,436.615,158.399,158.399,0.0,278.216,2471.954,,878.187,878.187,,,62.002,,,,,1050.495,,,1050.495,1990.684,300.508,,,,665.598,,,,,,665.598,966.106,2956.79,,621.699,,,,1159.996,-40.645,1741.05,,1741.05,4697.84,
01/31/1998,4543.136,305.413,305.413,,915.909,,,756.439,85.932,529.664,79.081,,63.905,,,,2041.666,1951.083,2998.571,-1047.488,256.711,293.676,,,,293.676,2501.47,,706.07,706.07,,,49.989,,,,,1061.352,,,1061.352,1817.411,300.439,,,,684.722,,,,,,684.722,985.161,2802.572,,585.769,,,,1198.115,-43.32,1740.564,,1740.564,4543.136,
04/30/1998,4758.35,319.491,319.491,,956.139,,,816.86,88.244,564.819,93.627,,90.297,,,,2182.787,1985.196,3074.112,-1088.916,280.241,310.126,,,,310.126,2575.563,,908.636,908.636,,,149.944,,,,,1116.423,,,1116.423,2175.003,300.565,,,,687.516,,,,,,687.516,988.081,3163.084,,400.624,,,,1236.214,-41.572,1595.266,,1595.266,4758.35,
07/31/1998,4856.271,308.727,308.727,,923.27,,,841.078,85.353,612.301,63.331,,86.507,,,,2159.582,2098.245,3190.665,-1092.42,269.389,329.055,,,,329.055,2696.689,,864.143,864.143,,,323.982,,,,,1155.132,,,1155.132,2343.257,300.405,,,,694.076,,,,,,694.076,994.481,3337.738,,287.507,,,,1283.168,-52.142,1518.533,,1518.533,4856.271,
10/31/1998,5019.208,340.544,340.544,,959.416,,,795.628,104.466,596.983,94.179,,181.563,,,,2277.151,2147.308,3280.231,-1132.923,137.562,457.187,139.091,139.091,0.0,318.096,2742.057,,972.096,972.096,,,428.634,,,,,1094.824,,,1094.824,2495.554,300.428,,,,697.617,,,,,,697.617,998.045,3493.599,,246.31,,,,1331.843,-52.544,1525.609,,1525.609,5019.208,
01/31/1999,5017.95,308.248,308.248,,871.732,,,961.369,125.095,620.422,128.125,,77.746,,,,2219.095,2175.38,3355.565,-1180.185,271.024,352.451,,,,352.451,2798.855,,945.558,945.558,,,378.18,,,,,1126.663,,,1126.663,2450.401,300.0,,,,701.873,,,,,,701.873,1001.873,3452.274,,255.325,,,,1367.765,-57.414,1565.676,,1565.676,5017.95,
04/30/1999,5013.78,207.871,207.871,,945.363,,,968.011,124.385,625.557,123.816,,99.941,,,,2221.186,2179.076,3386.577,-1207.501,256.59,356.928,,,,356.928,2792.594,,893.296,893.296,,,374.051,,,,,1225.794,,,1225.794,2493.141,300.002,,,,739.932,,,,,,739.932,1039.934,3533.075,,255.396,,,,1279.711,-54.402,1480.705,,1480.705,5013.78,
