Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,174.136993,10.345,10.345,,,,,154.322006,,,,,,,,,,164.667007,3.266,,,,,6.204,,,,,,6.204,9.47,,19.355,19.355,,,,0.0,,,,11.050001,,,11.050001,30.405001,74.220001,,,,0.0,,,,,,0.0,74.220001,104.625002,0.0,61.502998,,,0.0,,8.009,69.511998,0.0,69.511998,174.137,
03/31/1994,199.608002,19.466999,19.466999,,,,,170.179993,,,,,,,,,,189.647003,3.792,,,,,6.169,,,,,,6.169,9.961,,24.114,24.114,,,,0.0,,,,9.616999,,,9.616999,33.730999,91.802002,,,,0.0,,,,,,0.0,91.802002,125.533001,0.0,62.368,,,0.0,,11.707,74.075,0.0,74.075,199.608001,
06/30/1994,233.358994,13.333,13.333,,,,,205.959,,,,,,,,,,219.292007,4.188,,,,,9.879,,,,,,9.879,14.067,,32.610001,32.610001,,,,0.0,,,,12.005001,,,12.005001,44.615002,109.870003,,,,0.0,,,,,,0.0,109.870003,154.485005,0.0,73.711998,,,0.0,,5.162,78.873998,0.0,78.873998,233.359003,
09/30/1994,230.897995,11.19,11.19,,,,,204.093994,,,,,,,,,,215.283997,4.544,,,,,11.07,,,,,,11.07,15.614,,27.440001,27.440001,,,,0.0,,,,10.326997,,,10.326997,37.766998,108.578003,,,,,,,,,,,108.578003,146.345001,0.0,73.711998,,,0.0,,10.841,84.552998,0.0,84.552998,230.897999,
12/31/1994,248.438995,19.339001,19.339001,,,,,214.5,,,,,,,,,,233.839005,4.618,,,,,9.982,,,,,,9.982,14.6,,24.754,24.754,,,,0.0,,,,12.197,,,12.197,36.951,123.073997,,,,0.0,,,,,,0.0,123.073997,160.024997,0.0,73.752998,,,0.0,,14.661,88.413998,0.0,88.413998,248.438995,
06/30/1995,288.747009,32.581001,32.581001,,,,,240.335007,,,,,,,,,,272.915985,5.047,,,,,10.784,,,,,,10.784,15.831,,26.667,26.667,,,,0.0,,,,13.691002,,,13.691002,40.358002,149.436005,,,,0.0,,,,,,0.0,149.436005,189.794007,0.0,91.448997,,,0.0,,7.504,98.952997,0.0,98.952997,288.747004,
12/31/1995,337.630005,23.174999,23.174999,,,,,294.041992,,,,,,,,,,317.21701,5.821,,,,,14.592,,,,,,14.592,20.413,,26.958,26.958,,,,0.0,,,,15.951,,,15.951,42.909,183.207001,,,,0.0,,,,,,0.0,183.207001,226.116001,0.0,91.915001,,,0.0,,19.599001,111.514002,0.0,111.514002,337.630003,
03/31/1996,362.084991,21.898001,21.898001,,,,,319.335999,,,,,,,,,,341.234009,5.864,,,,,14.987,,,,,,14.987,20.851,,30.988001,30.988001,,,,0.0,,,,12.963999,,,12.963999,43.952,157.541,,,,0.0,,,,,,0.0,157.541,201.493,0.0,135.871002,,,0.0,,24.721001,160.592003,0.0,160.592003,362.085003,
06/30/1996,390.678009,29.607,29.607,,,,,339.411011,,,,,,,,,,369.018005,5.714,,,,,15.946,,,,,,15.946,21.66,,34.561001,34.561001,,,,0.0,,,,16.828998,,,16.828998,51.389999,171.014008,,,,0.0,,,,,,0.0,171.014008,222.404007,0.0,160.082001,,,0.0,,8.192,168.274001,0.0,168.274001,390.678008,
09/30/1996,402.912994,32.466999,32.466999,,,,,345.28299,,,,,,,,,,377.75,5.631,,,,,19.532,,,,,,19.532,25.163,,34.390999,34.390999,,,,0.0,,,,21.011001,,,21.011001,55.402,169.873001,,,,0.0,,,,,,0.0,169.873001,225.275001,0.0,160.037994,,,0.0,,17.6,177.637994,0.0,177.637994,402.912995,
12/31/1996,445.854004,15.125,15.125,0.0,0.0,,,400.453003,,,,,0.0,,,,,415.578003,5.754,,,0.0,,24.521999,,,,,,24.521999,30.275999,,33.433998,33.433998,,,,0.0,,,,24.440003,,,24.440003,57.874001,203.199997,,,,0.0,,,,,,0.0,203.199997,261.073998,0.0,160.373001,,,0.0,,24.407,184.780001,0.0,184.780001,445.853999,
03/31/1997,634.609,26.814,26.814,,,,,541.444,191.984,,348.148,1.312,,,,,,568.258,11.852,,,,,54.499,28.303,28.303,0.0,,,26.196,66.351,,52.931,52.931,,,,0.0,,,,26.164,,,26.164,79.095,318.55,,,,,,,,,,,318.55,397.645,,206.515,,,,30.449,0.0,236.964,,236.964,634.609,
06/30/1997,700.067,56.358,56.358,,,,,577.97,217.553,,358.905,1.512,,,,,,634.328,12.783,,,,,52.956,28.079,28.079,0.0,,,24.877,65.739,,89.89,89.89,,,,0.0,,,,0.0,,,0.0,89.89,360.22,,,,,,,,,,,360.22,450.11,,210.5,,,,39.457,0.0,249.957,,249.957,700.067,
09/30/1997,1248.322998,78.227997,78.227997,0.0,0.0,,,1024.267944,12.774,,1011.494019,,0.0,,,,,1102.495972,16.988001,29.834999,-12.847,34.071999,,94.766998,37.716999,,,,,57.049999,145.826998,,165.309006,165.309006,,,,0.0,,,,0.0,,,0.0,165.309006,650.73999,,,,0.506,,,,,,0.506,651.24599,816.554996,0.0,269.15799,,,0.0,,158.707993,427.865983,3.902,431.767983,1248.322979,
12/31/1997,765.077026,40.362,40.362,0.0,0.0,,,653.156982,0.0,0.0,653.156982,0.0,0.0,,,,,693.518982,12.892,,,0.0,,58.666,30.049,30.049,0.0,,,28.617,71.558,,53.639648,53.639648,,,,0.0,,,,46.137352,,,46.137352,99.777,392.078003,,,,0.0,,,,,,0.0,392.078003,491.855003,0.0,211.470001,,,0.0,61.752,-1e-06,273.222,0.0,273.222,765.077003,
03/31/1998,932.633972,61.973,61.973,0.0,0.0,,,775.752014,0.0,0.0,775.752014,0.0,0.0,,,,,837.724976,20.617001,,,0.0,,74.292,,,,,,74.292,94.909001,,122.795998,122.795998,,,,0.0,,,,0.0,,,0.0,122.795998,524.594971,,,,0.0,,,,,,0.0,524.594971,647.390969,0.0,212.591003,,,0.0,,72.652,285.243003,0.0,285.243003,932.633972,
06/30/1998,1621.868042,112.747002,112.747002,0.0,0.0,,,1291.282959,0.0,0.0,1291.282959,0.0,,,,,,1404.030029,24.264,,,66.307999,,127.265999,57.508999,,,,,69.757,217.837998,,214.274002,214.274002,,,,0.0,,,,0.0,,,0.0,214.274002,905.885986,,,,5.509,,,,,,5.509,911.394986,1125.668988,0.0,276.419006,,,0.0,,216.147995,492.567001,3.632,496.199001,1621.867989,
09/30/1998,1667.834961,76.753998,76.753998,0.0,0.0,,,1358.032959,10.072,,1347.96106,,0.0,,,,,1434.786987,25.455999,44.400002,-18.944,72.324997,,135.266998,56.782001,,,,,78.484997,233.047995,,259.005005,259.005005,,,,,,,,0.0,,,0.0,259.005005,854.504028,,,,1.444,,,,,,1.444,855.948028,1114.953033,0.0,302.061005,,,0.0,,247.375,549.436005,3.446,552.882005,1667.835038,
12/31/1998,1795.763,93.82,93.82,0.0,0.0,,,1467.281,5.734,0.0,1461.547,0.0,0.0,,,,,1561.101,29.841,,,64.576,,140.245,62.044,62.044,0.0,,,78.201,234.662,,256.816,256.816,,,,0.0,,,,0.0,,,0.0,256.816,893.341,,,,0.991,,,,,,0.991,894.332,1151.148,0.0,362.323,,,0.0,278.758,0.0,641.081,3.534,644.615,1795.763,
03/31/1999,2102.772,54.693,54.693,0.0,0.0,,,1706.514,9.154,,1697.36,0.0,0.0,,,,,1761.207,35.765,,,78.963,,226.837,113.344,113.344,0.0,,,113.493,341.565,,301.462,301.462,,,,,,,,0.0,,,0.0,301.462,1067.26,,,,1.901,,,,,,1.901,1069.161,1370.623,0.0,418.885,,,0.0,310.252,-0.536,728.601,3.548,732.149,2102.772,
06/30/1999,2238.938,74.994,74.994,0.0,0.0,,,1812.884,5.837,,1807.047,0.0,0.0,,,,,1887.878,37.249,,,102.488,,211.323,111.598,111.598,0.0,,,99.725,351.06,,329.501,329.501,,,,370.0,,,,-370.0,,,-370.0,329.501,1137.642,,,,0.0,,,,,,0.0,1137.642,1467.143,0.0,419.366,,,-3.976,352.66,0.0,768.05,3.745,771.795,2238.938,
09/30/1999,2361.808,128.568,128.568,0.0,0.0,,,1866.108,4.507,,1861.601,0.0,0.0,,,,,1994.676,36.972,67.535,-30.563,113.786,,216.374,112.456,,,,,103.918,367.132,,365.506,365.506,,,,0.0,,,,0.0,,,0.0,365.506,1190.623,,,,3.268,,,,,,3.268,1193.891,1559.397,0.0,419.902,,,-22.404,,400.111,797.609,4.802,802.411,2361.808,
12/31/1999,2419.1,49.314,49.314,0.0,0.0,,,1990.147,3.235,0.0,1986.912,0.0,0.0,,,,,2039.461,38.334,,,95.789,,245.516,110.428,110.428,0.0,,,135.088,379.639,,341.951,341.951,,,,0.0,,,,0.0,,,0.0,341.951,1236.073,,,,2.345,,,,,,2.345,1238.418,1580.369,0.0,420.726,,,-27.76,440.773,0.0,833.739,4.992,838.731,2419.1,
03/31/2000,2625.103,85.397,85.397,0.0,0.0,,,2151.667,4.286,0.0,2147.381,0.0,0.0,,,,,2237.064,40.335,,,91.433,,256.271,113.12,113.12,0.0,,,143.151,388.039,,342.07,342.07,,,,0.0,,,,0.0,,,0.0,342.07,1413.532,,,,2.746,,,,,,2.746,1416.278,1758.348,0.0,421.287,,,-36.947,477.737,0.0,862.077,4.678,866.755,2625.103,
06/30/2000,2667.924,79.144,79.144,0.0,0.0,,,2182.486,5.897,0.0,2176.589,0.0,0.0,,,,,2261.63,41.993,,,99.929,,264.372,111.381,111.381,0.0,,,152.991,406.294,,362.09,362.09,,,,0.0,,,,0.0,,,0.0,362.09,1389.026,,,,3.893,,,,,,3.893,1392.919,1755.009,0.0,421.501,,,-36.947,523.331,0.0,907.885,5.03,912.915,2667.924,
09/30/2000,2694.577,72.525,72.525,0.0,0.0,,,2191.031,2.824,0.0,2188.207,0.0,0.0,,,,,2263.556,38.96,77.245,-38.285,119.581,,272.48,115.966,,,,,156.514,431.021,,375.347,375.347,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,375.347,1344.403,1344.403,0.0,0.0,0.0,,,,,,0.0,1344.403,1719.75,0.0,537.846,,,-36.947,,468.664,969.563,5.264,974.827,2694.577,
12/31/2000,2884.723,79.128,79.128,0.0,0.0,,,2391.393,2.824,0.0,2388.569,0.0,0.0,,,,,2470.521,38.102,,,96.259,,279.841,115.311,115.311,0.0,,,164.53,414.202,,371.374,371.374,,,,0.0,,,,0.0,,,0.0,371.374,1484.967,,,,0.0,,,,,,0.0,1484.967,1856.341,0.0,541.296,,,-36.947,515.823,0.0,1020.172,8.21,1028.382,2884.723,
03/31/2001,3126.974,126.147,126.147,0.0,0.0,,,2533.042,2.824,0.0,2530.218,0.0,0.0,,,,,2659.189,40.846,,,129.108,,297.831,113.265,113.265,0.0,,,184.566,467.785,,354.729,354.729,,,,0.0,,,,0.0,,,0.0,354.729,1691.723,,,,0.0,,,,,,0.0,1691.723,2046.452,0.0,675.531,,,0.0,396.692,0.0,1072.223,8.299,1080.522,3126.974,
06/30/2001,3334.968,81.403,81.403,0.0,0.0,,,2715.674,2.824,0.0,2712.85,0.0,0.0,,,,,2797.077,49.124,,,170.197,,318.57,119.851,119.851,0.0,,,198.719,537.891,,405.73,405.73,,,,0.0,,,,0.0,,,0.0,405.73,1781.161,,,,0.0,,,,,,0.0,1781.161,2186.891,0.0,678.005,,,0.0,461.716,0.0,1139.721,8.356,1148.077,3334.968,
09/30/2001,3652.19,239.28,239.28,0.0,0.0,,,2804.377,2.824,0.0,2801.553,0.0,0.0,,,,,3043.657,53.096,107.134,-54.038,222.818,,332.619,136.223,136.223,0.0,,,196.396,608.533,,508.749,508.749,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,508.749,1884.33,1884.33,0.0,0.0,0.0,,,,,,0.0,1884.33,2393.079,0.0,705.611,,,0.0,,544.636,1250.247,8.864,1259.111,3652.19,
12/31/2001,3660.806,31.98,31.98,0.0,0.0,,,2980.084,2.824,0.0,2977.26,0.0,0.0,,,,,3012.064,55.093,,,233.858,,359.791,136.765,136.765,0.0,,,223.026,648.742,,473.466,473.466,,,,0.0,,,,0.0,,,0.0,473.466,1854.685,,,,0.0,,,,,,0.0,1854.685,2328.151,0.0,709.117,,,0.0,614.219,0.0,1323.336,9.319,1332.655,3660.806,
03/31/2002,5596.654,189.726,189.726,0.0,0.0,,,4201.134,10.365,0.0,4190.769,0.0,0.0,,,,,4390.86,68.536,,,202.323,,934.935,564.005,564.005,0.0,,,370.93,1205.794,,639.682,639.682,,,,0.0,,,,0.0,,,0.0,639.682,2896.354,,,,0.0,,,,,,0.0,2896.354,3536.036,0.0,1347.672,,,0.0,698.519,-7.46,2038.731,21.887,2060.618,5596.654,
06/30/2002,5750.728,55.927,55.927,0.0,0.0,,,4381.653,10.251,0.0,4371.402,0.0,0.0,,,,,4437.58,73.338,,,288.478,,951.332,586.39,586.39,0.0,,,364.942,1313.148,,636.072,636.072,,,,0.0,,,,0.0,,,0.0,636.072,2954.963,,,,0.0,,,,,,0.0,2954.963,3591.035,0.0,1350.606,,,0.0,795.68,-6.963,2139.323,20.37,2159.693,5750.728,
09/30/2002,6017.527,104.344,104.344,0.0,0.0,,,4343.069,10.303,0.0,4332.766,0.0,0.0,,,,,4447.413,71.895,143.707,-71.812,464.088,,1034.131,579.23,579.23,0.0,,,454.901,1570.114,,848.388,848.388,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,848.388,2878.331,2878.331,0.0,0.0,0.0,,,,,,0.0,2878.331,3726.719,0.0,1351.095,,,0.0,923.221,-4.453,2269.863,20.945,2290.808,6017.527,
12/31/2002,6258.592,194.695,194.695,0.0,0.0,,,4580.499,10.74,0.0,4569.759,0.0,0.0,,,,,4775.194,77.057,,,431.827,,974.514,579.0,579.0,0.0,,,395.514,1483.398,,828.001,828.001,,,,0.0,,,,0.0,,,0.0,828.001,3037.895,,,,0.0,,,,,,0.0,3037.895,3865.896,0.0,1351.732,,,0.0,1026.259,-3.847,2374.144,18.552,2392.696,6258.592,
03/31/2003,6398.949,187.478,187.478,0.0,0.0,,,4736.179,6.801,0.0,4729.378,0.0,0.0,,,,,4923.657,77.035,,,424.674,,973.583,581.23,581.23,0.0,,,392.353,1475.292,,817.997,817.997,,,,0.0,,,,0.0,,,0.0,817.997,3088.877,,,,0.0,,,,,,0.0,3088.877,3906.874,0.0,1355.006,,,0.0,1143.825,-32.795,2466.036,26.039,2492.075,6398.949,
06/30/2003,6916.059,296.242,296.242,0.0,0.0,,,4997.296,10.57,0.0,4986.726,0.0,0.0,,,,,5293.538,75.689,,,525.475,,1021.357,581.2,581.2,0.0,,,440.157,1622.521,,930.275,930.275,,,,0.0,,,,0.0,,,0.0,930.275,3081.032,,,,0.0,,,,,,0.0,3081.032,4011.307,0.0,1578.309,,,-29.522,1289.222,-2.707,2835.302,69.45,2904.752,6916.059,
09/30/2003,7279.377,582.905,582.905,0.0,0.0,,,5082.295,6.491,0.0,5075.804,0.0,0.0,,,,,5665.2,81.675,171.875,-90.2,485.485,,1047.017,578.9,578.9,0.0,,,468.117,1614.177,,439.593,439.593,,,,0.0,0.0,0.0,0.0,709.5,,,709.5,1149.093,2963.123,2963.123,0.0,0.0,0.0,,,,,,0.0,2963.123,4112.216,0.0,1583.203,,,-58.859,1509.079,-2.163,3031.26,135.901,3167.161,7279.377,
12/31/2003,7169.027,164.16,164.16,0.0,0.0,,,5589.649,2911.815,0.0,5583.158,0.0,0.0,,,,,5753.809,82.897,,,300.217,,1032.104,578.9,578.9,0.0,,,453.204,1415.218,,1077.242,1077.242,,,,0.0,,,,0.0,,,0.0,1077.242,2734.371,,,,0.0,,,,,,0.0,2734.371,3811.613,0.0,1588.309,,,-58.859,1683.9,-1.662,3211.688,145.726,3357.414,7169.027,
03/31/2004,7643.697,218.693,218.693,0.0,0.0,,,5835.596,3040.513,0.0,5829.334,0.0,0.0,,,,,6054.289,86.383,,,432.494,,1070.531,578.9,578.9,0.0,,,491.631,1589.408,,1057.6,1057.6,,,,0.0,,,,0.0,,,0.0,1057.6,3147.725,,,,0.0,,,,,,0.0,3147.725,4205.325,0.0,1596.471,,,-58.859,1853.67,-1.079,3390.203,48.169,3438.372,7643.697,
