Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/2016,2217.8,36.6,36.6,0,199.8,199.8,0,544.5,135.5,0.1,382.2,26.7,89.8,,87.4,870.7,1021.0,2020.5,-999.5,0,326.1,173.9,133.8,40.1,,152.2,1347.1,,273.5,240.3,33.2,25.7,21.8,1.3,1.3,,2.6,77.6,,,76.4,376.8,114.3,107.7,6.6,6.6,,251.7,,,,,,251.7,366.0,742.8,0,,,,0.0,,1475.0,1475.0,,1475.0,2217.8,
05/29/2016,2158.3,36.4,36.4,0,186.5,186.5,0,498.9,86.2,0.0,384.3,28.4,58.2,,56.1,780.0,1043.1,2034.2,-991.1,0,335.2,173.5,133.9,39.6,155.2,6.5,1378.3,,371.0,238.0,133.0,38.4,24.9,1.4,1.4,,12.1,0.2,,,0.0,409.6,104.6,97.7,6.9,6.9,,196.1,0.0,0.0,0.0,0.0,144.0,52.1,300.7,710.3,0,0.0,0.0,0.0,0.0,0.0,1400.6,1400.6,47.4,1448.0,2158.3,
08/28/2016,2213.7,72.4,72.4,0,210.5,210.5,0,474.3,52.1,0.1,393.0,29.1,37.6,,36.5,794.8,1083.5,2094.5,-1011.0,0,335.4,172.5,133.6,38.9,,162.9,1418.9,,284.7,259.8,24.9,38.6,24.5,1.4,1.4,,12.7,75.7,,,75.7,399.0,103.5,96.6,6.9,6.9,,247.8,,,,,,247.8,351.3,750.3,0,,,,0.0,,1463.4,1463.4,,1463.4,2213.7,
11/27/2016,2400.2,69.4,69.4,0,232.2,232.2,0,615.9,199.5,0.0,379.0,37.4,18.5,,18.5,936.0,1134.3,2171.7,-1037.4,0,329.9,170.0,131.7,38.3,,159.9,1464.2,,460.3,314.3,146.0,144.2,105.2,3.8,3.8,,35.2,0.6,,,0.0,605.1,2382.0,2344.1,37.9,37.9,,121.7,,,,,56.9,64.8,2503.7,3108.8,0,-751.7,146.0,-897.7,0.0,15.3,-22.2,-758.6,50.0,-708.6,2400.2,
02/26/2017,2432.2,37.5,37.5,0,218.1,218.1,0,572.4,132.5,0.0,411.4,28.5,84.1,,84.1,912.1,1185.6,2243.0,-1057.4,0,334.5,170.4,132.7,37.7,155.6,8.5,1520.1,,432.4,271.9,160.5,140.3,92.5,0.6,0.6,,47.2,2.5,,,0.0,575.2,2372.7,2372.7,,,,135.2,,,,,61.6,73.6,2507.9,3083.1,0,-754.2,146.1,-900.3,-0.1,72.1,-19.4,-701.6,50.7,-650.9,2432.2,
05/28/2017,2485.6,57.1,57.1,0,185.2,185.2,0,525.0,84.5,0.0,409.7,30.8,90.9,,90.9,858.2,1271.2,2349.5,-1078.3,0,356.2,170.2,133.0,37.2,178.6,7.4,1627.4,,493.2,295.0,198.2,59.9,22.0,,,,37.9,0.0,,,0.0,555.4,2365.0,,,,,161.7,,,,,,161.7,2526.7,3082.1,0,-758.7,146.1,-904.8,-0.2,121.0,-9.3,-647.2,50.7,-596.5,2485.6,
08/27/2017,2527.8,69.8,69.8,0,213.7,213.7,0,494.4,50.0,0.0,414.0,30.4,60.5,,60.5,838.4,1309.5,2404.0,-1094.5,0,379.9,170.9,134.1,36.8,196.0,13.0,1689.4,,445.5,261.6,183.9,71.4,32.3,0.0,0.0,,39.1,0.0,,,0.0,516.9,2360.1,2360.1,0.0,0.0,,172.4,,,,,102.0,70.4,2532.5,3049.4,0,-756.4,146.2,-902.6,-2.1,176.9,5.9,-575.7,54.1,-521.6,2527.8,
11/26/2017,2714.9,71.1,71.1,0,224.4,224.4,0,662.9,205.9,0.0,426.4,30.6,45.9,,45.9,1004.3,1331.5,2446.3,-1114.8,0,379.1,170.7,134.4,36.3,,208.4,1710.6,,519.0,342.7,176.3,127.5,88.2,,,,39.3,0.0,,,0.0,646.5,2353.2,2353.2,,,,190.1,,,,,115.8,74.3,2543.3,3189.8,0,-760.4,146.3,-906.7,-2.2,225.8,5.4,-531.4,56.5,-474.9,2714.9,
02/25/2018,2753.9,49.4,49.4,0,236.6,236.6,0,630.5,148.7,0.0,450.1,31.7,81.7,,80.7,998.2,1356.8,2487.6,-1130.8,0,398.9,171.6,135.7,35.9,217.4,9.9,1755.7,,506.0,292.4,213.6,70.9,31.6,,,,39.3,2.4,,,0.0,579.3,2344.4,2344.4,,,,167.8,,,,,80.4,87.4,2512.2,3091.5,0,-757.8,146.3,-904.1,-2.3,354.5,13.4,-392.2,54.6,-337.6,2753.9,
05/27/2018,2752.6,55.6,55.6,0,225.9,225.9,0,549.7,87.2,0.0,430.5,32.0,99.2,0.0,99.2,930.4,1420.8,2581.3,-1160.5,0,401.4,170.5,135.1,35.4,219.8,11.1,1822.2,,468.0,254.4,213.6,48.3,9.6,,,,38.7,2.4,0.0,0.0,0.0,518.7,2336.7,2336.7,,,,176.4,0.0,0.0,0.0,0.0,92.1,84.3,2513.1,3031.8,0,-754.0,146.4,-900.4,-2.9,426.4,-4.3,-334.8,55.6,-279.2,2752.6,
08/26/2018,2854.3,150.5,150.5,0,331.1,331.1,0,447.7,48.9,0.0,367.1,31.7,55.5,,55.5,984.8,1467.9,2661.9,-1194.0,0,401.6,168.1,133.3,34.8,221.7,11.8,1869.5,,470.8,270.2,200.6,47.5,8.8,0.0,0.0,,38.7,0.0,,,0.0,518.3,2329.5,2329.5,0.0,0.0,,194.7,,,,,109.9,84.8,2524.2,3042.5,0,-749.8,146.6,-896.4,-6.8,519.7,-8.5,-245.4,57.2,-188.2,2854.3,
11/25/2018,3052.5,121.6,121.6,0,340.1,340.1,0,628.2,218.9,0.0,375.6,33.7,44.7,,44.7,1134.6,1521.4,2739.7,-1218.3,0,396.5,167.0,132.6,34.4,,229.5,1917.9,,644.2,376.2,268.0,52.6,13.1,,,,39.5,0.0,,,0.0,696.8,2321.8,2321.8,,,,201.0,,,,,114.8,86.2,2522.8,3219.6,0,-754.3,146.6,-900.9,-7.3,610.4,-15.9,-167.1,0.0,-167.1,3052.5,
02/24/2019,3111.2,17.2,17.2,0,359.3,359.3,0,588.2,156.0,0.0,398.8,33.4,103.3,,103.3,1068.0,1557.0,2808.6,-1251.6,0,486.2,247.1,208.8,38.3,222.8,16.3,2043.2,,530.5,308.8,221.7,136.1,98.7,,,,37.4,0.0,,,0.0,666.6,2288.6,2288.6,,,,212.2,,,,,126.6,85.6,2500.8,3167.4,0,-750.2,146.6,-896.8,-15.2,722.5,-13.3,-56.2,0.0,-56.2,3111.2,
05/26/2019,3048.1,12.2,12.2,0,340.1,340.1,0,498.3,93.1,0.0,371.4,33.8,110.9,0.0,110.9,961.5,1597.8,2874.5,-1276.7,0,488.8,243.5,205.9,37.6,224.6,20.7,2086.6,,506.4,289.2,217.2,46.4,8.4,4.3,4.3,,33.7,0.0,0.0,0.0,0.0,552.8,2280.2,2205.6,74.6,74.6,,219.7,0.0,0.0,0.0,0.0,125.7,94.0,2499.9,3052.7,0,-743.6,146.7,-890.3,-39.3,803.6,-25.3,-4.6,0.0,-4.6,3048.1,
08/25/2019,3222.6,19.0,19.0,0,371.1,371.1,0,466.5,59.6,0.0,372.7,34.2,49.6,,49.6,906.2,1715.4,3026.5,-1311.1,0,601.0,346.8,306.4,40.4,225.5,28.7,2316.4,,479.3,284.9,194.4,60.8,0.0,27.1,2.8,24.3,33.7,0.0,,,0.0,540.1,2349.2,2198.9,150.3,11.2,139.1,241.0,,,,,143.5,97.5,2590.2,3130.3,0,-737.9,146.8,-884.7,-46.7,911.1,-34.2,92.3,0.0,92.3,3222.6,
11/24/2019,3466.8,23.8,23.8,0,399.7,399.7,0,636.0,213.5,0.0,386.7,35.8,47.8,,47.8,1107.3,1715.2,3055.2,-1340.0,0,644.3,347.0,307.2,39.8,,297.3,2359.5,,599.9,406.0,193.9,69.5,9.9,25.9,2.4,23.5,33.7,0.0,,,0.0,669.4,2345.0,2191.6,153.4,12.1,141.3,251.3,,,,,149.5,101.8,2596.3,3265.7,0,-730.2,146.8,-877.0,-57.1,1021.9,-33.5,201.1,0.0,201.1,3466.8,
02/23/2020,3466.2,30.1,30.1,0,368.8,368.8,0,597.3,149.6,0.0,410.2,37.5,101.3,,101.3,1097.5,1726.4,3108.1,-1381.7,0,642.3,342.0,303.0,39.0,253.4,46.9,2368.7,,511.8,291.9,219.9,81.9,21.0,27.1,2.8,24.3,33.8,0.0,,,0.0,593.7,2346.3,2184.1,162.2,11.2,151.0,255.8,,,,,156.9,98.9,2602.1,3195.8,0,-720.0,147.0,-867.0,-68.2,1099.2,-40.6,270.4,0.0,270.4,3466.2,
05/31/2020,4662.3,1364.0,1364.0,0,342.1,342.1,0,486.7,106.2,0.0,339.2,41.3,109.8,0.0,109.8,2302.6,1702.0,3109.7,-1407.7,0,657.7,342.1,303.8,38.3,250.2,65.4,2359.7,,449.0,244.4,204.6,575.9,498.7,31.2,2.8,28.4,46.0,0.0,0.0,0.0,0.0,1024.9,3137.2,2982.1,155.1,10.5,144.6,260.2,0.0,0.0,0.0,0.0,152.5,107.7,3397.4,4422.3,0,-715.9,147.0,-862.9,-68.2,1064.6,-40.5,240.0,0.0,240.0,4662.3,
