Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/29/1989,538.510986,,-329.596985,,208.914001,,-197.369995,,,,11.544,-3.919,,0.0,3.919,7.625,-2.44,5.185,0.0,,,5.185,0.0,5.185,0.0,,5.185,5.185,,735.656006,0.00875,0.00875,,735.656006,0.00875,0.00875,0.00875,
12/29/1989,595.366028,,-353.761993,,241.604034,,-206.210999,,,,35.393002,-7.765,,0.0,7.765,27.628002,-7.431,20.197001,0.0,,,20.197001,0.0,20.197001,0.0,,20.197001,20.197001,,742.919983,0.02875,0.02875,,742.919983,0.02875,0.02875,0.02875,
03/30/1990,632.211975,,-341.102997,,291.108978,,-232.281998,,,,58.827,-7.863,,0.0,7.863,50.964,-14.27,36.694,0.0,,,36.693999,0.0,36.694,0.0,,36.694,36.694,,758.007996,0.05,0.05,,758.007996,0.05,0.05,0.05,
06/30/1990,700.096008,,-374.553009,,325.542999,,-253.998001,,,,71.544998,-3.348,,0.0,3.348,68.196998,-19.094,49.103001,0.0,,,49.102998,0.0,49.103001,0.0,,49.103001,49.103001,,758.219968,0.06375,0.06375,0.06375,758.219968,0.06375,0.06375,0.06375,
09/28/1990,677.049011,,-367.170013,,309.878998,,-266.933014,,,,42.945999,-4.049,,0.0,4.049,38.896999,-12.835,26.062,0.0,,,26.061999,0.0,26.062,0.0,,26.062,26.062,,802.504028,0.0325,0.0325,,802.504028,0.0325,0.0325,0.0325,
12/28/1990,753.489014,,-409.575989,,343.913025,,-282.572998,,,,61.34,-2.959,,0.0,2.959,58.381,-19.266001,39.115002,0.0,,,39.114999,0.0,39.115002,0.0,,39.115002,39.115002,,810.59198,0.04875,0.04875,,810.59198,0.04875,0.04875,0.04875,
03/29/1991,848.29303,,-468.790009,,379.503021,,-289.628998,,,,89.874001,-2.253,,0.0,2.253,87.621001,-28.952999,58.667999,0.0,,,58.668001,0.0,58.667999,0.0,,58.667999,58.667999,,839.392029,0.07,0.07,,839.392029,0.07,0.07,0.07,
06/30/1991,942.460999,,-512.062012,,430.398987,,-329.634003,,,,100.764999,-1.673,,0.0,1.673,99.091999,-32.662998,66.429001,0.0,,,66.429001,0.0,66.429001,0.0,,66.429001,66.429001,,789.056032,0.08375,0.08375,0.08375,789.056032,0.08375,0.08375,0.08375,
09/27/1991,754.896973,,-408.968994,,345.927979,,-303.932007,,,,41.995998,-1.462,,0.0,1.462,40.533998,-13.781,26.753,0.0,,,26.752998,0.0,26.753,0.0,,26.753,26.753,,807.367981,0.03375,0.03375,,807.367981,0.03375,0.03375,0.03375,
12/27/1991,909.054993,,-503.117004,,405.937988,,-331.127991,,,,74.809998,-2.922,,0.0,2.922,71.887998,-24.441999,47.445999,0.0,,,47.445998,0.0,47.445999,0.0,,47.445999,47.445999,,803.583984,0.05875,0.05875,,803.583984,0.05875,0.05875,0.05875,
