Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,39.5,,,,131.0,,6.638655,,,0.485085,,,
06/30/2008,49.1,,,,73.8,,9.775035,,,0.610659,,,
09/30/2008,110.0,,110.0,,77.0,77.0,20.347762,,20.347762,1.36473,,1.36473,
12/31/2008,296.6,,296.6,,153.4,153.4,117.558462,,117.558462,3.703195,,3.703195,
03/31/2009,306.9,0.0,306.9,0.0,153.4,153.4,137.5,0.0,137.5,3.882353,0.0,3.882353,
06/30/2009,237.1,0.0,237.1,0.0,123.7,123.7,104.726148,0.0,104.726148,3.043841,0.0,3.043841,
09/30/2009,290.0,,290.0,0.0,131.9,131.9,152.792413,,152.792413,3.733217,,3.733217,
12/31/2009,1062.9,,1062.9,,117.4,117.4,407.710012,,407.710012,11.622236,,11.622236,
03/31/2010,414.8,0.0,414.8,0.0,123.2,123.2,102.953586,0.0,102.953586,4.447113,0.0,4.447113,
06/30/2010,0.1,,0.1,,128.1,128.1,0.015581,,0.015581,0.000991,,0.000991,
09/30/2010,0.0,,0.0,,131.3,131.3,0.0,,0.0,0.0,,0.0,
12/31/2010,0.1,,0.1,,111.3,111.3,0.012034,,0.012034,0.000885,,0.000885,
03/31/2011,0.1,,0.1,,96.5,96.5,0.012425,,0.012425,0.000882,,0.000882,
06/30/2011,0.1,,0.1,,111.1,111.1,0.012494,,0.012494,0.000883,,0.000883,
09/30/2011,0.1,,0.1,,128.2,128.2,0.012157,,0.012157,0.000876,,0.000876,
12/31/2011,153.1,,153.1,5821.4,3686.6,9508.0,10.238748,,10.238748,1.063778,,1.063778,
03/31/2012,10.1,,10.1,5590.2,3709.2,9299.4,0.708225,,0.708225,0.072316,,0.072316,
06/30/2012,10.1,,10.1,6665.2,2588.3,9253.5,0.755197,,0.755197,0.07252,,0.07252,
09/30/2012,10.1,,10.1,6751.9,2797.0,9548.9,0.811506,,0.811506,0.071997,,0.071997,
12/31/2012,,,,3273.5,6260.7,9534.2,,,,,,,
03/31/2013,,,,5964.3,3612.2,9576.5,,,,,,,
06/30/2013,,0.8,0.8,6435.8,2800.0,9235.8,,0.084558,0.084558,,0.005866,0.005866,
09/30/2013,,,,5677.7,3441.1,9118.8,,,,,,,
12/31/2013,,0.0,0.0,5270.0,3810.0,9080.0,0.0,0.0,0.0,0.0,0.0,0.0,
03/31/2014,,,,3228.8,5900.2,9129.0,,,,,,,
06/30/2014,,,,5868.3,3303.3,9171.6,,,,,,,
09/30/2014,80.0,0.7,80.7,5719.6,3239.8,8959.4,17.432992,0.152539,17.585531,0.623461,0.005455,0.628916,
12/31/2014,0.0,,0.0,,,8855.1,0.0,,0.0,0.0,,0.0,
03/31/2015,50.1,0.0,50.1,,8919.1,8919.1,52.736842,0.0,52.736842,0.397017,0.0,0.397017,
06/30/2015,726.4,,726.4,,5461.8,5461.8,166.988506,,166.988506,5.501197,,5.501197,
09/30/2015,586.0,,586.0,,4941.2,4941.2,336.201951,,336.201951,4.506167,,4.506167,
12/31/2015,549.2,,549.2,,4504.4,4504.4,179.24282,,179.24282,4.387247,,4.387247,
03/31/2016,653.8,,653.8,,4854.6,4854.6,193.60379,,193.60379,5.184281,,5.184281,
06/30/2016,0.0,,0.0,,4599.6,4599.6,0.0,,0.0,0.0,,0.0,
09/30/2016,0.0,,0.0,,4908.6,4908.6,0.0,,0.0,0.0,,0.0,
12/31/2016,,,6.3,,4919.7,4919.7,0.0,,3.705882,0.0,,0.053526,
03/31/2017,,,,,5491.2,5491.2,0.0,,0.0,0.0,,0.0,
06/30/2017,,7.5,7.5,,5422.3,5422.3,,1.190098,1.190098,,0.059026,0.059026,
09/30/2017,,,7.5,,4934.3,4934.3,0.0,,1.438987,0.0,,0.058011,
12/31/2017,0.0,11.8,11.8,,4842.5,4842.5,0.0,-0.908461,-0.908461,0.0,0.106457,0.106457,
03/31/2018,,20.0,20.0,,4879.2,4879.2,0.0,-1.495663,-1.495663,0.0,0.182128,0.182128,
06/30/2018,,24.1,24.1,,4913.5,4913.5,,-1.713473,-1.713473,,0.222329,0.222329,
09/30/2018,,26.3,26.3,,4844.7,4844.7,0.0,-1.932545,-1.932545,0.0,0.245563,0.245563,
12/31/2018,310.0,15.3,325.3,,4412.6,4412.6,-16.151722,-0.797166,-16.948888,3.022061,0.149153,3.171214,
03/31/2019,0.0,,0.0,,4565.9,4565.9,0.0,,0.0,0.0,,0.0,
06/30/2019,0.0,0.0,0.0,,4967.8,4967.8,0.0,0.0,0.0,0.0,0.0,0.0,
09/30/2019,0.0,0.0,0.0,,4663.0,4663.0,0.0,0.0,0.0,0.0,0.0,0.0,
12/31/2019,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
03/31/2020,,,,,752.7,752.7,0.0,,0.0,0.0,,0.0,
06/30/2020,,,,,766.4,766.4,,,,,,,
