Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1996,238860,6544,,,,185437,,,,0.0,,2870.0,,,,,,,,37209,-815.0,36394,1681.0,,,,,,,,42328,,,,,,29275,170415,,,,,,,,18585,,,,,,,,,,8018,226293,1145.0,4013,,,-1005,,7549,11702,865.0,12567,238860,
02/28/1997,267032,5673,,,,213686,,,,0.0,,3352.0,,,,,,,,37211,-819.0,36392,1655.0,,,,,,,0.0,42666,,,,,,31354,191020,,,,,,,,24148,,,,,,,,,,7555,254077,1027.0,3772,,,-716,,7873,11956,999.0,12955,267032,
05/31/1997,269984,4331,,,,214698,,,,0.0,,4711.0,,,,,,,,38701,-821.0,37880,1655.0,,,,,,,0.0,44589,,,,,,31974,188682,,,,,,,,25898,,,,,,,,,,10275,256829,800.0,3766,,,-432,,8022,12156,999.0,13155,269984,
08/31/1997,282480,9386,,,,224591,,,,0.0,,4219.0,,,,,,,,36613,-868.0,35745,1680.0,,,,,,,0.0,42604,,,,,,28229,205471,,,,,,,,25196,,,,,,,,,,9798,268694,800.0,3716,,,-332,,8603,12787,999.0,13786,282480,
11/30/1997,302287,8255,,,,234689,,,,0.0,,4705.0,,,,,,,,46439,-884.0,45555,1705.0,,,,,,,0.0,52933,,,,,,34079,225031,,,,,,,,18622,,,,,,,,,,9600,287332,808.0,3958,,,-250,,9440,13956,999.0,14955,302287,
02/28/1998,345534,6198,,,,274927,,,,0.0,,3648.0,,,,,,,,52117,-905.0,51212,1718.0,,,,,,,,59043,,,,,,38984,256880,,,,,,,,25897,,,,,,,,,,8250,330011,807.0,3882,,,-45,,9880,14524,999.0,15523,345534,
05/31/1998,380665,9271,,,,312498,,,,0.0,,3021.0,,,,,,,,47454,-824.0,46630,1760.0,,,,,,,,54115,,,,,,47061,281481,,,,,,,,27132,,,,,,,,,,9767,365441,807.0,3824,,,-1389,,10583,13825,1399.0,15224,380665,
08/31/1998,360929,9820,,,,294320,,,,0.0,,5090.0,,,,,,,,43234,-855.0,42379,1779.0,,,,,,,,49920,,,,,,61656,246119,,,,,,,,28070,,,,,,,,,,10043,345888,606.0,3747,,,-1821,,11110,13642,1399.0,15041,360929,
11/30/1998,317590,16878,,,,249762,,,,0.0,,3359.0,,,,,,,,39213,-787.0,38426,1834.0,,,,,,,0.0,45757,,,,,,48803,221871,,,,,,,,22404,,,,,,,,,,8994,302072,614.0,3752,,,-2702,,12455,14119,1399.0,15518,317590,
02/28/1999,321778,6225,,,,261570,,,,0.0,,5090.0,,,,,,,,39803,-777.0,39026,2121.0,,,,,,,,46772,,,,,,48594,224326,,,,,,,,23152,,,,,,,,,,9470,305542,613.0,3733,,,-2446,12968.0,-31,14837,1399.0,16236,321778,
