Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,40.889,24.257,2.543,,13.442,,,,13.442,0.647,,,,,-0.470993,,-0.470993,,,,,,,,,,,,,,,,,,0.470993,,,,,,,,,,,,,,,0.361,74.991997,
06/30/1999,7.477,24.934999,2.691,,-15.738,,,,-15.738,-4.411,,,,,-0.645,,-0.645,,,,,,,,,,,,,,,,,,0.645,,,,,,,,,,,,,,,31.434999,74.421997,
09/30/1999,41.550999,28.780001,1.676,,7.781,,,,7.781,3.314,,,,,-0.653,,-0.653,,,,,,,,,,,,,,,,,,0.653,,,,,,,,,,,,,,,15.198,73.730003,
12/31/1999,31.68,29.414,3.445,,1.3,,,,1.3,-2.479,,,,,-3.716,,-3.716,,,,,,,,,,,,,,,,,,3.716,,,,,,,,,,,,,,,17.728001,74.150002,
03/31/2000,49.366001,28.306,2.931,,18.278,,,,18.278,-0.149,,,,,-1.351,,-1.351,,,,,,,,,,,,,,,,,,1.351,,,,,,,,,,,,,,,1.791,79.067001,
06/30/2000,9.789,28.948,2.402,,-20.847,,,,-20.847,-0.714,,,,,-1.204,,-1.204,,,,,,,,,,,,,,,,,,1.204,,,,,,,,,,,,,,,39.039001,84.355003,
09/30/2000,34.162998,29.077999,1.468,,1.094,,,,1.094,2.523,,,,,-0.732,,-0.732,,,,,,,,,,,,,,,,,,0.732,,,,,,,,,,,,,,,16.652,92.758003,
12/31/2000,25.99,28.494,1.084,,8.362,,,,8.362,-11.95,,,,-0.421,-0.421,,-0.421,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25.569,17.535,98.807,
03/31/2001,57.12,30.677,0.526,0.45,2.142,,,1.884,0.258,23.325,,,,-186.318,-0.277,,-0.277,-1.051,589.182,,,,-590.233,,,,-184.99,,,,,,,,0.0,186.459,-10.601,200.0,,,,,-148.271,0.943,-149.214,145.624,-0.293,,57.261,,97.308,
06/30/2001,23.276,30.921,1.032,0.45,0.449,,,2.138,-1.689,-9.576,,,,-543.097,-0.567,,-0.567,-212.831,780.929,,,,-993.76,,,,-329.699,,,,,,,,0.0,400.916,-10.973,300.0,,,,,-48.635,0.564,-49.199,161.394,-0.87,,-118.905,,99.988,
09/30/2001,56.802,33.527,2.037,0.45,2.92,,,2.377,0.543,17.868,,,,-722.045,-1.734,,-1.734,-350.732,619.326,,,,-970.058,,,,-369.579,,,,,,,,0.0,709.69,-11.592,250.0,,,,,-59.905,0.155,-60.06,531.187,0.0,,44.447,0.06,99.039,
12/31/2001,27.549,39.424,1.572,0.525,1.452,,,,1.452,-15.424,,,,-680.022,-1.388,,-1.388,-471.757,486.585,,,,-958.342,,,,-206.877,,,,,,,,0.0,584.373,-13.376,150.0,,,,,-19.666,0.319,-19.985,470.436,-3.021,,-68.1,70.145,103.066,
03/31/2002,66.174004,43.585999,3.067,,21.733,,,,21.733,-2.212,,,,,-3.89,,-3.89,,,,,,,,,,,,,,,,,,3.89,,,,,,,,,,,,,,,3.094,94.864998,
06/30/2002,37.966999,48.174,4.019,,-9.351,,,,-9.351,-4.875,,,,,-0.557,,-0.557,,,,,,,,,,,,,,,,,,0.557,,,,,,,,,,,,,,,47.355,95.853996,
09/30/2002,57.908001,49.618,3.601,,3.552,,,,3.552,1.137,,,,,-0.485,,-0.485,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,,,,,31.028,101.759003,
12/31/2002,49.223,50.655,5.082,,-5.024,,,,-5.024,-1.49,,,,-0.212,-0.212,,-0.212,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49.011,29.742,97.56,
03/31/2003,98.620003,52.201,10.177,,35.541,,,,35.541,0.701,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,96.106003,
06/30/2003,20.84,52.546001,13.993,,-36.632999,,,,-36.632999,-9.066,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,66.721001,94.764999,
09/30/2003,73.707001,50.263,12.362,,5.829,,,,5.829,5.253,,,,,-0.87,,-0.87,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,22.875,91.351997,
