Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,705.031,705.031,,-375.635,375.635,329.396,0.0,-245.882,199.493,46.389,0.0,83.514,-3.322,12.009,12.122,-0.113,-16.09,7.403,80.192,-21.833,58.359,0.0,0.0,0.0,58.359,0.0,58.359,0.0,-9.284,49.075,55.79405,6.71905,84.092,0.58,0.58,0.663488,100.0,0.58,0.58,0.647191,
06/30/2013,730.164,730.164,,-379.43,379.43,350.734,0.0,-261.166,212.123,49.043,0.0,89.568,20.794,12.248,12.354,-0.106,-37.398,4.356,110.362,-44.051,66.311,0.0,0.0,0.0,66.311,0.0,66.311,0.0,-8.26,58.051,69.1088,11.0578,87.543,0.66,0.66,0.789427,100.011,0.66,0.66,0.770566,
09/29/2013,280.608,248.196,32.412,-55.667,55.667,224.941,0.0,-179.142,72.799,38.953,67.39,45.799,20.77,9.458,9.558,-0.1,-31.899,1.671,66.569,-27.325,39.244,-10.527,-10.527,0.0,49.771,0.0,49.771,0.0,-4.154,45.617,36.60515,1.51515,89.42,0.5,0.39,0.409362,89.486,0.497363,0.379724,0.396656,
12/29/2013,299.561,227.126,72.435,-56.23,56.23,243.331,0.0,-199.9,98.777,41.201,59.922,43.431,15.278,10.487,10.605,-0.118,-59.206,33.441,58.709,-25.449,33.26,-33.854,-33.854,0.0,67.114,0.0,67.114,0.0,-7.205,59.909,56.87865,30.82365,91.093,0.657669,0.286026,0.624402,91.093,0.477622,0.10598,0.444355,
03/30/2014,446.102,431.686,14.416,-100.273,100.273,345.829,0.0,-295.569,137.553,77.385,80.631,50.26,-4.144,40.348,40.519,-0.171,-38.263,2.059,46.116,-17.649,28.467,-12.601,-12.601,0.0,41.068,0.0,41.068,0.0,-1.849,39.219,34.6481,8.0301,95.524,0.41,0.28,0.362716,95.692,0.41,0.28,0.362716,
06/29/2014,474.979,460.768,14.211,-103.431,103.431,371.548,0.0,-339.355,165.805,78.558,94.992,32.193,77.194,38.999,39.146,-0.147,-118.953,2.76,109.387,-42.305,67.082,-15.84,-15.84,0.0,82.922,0.0,82.922,0.0,-3.179,79.743,66.77015,2.86715,96.294,0.83,0.67,0.693399,96.484,0.83,0.67,0.693399,
09/28/2014,474.858,461.728,13.13,-107.553,107.553,367.305,0.0,-312.02,152.148,65.944,93.928,55.285,0.248,38.787,39.15,-0.363,-40.559,1.524,55.533,-2.647,52.886,14.889,14.889,0.0,37.997,0.0,37.997,0.0,-1.048,36.949,57.3266,5.4886,97.384,0.38,0.53,0.588665,97.61,0.38,0.53,0.58623,
12/28/2014,553.42,442.599,110.821,-109.506,109.506,443.914,0.0,-280.47,128.768,66.587,85.115,163.444,367.33,38.364,39.051,-0.687,-38.938,-366.756,530.774,-216.098,314.676,0.0,0.0,0.0,314.676,0.0,314.676,0.0,-9.566,305.11,55.2656,-249.8444,97.554,3.127601,3.127601,0.566513,97.906,3.122648,3.122648,0.566513,
03/29/2015,472.737,460.502,12.235,-102.988,102.988,369.749,0.0,-308.814,150.473,64.825,93.516,60.935,-2.216,38.845,39.212,-0.367,-36.934,0.305,58.719,-22.302,36.417,0.0,0.0,0.0,36.417,0.0,36.417,0.0,-0.705,35.712,37.6295,1.9175,95.411,0.37,0.37,0.394394,95.536,0.37,0.37,0.390071,
06/30/2015,501.524,489.247,12.277,-112.533,112.533,388.991,0.0,-369.207,165.122,66.403,137.682,19.784,-23.742,40.331,40.374,-0.043,-45.913,29.324,-3.958,0.693,-3.265,0.0,0.0,0.0,-3.265,,-3.265,0.0,-0.172,-3.437,18.4706,21.9076,95.337,-0.04,-0.04,0.19374,95.337,-0.04,-0.04,0.189791,
