Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
09/30/2009,,-43.3,0.0,16.6,637.7,,,852.1,74.838634,,,,,,,,,
12/31/2009,,-115.0,0.0,16.5,754.2,,,908.5,83.01596,,,,,,,,,
09/30/2010,,-51.0,0.0,4.0,1151.3,,,1026.5,112.157818,,,,,,,,,
12/31/2010,,-62.6,0.0,4.2,1211.3,,,1028.8,117.739114,,,,,,,,,
03/31/2011,,-41.9,0.0,4.3,1307.7,,,1128.7,115.858953,,,,,,,,,
06/30/2011,,-46.8,0.0,4.4,1402.8,,,1205.6,116.357001,,,,,,,,,
09/30/2011,,-38.5,0.0,4.4,1340.4,,,1124.3,119.220849,,,,,,,,,
12/31/2011,,-61.7,0.0,3.7,1316.2,,,1048.6,125.519741,,,,,,,,,
03/31/2012,,-42.3,0.0,6.5,1306.4,,,1074.4,121.593448,,,,,,,,,
06/30/2012,,-33.9,0.0,4.9,1334.4,,,1110.3,120.183734,,,,,,,,,
12/31/2012,,-71.2,0.0,4.4,1305.4,,,1013.2,128.839321,,,,,,,,,
03/31/2013,,,,,,,,,,,,,,,,,,
06/30/2013,,,,,,,,,,,,,,,,,,
09/30/2013,,,,,,,,,,,,,,,,,,
12/31/2013,,-74.4,0.0,3.2,1294.8,-1.8,,1186.0,109.173693,,,,,,,,,
03/31/2014,,-97.4,0.0,3.0,1275.0,,,1160.5,109.866437,,,,,,,,,
06/30/2014,,-82.9,0.0,2.9,1254.8,,,1146.3,109.465236,,,,,,,,,
09/30/2014,410.08,-80.5,0.0,2.9,1227.8,,1560.28,1189.6,103.211163,0.78691,0.438737,11.472647,17.317203,352.0,1502.2,48.701678,,
12/31/2014,318.132375,-60.0,0.0,2.6,1259.1,,1519.832375,1135.6,110.875308,0.828447,0.419588,11.513882,17.590652,317.76,1519.46,47.439169,,
03/31/2015,204.078875,-70.8,0.0,2.3,1202.4,,1337.978875,1067.4,112.647555,0.898669,0.370037,9.83808,14.849932,203.84,1337.74,41.762899,,
06/30/2015,291.54125,-66.0,0.0,2.0,1145.0,,1372.54125,1030.1,111.154257,0.834219,0.389407,9.059678,12.936298,291.2,1372.2,42.841709,,
09/30/2015,168.518175,-48.3,0.0,1.8,1094.2,,1216.218175,975.1,112.214132,0.899674,0.361239,6.337771,8.307501,168.39523,1216.095231,37.889951,,
12/31/2015,149.905599,-63.2,0.0,0.8,1034.5,,1122.005599,893.7,115.754728,0.92201,0.354258,7.367076,10.331543,149.907,1122.007,34.953772,,
03/31/2016,178.474332,-70.5,0.0,0.8,976.6,,1085.374332,857.9,113.836111,0.899782,0.361574,6.92203,9.57965,178.474332,1085.374332,33.8126,,
06/30/2016,561.74475,-74.5,0.0,0.9,1028.4,,1516.54475,916.3,112.233985,0.67812,0.52273,9.715213,13.42075,564.139153,1518.939153,47.244826,,
09/30/2016,419.220495,-73.2,0.0,1.1,977.9,,1325.020495,944.7,103.514343,0.738026,0.465524,8.751787,12.067582,406.052572,1311.852572,35.684041,,
12/31/2016,495.720437,-80.7,0.0,1.5,963.5,,1380.020437,914.2,105.392693,0.698178,0.482575,7.854413,10.360514,495.285,1379.585,37.164643,,
03/31/2017,467.870974,-72.1,0.0,2.0,992.5,,1390.270974,959.8,103.40696,0.71389,0.467853,7.792999,10.21507,469.806876,1392.206876,37.440695,,
06/30/2017,368.050924,-76.9,0.0,2.2,1036.0,,1329.350924,1013.4,102.230116,0.779328,0.427829,8.688568,12.096005,369.202383,1330.502383,35.757482,,
09/30/2017,403.713104,-73.6,0.0,2.4,1041.6,,1374.113104,1027.2,101.401869,0.758016,0.424594,9.529217,13.824075,404.647582,1375.047582,36.930006,,
12/31/2017,386.969242,-77.4,0.0,2.6,1045.7,,1357.869242,1038.3,100.712703,0.770104,0.403563,9.046431,13.183197,386.88,1357.78,36.493443,,
03/31/2018,303.249935,-67.7,0.0,2.8,1034.5,,1272.849935,1039.7,99.499856,0.812743,0.364557,8.833102,13.231288,305.939264,1275.539264,34.208505,,
06/30/2018,415.849753,-27.6,0.0,2.5,1052.9,-1.1,1442.549753,1074.1,98.026255,0.729888,0.392723,8.643198,12.132462,419.527124,1446.227124,38.678464,,
09/30/2018,423.117256,-30.6,0.0,2.6,1261.8,,1656.917256,1363.9,92.514114,0.761535,0.408208,9.345275,13.036328,425.887666,1659.687666,44.250535,,
12/31/2018,237.394992,-23.2,0.0,2.7,1153.3,,1370.194992,1229.2,93.825252,0.841705,0.310815,7.132717,9.843355,239.018,1371.818,36.593174,,
03/31/2019,320.598365,-22.0,0.0,2.9,1281.6,,1583.098365,1394.4,91.910499,0.809552,0.33698,6.329862,9.028271,323.914363,1586.414363,42.268843,,
06/30/2019,314.738729,-22.8,0.0,5.9,1241.5,,1539.338729,1372.6,90.448783,0.806515,0.317671,6.096391,8.792089,315.859764,1540.459764,40.740749,,
09/30/2019,322.295481,-21.8,0.0,5.9,1158.4,,1464.795481,1299.5,89.141978,0.790827,0.311652,5.581591,7.978369,323.848709,1466.348709,38.767858,,
12/31/2019,446.981893,-11.0,0.0,6.0,1146.6,,1588.581893,1325.2,86.522789,0.721776,0.352893,5.479758,7.414268,450.723,1592.323,42.044038,,
03/31/2020,201.009609,-188.3,0.0,6.0,1253.0,,1271.709609,1438.4,87.110679,0.985288,0.297052,4.850151,6.786427,203.35875,1274.05875,33.657571,,
06/30/2020,214.600945,-99.9,0.0,5.8,1054.2,,1174.700945,1217.9,86.558831,0.89742,0.305276,5.730249,8.972315,214.503,1174.603,30.817974,,
09/12/2020,210.78920541,-99.9,0.0,5.8,1054.2,,1170.88920541,1217.9,86.5588307742836,0.900341377415688,0.30428513654106,5.71165466053658,8.94320142417346,210.693007993698,1170.7930079937,30.8179738797484,,
09/30/2020,,,,,,,,,,,0.326274130592223,,,,,,,
12/31/2020,,,,,,,,,,,0.31441707986305,,,,,,,
