Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,103.41613,3.819154,3.819154,0.0,3.652971,,,0.844524,,,,,0.265271,,,,,,8.58192,92.894577,179.331955,-86.437378,0.0,,1.939635,,,,,,1.939635,94.834212,,2.790195,2.790195,,,,0.0,,,,,,4.012121,,,,4.012121,6.802316,16.0,,,,,10.630865,,,10.630865,26.630865,33.433181,1.2,57.14138,,,0.0,,11.641566,69.982947,0.0,69.982947,103.416128,
06/30/1990,118.398911,6.515233,6.515233,0.0,10.079951,,,1.222558,,,,,0.189612,,,,,,18.007355,99.661789,187.677719,-88.01593,0.0,,0.729767,,,,,,0.729767,100.391556,,7.029795,7.029795,,,,0.0,,,,,,6.634018,,,,6.634018,13.663814,25.0,,,,,10.272542,,,10.272542,35.272542,48.936356,1.2,57.139534,,,0.0,,11.123021,69.462555,0.0,69.462555,118.398911,
09/30/1990,123.04792,10.245799,10.245799,0.0,8.684665,,,2.312955,,,,,0.178366,,,,,,21.421785,100.754845,190.859833,-90.10498,0.0,,0.871285,,,,,,0.871285,101.62613,,7.120958,7.120958,,,,0.0,,,,,,5.610615,,,,5.610615,12.731573,30.0,,,,,10.475178,,,10.475178,40.475178,53.206751,1.2,57.343582,,,0.0,,11.297583,69.841165,0.0,69.841165,123.047916,
12/31/1990,123.5466,7.341943,7.341943,0.0,9.558129,,,1.101739,,,,,0.067032,,,,,,18.068844,104.484642,197.049561,-92.564919,0.0,,0.993116,,,,,,0.993116,105.477758,,5.875238,5.875238,,,,0.0,,,,,,7.94911,,,,7.94911,13.824348,28.0,,,,,10.955236,,,10.955236,38.955236,52.779584,1.1925,57.391808,,,0.0,,12.182708,70.767016,0.0,70.767016,123.5466,
03/31/1991,100.865555,4.091517,4.091517,0.0,9.778942,,,0.889396,,,,,0.265887,,,,,,15.025742,85.066368,204.822845,-119.756477,0.0,,0.773446,,,,,,0.773446,85.839814,,5.309694,5.309694,,,,0.0,,,,,,6.615731,,,,6.615731,11.925425,32.5,,,,,4.617686,,,4.617686,37.117686,49.04311,1.1698,56.848656,,,0.0,,-6.196011,51.822445,0.0,51.822445,100.865555,
06/30/1991,103.503922,7.228563,7.228563,0.0,10.348484,,,0.890099,,,,,0.139843,,,,,,18.606989,84.023544,205.111206,-121.087654,0.0,,0.873389,,,,,,0.873389,84.896933,,4.824337,4.824337,,,,0.0,,,,,,8.343454,,,,8.343454,13.167791,33.0,,,,,4.425277,,,4.425277,37.425277,50.593069,1.1698,56.910507,,,0.0,,-5.169454,52.910853,0.0,52.910853,103.503922,
09/30/1991,99.878662,6.080065,6.080065,0.0,8.095345,,,0.918508,,,,,0.145039,,,,,,15.238957,83.61692,204.72113,-121.104202,0.0,,1.022787,,,,,,1.022787,84.639707,,5.224599,5.224599,,,,0.0,,,,,,5.873919,,,,5.873919,11.098517,32.0,,,,,4.280761,,,4.280761,36.280761,47.379278,1.1698,56.919445,,,0.0,,-5.589859,52.499386,0.0,52.499386,99.878664,
12/31/1991,102.107452,7.739624,7.739624,0.0,8.52385,,,0.609095,,,,,0.281478,,,,,,17.154047,83.856529,205.891983,-122.035454,0.0,,1.096874,,,,,,1.096874,84.953403,,4.560512,4.560512,,,,0.0,,,,,,8.41967,,,,8.41967,12.980182,32.0,,,,,4.112073,,,4.112073,36.112073,49.092255,1.1698,56.956543,,,0.0,,-5.111147,53.015196,0.0,53.015196,102.107451,
03/31/1992,97.886032,6.144508,6.144508,0.0,5.922002,,,0.553175,,,,,0.318065,,,,,,12.93775,83.267479,207.679962,-124.412483,0.0,,1.680799,,,,,,1.680799,84.948278,,2.698067,2.698067,,,,0.0,,,,,,5.661333,,,,5.661333,8.3594,32.0,,,,,4.287777,,,4.287777,36.287777,44.647177,1.1698,56.956543,,,0.0,,-4.887492,53.238851,0.0,53.238851,97.886028,
06/30/1992,102.17408,9.199606,9.199606,0.0,7.051153,,,0.574968,,,,,0.277468,,,,,,17.103195,82.939247,210.387863,-127.448624,0.0,,2.13164,,,,,,2.13164,85.070887,,2.182408,2.182408,,,,0.0,,,,,,8.349216,,,,8.349216,10.531624,33.0,,,,,4.674823,,,4.674823,37.674823,48.206447,1.1698,56.972569,,,0.0,,-4.174735,53.967633,0.0,53.967633,102.17408,
