Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/29/2014,920.312,243.965,171.898,72.067,137.417,137.417,0,125.703,32.927,51.544,41.232,0.0,30.333,12.721,0.0,14.913,13.193,537.418,195.996,748.897,-552.901,3.841,3.841,183.057,158.891,103.901,54.99,,9.253,382.894,,131.607,79.783,,51.824,87.263,0.0,0.0,0.0,,87.263,1.103,0.0,0.0,0.884,0.903,219.973,0.0,0.0,0.0,0.0,,23.988,0.0,5.5,17.604,23.988,243.961,0,1284.402,0.028486,1284.373514,0,-607.266,-0.785,676.351,0,676.351,920.312,
09/27/2014,1057.611,241.278,110.675,130.603,218.008,218.008,0,159.152,,,,,43.972,21.772,,,22.2,662.41,207.113,,,2.15,2.15,185.938,145.867,103.901,41.966,,40.071,395.201,,189.044,128.409,,60.635,0.0,,,,,,19.704,,,,19.704,208.748,0.0,,,,,46.958,,,46.958,46.958,255.706,0,,,,0,,801.905,801.905,0,801.905,1057.611,
12/27/2014,1165.615,296.703,118.093,178.61,215.248,215.248,0,170.019,39.446,66.347,64.226,0.0,73.287,31.344,,,41.943,755.257,228.579,804.691,-576.112,2.15,2.15,179.629,140.434,103.901,36.533,,39.195,410.358,,198.03,130.461,,67.569,0.0,0.0,,,,0.0,21.723,,,,21.723,219.753,0.0,0.0,,,,50.3,,,50.3,50.3,270.053,0,1311.184,1311.184,,0,-417.445,1.823,895.562,0,895.562,1165.615,
03/28/2015,6892.379,544.644,299.814,244.83,353.83,353.83,0,346.9,71.863,137.306,137.731,0.0,254.731,52.169,0.0,10.632,52.354,1500.105,883.371,1492.947,-609.576,4.083,4.083,4504.82,4447.815,2140.586,2307.229,3.2,43.173,5392.274,,314.339,182.468,,131.871,0.0,0.0,0.0,0.0,,,10.971,0.0,0.0,310.189,10.971,325.31,0.0,0.0,0.0,0.0,,393.909,0.0,12.2,71.52,393.909,719.219,0,6584.247,0.014906,6584.232094,0,-410.963,-0.124,6173.16,0,6173.16,6892.379,
06/27/2015,6909.87,558.429,325.602,232.827,408.074,408.074,0,363.914,88.184,169.273,106.457,0.0,249.569,53.005,,,49.895,1579.986,940.07,1584.122,-644.052,4.397,4.397,4385.417,4320.786,2136.773,2184.013,,64.631,5329.884,,334.654,206.071,,128.583,0.0,0.0,,,,,0.842,,,309.694,0.842,335.496,0.0,0.0,,,,396.183,,,86.489,396.183,731.679,0,6588.201,0.014943,6588.186057,0,-408.927,-1.083,6178.191,0,6178.191,6909.87,
10/03/2015,6532.097,195.557,169.597,25.96,438.266,438.266,0,393.76,89.659,203.309,100.792,0.0,248.399,55.55,,,49.777,1275.982,972.328,1654.589,-682.261,28.761,28.761,4255.026,4190.925,2135.697,2055.228,,64.101,5256.115,,352.183,204.857,,147.326,0.0,0.0,,,,,3.291,,,303.183,3.291,355.474,75.0,75.0,,,,389.525,,,86.342,464.525,819.999,0,6117.858,0.014098,6117.843902,0,-404.479,-1.281,5712.098,0,5712.098,6532.097,
01/02/2016,7011.11,1025.166,851.597,173.569,296.592,296.592,0,406.692,89.131,189.912,127.649,0.0,115.267,59.437,,,55.83,1843.717,1012.836,1732.218,-719.382,29.287,29.287,4125.27,4063.063,2135.697,1927.366,,62.207,5167.393,,299.97,188.521,,111.449,0.0,0.0,,,,,0.715,,,143.103,0.715,300.685,987.888,987.888,,,,228.465,,,85.362,1216.353,1517.038,0,5911.031,0.013705,5911.017295,0,-415.606,-1.353,5494.072,0,5494.072,7011.11,
04/02/2016,6596.819,612.689,425.881,186.808,316.356,316.356,0,427.551,89.928,228.626,108.997,0.0,152.614,63.85,0.0,18.34,88.764,1509.21,1046.888,1798.786,-751.898,26.05,26.05,4014.671,3948.212,2135.697,1812.515,3.4,44.719,5087.609,,373.153,205.364,29.9,137.889,0.0,0.0,0.0,0.0,,,0.648,0.0,0.0,152.16,0.648,373.801,988.13,988.13,0.0,0.0,,235.216,0.0,11.3,71.756,1223.346,1597.147,0,5442.613,0.012739,5442.600261,0,-439.808,-3.133,4999.672,0,4999.672,6596.819,
07/02/2016,6687.987,446.907,433.034,13.873,400.679,400.679,0,455.771,102.91,241.276,111.585,0.0,182.063,68.329,,,113.734,1485.42,1160.953,1940.563,-779.61,26.0,26.0,4015.614,3950.576,2174.639,1775.937,,65.038,5202.567,,405.987,263.478,,142.509,0.0,0.0,,,,,14.346,,,163.644,14.346,420.333,988.372,988.372,,,,245.706,,,82.062,1234.078,1654.411,0,5483.2,0.012782,5483.187218,0,-445.483,-4.141,5033.576,0,5033.576,6687.987,
10/01/2016,6751.622,469.219,469.219,0.0,491.489,491.489,0,437.135,106.874,222.695,107.566,0.0,184.693,58.579,,,126.114,1582.536,1240.05,2060.356,-820.306,34.902,34.902,3894.134,3831.076,2174.918,1656.158,,63.058,5169.086,,535.916,323.696,,212.22,0.0,0.0,,,,,21.529,,,146.927,21.529,557.445,988.625,988.625,,,,229.176,,,82.249,1217.801,1775.246,0,5413.742,0.0127,5413.729301,0,-433.636,-3.73,4976.376,0,4976.376,6751.622,
12/31/2016,6624.911,495.811,495.811,0.0,421.1,421.1,0,404.617,95.399,180.735,128.483,0.0,166.389,38.106,,,128.283,1487.917,1335.767,2207.208,-871.441,34.733,34.733,3766.494,3708.012,2173.914,1534.098,,58.482,5136.994,,547.752,287.953,122.8,136.999,0.0,0.0,,,,,0.844,,,139.253,0.844,548.596,988.886,988.886,,,,224.313,,,85.06,1213.199,1761.795,0,5378.944,0.012633,5378.931367,0,-512.274,-3.554,4863.116,0,4863.116,6624.911,
04/01/2017,6522.323,545.463,545.463,0.0,357.948,357.948,0,430.454,92.282,198.339,139.833,0.0,127.74,36.229,0.0,17.55,91.511,1461.605,1391.932,2373.26,-981.328,35.494,35.494,3633.292,3574.477,2173.914,1400.563,3.3,37.965,5060.718,,386.83,216.246,,170.584,0.0,0.0,0.0,0.0,,,31.998,0.0,0.0,131.511,31.998,418.828,989.154,989.154,0.0,0.0,,217.619,0.0,11.4,74.708,1206.773,1625.601,0,5357.394,0.012646,5357.381354,0,-456.366,-4.306,4896.722,0,4896.722,6522.323,
07/01/2017,6442.696,512.631,512.631,0.0,373.711,373.711,0,470.88,111.64,227.133,132.107,0.0,109.994,36.444,,,73.55,1467.216,1440.105,2460.849,-1020.744,36.248,36.248,3499.127,3439.765,2173.889,1265.876,,59.362,4975.48,,345.872,215.033,,130.839,0.0,0.0,,,,,16.046,,,89.279,16.046,361.918,989.42,989.42,,,,178.677,,,89.398,1168.097,1530.015,0,5365.373,0.012722,5365.360277,0,-449.105,-3.587,4912.681,0,4912.681,6442.696,
