Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,89.597,,,,-58.823,,,,,30.774,2.573,,0.0,,,0.0,,-2.573,33.347,-13.357,19.99,0.0,,,19.99,0.0,19.99,0.0,0.0,19.99,19.99,,143.8735,0.138,0.138,0.138,144.224715,0.138,0.138,0.138,
06/30/2001,92.202,,,,-71.175,,,,,21.027,2.496,,0.0,,,0.0,,-2.496,23.523,-9.293,14.23,0.0,,,14.23,0.0,14.23,0.0,0.0,14.23,14.23,,143.8735,0.098,0.098,0.098,146.99168,0.096,0.096,0.096,
09/30/2001,93.602,,,,-65.387,,,,,28.215,1.727,,0.0,,,0.0,,-1.727,29.942,-12.166,17.776,0.0,,,17.776,0.0,17.776,0.0,0.0,17.776,17.776,,143.8735,0.124,0.124,0.124,146.996245,0.12,0.12,0.12,
12/31/2001,102.796,,,,-66.002,,,,,36.794,2.16,,0.0,,,0.0,,-2.16,38.954,-15.842,23.112,0.0,,,23.112,0.0,23.112,0.0,0.0,23.112,23.112,,143.8735,0.16,0.16,0.16,146.596,0.158,0.158,0.158,
03/31/2002,102.452,,,,-69.929,1.563,,,68.366,32.523,-1.36,,2.977,,,0.0,,-1.617,31.163,-12.504,18.659,0.0,,,18.659,0.0,18.659,0.0,0.0,18.659,18.659,,143.8735,0.13,0.13,0.13,148.78106,0.126,0.126,0.126,
06/30/2002,111.776,,,,-73.043,1.354,,,71.689,38.733,-4.244,,5.548,,,0.0,,-1.304,34.489,-13.498,20.991,0.0,,,20.991,0.0,20.991,0.0,0.0,20.991,20.991,,144.002115,0.146,0.146,0.146,148.282145,0.142,0.142,0.142,
09/30/2002,126.472,,,,-73.337,1.481,,,71.856,53.135,-15.002,,4.484,,,0.0,,10.518,38.133,-15.235,22.898,0.0,,,22.898,0.0,22.898,0.0,0.0,22.898,22.898,,144.098895,0.158,0.158,0.254,148.888245,0.154,0.154,0.246,
12/31/2002,117.746,,,,-76.399,,,,,41.347,9.097,,0.0,,,0.0,,-9.097,50.444,-18.925,31.519,0.0,,,31.519,0.0,31.519,0.0,0.0,31.519,31.519,,149.35033,0.212,0.212,0.18,154.494545,0.204,0.204,0.172,
03/31/2003,127.454,,,,-82.262,5.602,,,76.66,45.192,-1.438,,2.584,,,0.0,,-1.146,43.754,-17.633,26.121,0.0,,,26.121,0.0,26.121,0.0,0.0,26.121,26.121,,162.672415,0.16,0.16,0.16,169.317955,0.154,0.154,0.154,
06/30/2003,142.131,,,,-83.021,1.534,,,81.487,59.11,0.26,,1.904,,,0.0,,-2.164,59.37,-24.357,35.013,0.0,,,35.013,0.0,35.013,0.0,0.0,35.013,35.013,,163.120075,0.214,0.214,0.214,169.335,0.206,0.206,0.206,
09/30/2003,134.91,,,,-82.129,1.827,,,80.302,52.781,0.1,,2.251,,,0.0,,-2.351,52.881,-21.484,31.397,0.0,,,31.397,0.0,31.397,0.0,0.0,31.397,31.397,,163.69337,0.192,0.192,0.192,169.711575,0.186,0.186,0.186,
12/31/2003,131.044,,,,-82.504,2.909,,,79.595,48.54,1.58,,2.004,,,0.0,,-3.584,50.12,-20.519,29.601,0.0,,,29.601,0.0,29.601,0.0,0.0,29.601,29.601,,164.34269,0.18,0.18,0.17,170.33463,0.174,0.174,0.164,
03/31/2004,166.45,,,,-88.96,2.514,,,86.446,77.49,-0.078,,3.175,,,0.0,,-3.097,77.412,-31.352,46.06,0.0,,,46.06,0.0,46.06,0.0,0.0,46.06,46.06,,164.66177,0.28,0.28,0.28,170.23392,0.27,0.27,0.27,
06/30/2004,187.764,,,,-90.727,2.467,,,88.26,97.037,-0.763,,3.531,,,0.0,,-2.768,96.274,-38.991,57.283,0.0,,,57.283,0.0,57.283,0.0,0.0,57.283,57.283,,166.26878,0.344,0.344,0.344,172.241285,0.332,0.332,0.332,
09/30/2004,193.471,,,,-92.51,2.878,,,89.632,100.961,-1.082,,4.311,,,0.0,,-3.229,99.879,-40.451,59.428,0.0,,,59.428,0.0,59.428,0.0,0.0,59.428,59.428,,169.6764,0.35,0.35,0.35,172.480955,0.344,0.344,0.344,
12/31/2004,190.597,,,,-93.936,3.115,,,90.821,96.661,-2.57,,7.996,,,0.0,,-5.426,94.091,-37.307,56.784,0.0,,,56.784,0.0,56.784,0.0,0.0,56.784,56.784,,170.286905,0.334,0.334,0.334,173.261445,0.328,0.328,0.328,
03/31/2005,218.43,,,,-96.048,2.238,,,93.81,122.382,-4.24,,9.716,,,0.0,,-5.476,118.142,-47.257,70.885,0.0,,,70.885,0.0,70.885,0.0,0.0,70.885,70.885,,170.830825,0.414,0.414,0.414,173.588125,0.408,0.408,0.408,
06/30/2005,245.303,,,,-102.917,3.312,,,99.605,142.386,-6.182,,13.065,,,0.0,,-6.883,136.204,-53.978,82.226,0.0,,,82.226,0.0,82.226,0.0,0.0,82.226,82.226,,171.252355,0.48,0.48,0.48,173.857565,0.472,0.472,0.472,
09/30/2005,241.42,,,,-106.02,3.961,,,102.059,135.4,-7.109,,15.331,,,0.0,-0.608,-7.614,128.291,-50.825,77.466,0.0,,,77.466,0.0,77.466,0.0,0.0,77.466,77.466,,171.85,0.45,0.45,0.45,174.455,0.444,0.444,0.444,
