Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,761.060974,0,0,0,761.060974,-100.288002,-166.110992,0,-266.398987,-209.819,-76.612999,-74.639999,34.022999,-327.049011,167.613007,1.843,9.426,-38.776001,3.013,-8.89,-44.653,134.229007,-49.272999,84.956001,0.0,0.0,84.956001,-7.495,77.461001,,,77.461008,0.7,0.7,0.7,110.746002,0.7,0.7,0.7,110.746002,
06/30/1990,727.369995,0,0,0,727.369995,-103.971001,-149.337006,0,-253.307999,-215.886002,-74.670998,-68.567001,-0.896,-360.019989,114.042,0.747,12.002,-38.868,3.499,-9.53,-44.898998,81.892001,-21.444,60.448002,0.0,0.0,60.448002,-8.117,52.331002,,,52.331002,0.47,0.47,0.47,110.755997,0.47,0.47,0.47,110.755997,
09/30/1990,851.278992,0,0,0,851.278992,-117.853996,-176.830994,0,-294.684998,-198.106003,-77.905998,-80.363998,10.612,-345.764008,210.830002,1.33,8.396,-39.233002,3.203,-9.467,-45.497002,175.059,-62.948002,112.111,0.0,0.0,112.111,-10.168,101.943,,,101.942998,0.92,0.92,0.92,110.774002,0.92,0.92,0.92,110.774002,
12/31/1990,764.513977,0,0,0,764.513977,-98.111,-178.791,0,-276.902008,-210.643997,-90.315002,-70.404999,-5.305,-376.669006,110.943001,3.366,14.346,-39.202,2.113,-8.782,-45.870998,82.784002,-26.65,56.134998,0.0,0.0,56.134998,-9.636,46.498999,,,46.498003,0.42,0.42,0.42,110.776001,0.42,0.42,0.42,110.776001,
03/31/1991,822.025024,0,0,0,822.025024,-99.133003,-184.147995,0,-283.281006,-210.453003,-81.209999,-78.797997,-12.278,-382.739014,156.005005,0.949,8.851,-39.839001,3.127,-9.07,-45.782001,120.023003,-41.146,78.876999,58.237999,0.0,137.115005,-9.636,127.479006,,,69.241004,0.625,0.625,1.15,110.778,0.625,0.625,1.15,110.778,
06/30/1991,809.791992,0,0,0,809.791992,-96.188004,-194.541,0,-290.729004,-214.182007,-81.086998,-77.82,0.254,-372.834991,146.227997,1.152,14.76,-41.917999,3.249,-13.685,-52.354,109.785997,-36.471001,73.315002,0.0,0.0,73.315002,-8.585,64.730002,,,64.729996,0.59,0.59,0.59,110.786003,0.59,0.59,0.59,110.786003,
09/30/1991,921.403015,0,0,0,921.403015,-108.888,-236.026993,0,-344.915009,-210.289993,-82.252998,-96.382004,6.455,-382.470001,194.018005,0.654,11.271,-42.580002,2.347,-7.815,-48.048,157.895005,-61.502998,96.391998,0.0,0.0,96.391998,-8.849,87.542998,,,87.543007,0.79,0.79,0.79,110.813004,0.79,0.79,0.79,110.813004,
12/31/1991,818.379028,0,0,0,818.379028,-84.496002,-236.475006,0,-320.971008,-239.401001,-144.350998,-79.664001,,-463.415985,33.992001,2.329,6.551,-42.785,0.602,-3.802,-45.985001,-3.113,8.091,4.978,0.0,0.0,4.978,-8.848,-3.869999,,,-3.87,-0.04,-0.04,-0.04,110.815002,-0.04,-0.04,-0.04,110.815002,
03/31/1992,892.403015,0,0,0,892.403015,-91.029999,-233.938995,0,-324.968994,-211.697998,-84.168999,-84.862,-12.453,-393.182007,174.251999,1.991,2.984,-42.595001,1.823,-4.14,-44.911999,134.315,-52.18,82.135002,0.0,0.0,82.135002,-8.848,73.287003,,,73.287,0.66,0.66,0.66,110.817001,0.66,0.66,0.66,110.817001,
06/30/1992,811.388977,0,0,0,811.388977,-82.459,-215.973007,0,-298.432007,-217.039001,-86.632004,-77.365997,-12.841,-393.877991,119.079002,1.603,10.756,-43.574001,1.85,-5.417,-47.140999,84.297003,-32.648998,51.647999,0.0,0.0,51.647999,-9.226,42.421999,,,42.422005,0.38,0.38,0.38,110.817001,0.38,0.38,0.38,110.817001,
09/30/1992,890.166992,0,0,0,890.166992,-96.161003,-229.899994,0,-326.061005,-209.632004,-83.214996,-88.263,-2.349,-383.459015,180.647003,0.078,13.539,-43.787998,1.656,-4.504,-46.636002,147.628001,-54.588001,93.040001,0.0,0.0,93.040001,-9.789,83.251001,,,83.251,0.76,0.76,0.76,110.817001,0.76,0.76,0.76,110.817001,
12/31/1992,840.19397,0,0,0,840.19397,-86.580002,-220.692001,0,-307.272003,-230.936005,-85.705002,-77.816002,,-394.457001,138.464996,1.934,3.224,-44.481998,1.645,-4.905,-47.742001,95.880995,-34.511002,61.369999,0.0,0.0,61.369999,-8.694,52.675999,,,52.675993,0.47,0.47,0.47,110.908997,0.47,0.47,0.47,110.908997,
03/31/1993,881.153992,0,0,0,881.153992,-92.214996,-221.423996,0,-313.639008,-210.447998,-86.592003,-84.877998,,-381.917999,185.597,1.2,3.429,-46.063999,1.528,-3.914,-48.450001,141.775999,-53.758999,88.016998,0.0,0.0,88.016998,-8.694,79.322998,,,79.323,0.72,0.72,0.72,110.859001,0.72,0.72,0.72,110.859001,
