Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2010,,81,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2010,,-29,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2010,,-1413,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,,-12,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2011,240.0,-3,218,10.0,-11.0,21.0,15.0,6.0,33.0,-18.0,-6.0,,-342.0,-319.0,0.0,0.0,0.0,-319.0,-319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,3.0,
06/30/2011,283.0,25,236,17.0,-6.0,23.0,5.0,-27.0,-33.0,81.0,-16.0,,-325.0,-364.0,0.0,0.0,0.0,-364.0,-364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,-4.0,
09/30/2011,365.0,14,250,86.0,11.0,75.0,15.0,-18.0,,15.0,18.0,,-389.0,-405.0,0.0,0.0,0.0,-405.0,-405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,0.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,-121.0,0.0,14.0,
12/31/2011,318.0,-338,247,429.0,-170.0,599.0,-20.0,-61.0,,53.0,-12.0,,-500.0,-469.0,15.0,15.0,0.0,-484.0,-484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,658.0,0.0,1502.0,0.0,1502.0,0.0,0.0,0.0,0.0,-844.0,0.0,476.0,
03/31/2012,252.0,-43,235,32.0,-37.0,69.0,28.0,96.0,11.0,-80.0,1.0,,-395.0,-428.0,0.0,0.0,0.0,-428.0,-428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-21.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,-28.0,0.0,-164.0,
06/30/2012,189.0,-10,248,-63.0,-19.0,-44.0,14.0,67.0,-11.0,-78.0,29.0,,-124.0,-400.0,0.0,0.0,0.0,-400.0,-400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,
