Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/2006,6723,3636,3636,0.0,1562,1562,,151.0,,,,,0.0,,,,,,,5349,381,639.0,-258.0,0.0,,,993,843,774.0,69,,,150,1374,,946,946.0,,,,22,,,,,,2958,,,2958,3926,1193,,,,,109,,,,,109,1302,5228,,1458,,,0,12.0,-30,1440,55,1495,6723,
01/31/2007,4558,1113,1113,0.0,1641,1641,,191.0,,,,,,,,,,,,2945,387,655.0,-268.0,0.0,,,1226,1060,951.0,109,,,166,1613,,466,466.0,,,,29,22.0,7.0,7.0,,,1168,,,1168,1663,1199,1195.0,4.0,4.0,,104,,,,,104,1303,2966,0.0,1557,,,0,6.0,-27,1536,56,1592,4558,
04/30/2007,4427,943,943,0.0,1671,1671,,183.0,,,,,0.0,,,,,,,2797,389,669.0,-280.0,0.0,,,1241,1056,964.0,92,,,185,1630,,916,916.0,,,,129,,,,,,428,,,428,1473,1102,,,,,183,,,,,183,1285,2758,,1636,,,0,,-26,1610,59,1669,4427,
07/31/2007,4548,1131,1131,,1583,1583,,229.0,,,,,,,,,,,,2943,385,669.0,-284.0,,,,1220,1050,955.0,95,,,170,1605,,940,940.0,,,,131,,,,,,486,,,486,1557,1098,,,,,174,,,,,174,1272,2829,0.0,1701,,,0,42.0,-24,1719,0,1719,4548,
10/31/2007,4830,1011,1011,0.0,1844,1844,,217.0,,,,,0.0,,,,,,,3072,402,689.0,-287.0,0.0,,,1356,1192,1081.0,111,,,164,1758,,1108,1108.0,,,,139,,,,,,538,,,538,1785,1099,,,,,155,,,,,155,1254,3039,,1767,,,0,48.0,-24,1791,0,1791,4830,
01/31/2008,4981,1096,1096,0.0,1869,1884,,252.0,,,,,15.0,,,,,,,3247,392,689.0,-297.0,0.0,,,1342,1170,1076.0,94,,,172,1734,,490,490.0,,,,130,129.0,1.0,1.0,,,1247,,,1247,1867,1098,1098.0,0.0,0.0,,148,,,,,148,1246,3113,0.0,1804,,,0,87.0,-23,1868,0,1868,4981,
04/30/2008,4749,662,662,0.0,1927,1927,0.0,289.0,,,,,0.0,,,,,,0.0,2878,390,700.0,-310.0,0.0,,,1481,1301,1180.0,121,73.0,,107,1871,,1658,,55.0,,1603.0,30,0.0,,,,30.0,0,,,0,1688,1098,1098.0,,,,154,,,,,154,1252,2940,,1832,,,0,,-23,1809,0,1809,4749,
07/31/2008,4800,692,692,0.0,1885,1885,0.0,296.0,,,,,0.0,,,,,,0.0,2873,392,713.0,-321.0,0.0,,,1535,1359,1247.0,112,68.0,,108,1927,,1719,,32.0,,1687.0,21,0.0,,,,21.0,0,,,0,1740,1099,1099.0,,,,149,,,,,149,1248,2988,0.0,1834,,,0,,-22,1812,0,1812,4800,
10/31/2008,5039,812,812,0.0,2010,2010,0.0,299.0,,,,,4.0,,,,,1.0,0.0,3125,395,720.0,-325.0,0.0,,,1519,1345,1249.0,96,84.0,,90,1914,,1818,,,,1818.0,18,0.0,,,,18.0,1,,,0,1837,1099,1099.0,,,,144,,,,,144,1243,3080,0.0,1892,,,0,96.0,-29,1959,0,1959,5039,
01/31/2009,5048,936,936,0.0,1870,1870,0.0,385.0,,,,,26.0,,0.0,,,1.0,19.0,3217,357,686.0,-329.0,0.0,,,1474,1337,1249.0,88,86.0,,51,1831,,1665,495.0,,,1170.0,17,0.0,,,,17.0,1,0.0,0.0,0,1683,1099,1099.0,,,,182,0.0,35.0,,,147,1281,2964,0.0,1950,,,0,183.0,-49,2084,0,2084,5048,
