Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2008,60.900002,178.100006,121.199997,-21.6,-1.7,-19.9,-216.800003,,,-216.800003,,-77.0,-62.0,0,,,-62.0,,,0,0,0,,,,,-15.0,111.400007,0,135.000008,,,,0,0,0,-23.6,,95.300003,,,
03/31/2009,6.3,45.1,92.7,42.2,10.5,31.7,-173.7,,,-173.7,0.0,-44.9,-46.6,0,0.0,0.0,-46.6,-46.6,0.0,0,0,0,0.1,0.1,0.0,0.0,1.6,30.3,0,73.7,-17.6,274.9,-183.6,0,0,0,-43.4,-8.9,-17.2,37.5,27.2,
06/30/2009,261.1,149.3,98.8,-4.8,-10.9,6.1,17.8,,,17.8,0.0,-73.4,-77.5,0,0.0,0.0,-77.5,-77.5,0.0,0,0,0,4.1,4.1,0.0,0.0,0.0,110.8,0,407.3,-47.9,795.5,-340.3,0,0,0,-296.5,16.4,314.9,43.1,68.5,
09/30/2009,434.4,126.7,100.8,52.6,12.2,40.4,154.3,,,154.3,0.0,-74.8,-69.6,0,0.0,0.0,-69.6,-69.6,0.0,0,0,0,-5.2,0.2,-5.4,0.0,0.0,-44.2,0,8.4,10.4,2.2,-4.2,0,0,0,-52.6,24.5,339.9,42.9,36.0,
12/31/2009,288.2,-6.1,92.7,39.0,40.2,-1.2,157.6,,,157.6,,-224.9,-234.3,0,0.0,0.0,-234.3,-234.3,0.0,0,0,0,-4.0,-4.4,0.4,0.0,13.4,-172.9,0,-98.4,-23.9,7.4,-81.9,0,0,0,-74.5,-96.0,-205.6,70.5,63.3,
03/31/2010,58.0,85.0,95.0,17.0,-1.0,18.0,-144.0,,,-144.0,,-122.0,-96.0,0,0.0,0.0,-96.0,-96.0,0.0,0,0,0,-26.0,0.0,-26.0,0.0,0.0,-224.0,0,-54.0,-50.0,0.0,-4.0,0,0,0,-170.0,-3.0,-291.0,10.0,45.0,
06/30/2010,193.0,141.0,93.0,18.0,-7.0,25.0,-64.0,,,-64.0,,-140.0,-140.0,0,0.0,0.0,-140.0,-140.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,125.0,0,274.0,42.0,690.0,-458.0,0,0,0,-149.0,-17.0,161.0,44.0,68.0,
09/30/2010,268.0,139.0,97.0,-25.0,1.0,-26.0,63.0,,,63.0,,-883.0,-155.0,1,1.0,0.0,-156.0,-156.0,0.0,0,0,0,-728.0,0.0,-728.0,0.0,0.0,613.0,0,653.0,-22.0,680.0,-5.0,0,0,0,-40.0,20.0,18.0,16.0,50.0,
12/31/2010,252.4,-256.1,102.9,34.5,-48.9,83.4,73.1,0.0,0.0,73.1,,-169.3,-112.3,0,0.0,0.0,-112.3,-112.3,0.0,0,0,0,-62.7,0.0,-62.7,0.0,5.7,-146.7,0,-67.7,-11.6,22.2,-78.3,0,0,0,-79.0,3.1,-60.5,62.4,65.8,
03/31/2011,-52.0,82.0,106.0,8.0,,8.0,-249.0,,,-249.0,,-67.0,-73.0,0,0.0,0.0,-73.0,-73.0,0.0,0,0,0,6.0,0.0,6.0,0.0,0.0,-98.0,0,-37.0,-32.0,5.0,-10.0,0,0,0,-61.0,7.0,-210.0,21.0,67.0,
06/30/2011,214.0,73.0,111.0,0.0,,0.0,30.0,,,30.0,,-233.0,-80.0,0,0.0,0.0,-80.0,-80.0,0.0,0,0,0,-153.0,0.0,-153.0,0.0,0.0,-97.0,0,-34.0,154.0,1446.0,-1634.0,0,0,0,-63.0,7.0,-109.0,43.0,81.0,
