Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2007,246.0,236,124,8.0,74.0,-66.0,-122.0,,,,-122.0,,-174.0,-111.0,0.0,,,-111.0,,,-64.0,0.0,-64.0,,,,,1.0,225.0,-139.0,360.0,,,,0.0,0.0,0.0,4.0,,297.0,
06/30/2007,403.0,196,130,128.0,14.0,114.0,-51.0,,,,-51.0,,-330.0,-313.0,0.0,,,-313.0,,,64.0,64.0,,,,,,-81.0,-140.0,-140.0,-32.0,,,,0.0,0.0,0.0,32.0,,-67.0,
09/30/2007,198.0,234,139,-175.0,-88.0,-87.0,0.0,,,,0.0,,-613.0,-355.0,0.0,,,-355.0,,,0.0,64.0,-64.0,,,,,-258.0,21.0,-139.0,-76.0,,,,0.0,0.0,0.0,236.0,,-394.0,
12/31/2007,615.0,291,141,142.0,22.0,120.0,41.0,59.0,147.0,,-165.0,,-427.0,-423.0,0.0,,,-423.0,,,0.0,0.0,0.0,,,,,-4.0,-229.0,-140.0,-84.0,,,,0.0,0.0,0.0,-5.0,,-41.0,
03/31/2008,673.0,367,148,-29.0,38.0,-67.0,187.0,,,,187.0,,-372.0,-245.0,0.0,,,-245.0,,,-130.0,0.0,-130.0,,,,,3.0,-143.0,-146.0,11.0,,,,0.0,0.0,0.0,-8.0,,158.0,
06/30/2008,468.0,295,152,84.0,-3.0,87.0,-63.0,,,,-63.0,,-652.0,-363.0,0.0,,,-363.0,,,-750.0,0.0,-750.0,,,,,461.0,21.0,-146.0,438.0,,,,-284.0,0.0,-284.0,13.0,,-163.0,
09/30/2008,255.0,296,145,21.0,26.0,-5.0,-207.0,,,,-207.0,,-540.0,-430.0,0.0,,,-430.0,,,-409.0,0.0,-409.0,,,,,299.0,477.0,-152.0,926.0,,,,-316.0,0.0,-316.0,19.0,,192.0,
12/31/2008,409.0,171,136,187.0,100.0,87.0,-85.0,,,24.0,-109.0,,-324.0,-464.0,0.0,,,-464.0,,,1289.0,1289.0,0.0,,,,,-1149.0,-152.0,-154.0,31.0,,,,0.0,0.0,0.0,-29.0,,-67.0,
03/31/2009,556.0,298,140,-30.0,104.0,-134.0,148.0,,,,148.0,,-142.0,-147.0,0.0,0.0,0.0,-147.0,-147.0,0.0,-29.0,0.0,-29.0,0.0,0.0,0.0,0.0,34.0,-405.0,-157.0,-689.0,-530.0,693.0,-852.0,448.0,448.0,0.0,-7.0,-2.0,7.0,
06/30/2009,463.0,140,146,20.0,20.0,0.0,157.0,,,,157.0,,-402.0,-228.0,0.0,0.0,0.0,-228.0,-228.0,0.0,29.0,29.0,0.0,-295.0,0.0,-295.0,0.0,92.0,3.0,-157.0,70.0,-406.0,1526.0,-1050.0,208.0,208.0,0.0,-118.0,16.0,80.0,
09/30/2009,248.0,191,154,30.0,1.0,29.0,-127.0,,,,-127.0,,-196.0,-338.0,0.0,0.0,0.0,-338.0,-338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,164.0,-157.0,293.0,44.0,1186.0,-937.0,49.0,49.0,0.0,-21.0,-24.0,192.0,
12/31/2009,493.0,220,158,-72.0,51.0,-123.0,187.0,,,,187.0,,-289.0,-267.0,0.0,0.0,0.0,-267.0,-267.0,0.0,-121.0,81.0,-202.0,0.0,0.0,0.0,0.0,99.0,-514.0,-160.0,-344.0,118.0,722.0,-1184.0,0.0,0.0,0.0,-10.0,35.0,-275.0,
03/31/2010,470.0,358,165,28.0,22.0,6.0,-81.0,,,,-81.0,,-221.0,-176.0,0.0,0.0,0.0,-176.0,-176.0,0.0,-22.0,126.0,-148.0,0.0,0.0,0.0,0.0,-23.0,-302.0,-161.0,-123.0,21.0,720.0,-864.0,0.0,0.0,0.0,-18.0,,-53.0,
06/30/2010,361.0,174,159,77.0,8.0,69.0,-49.0,,,,-49.0,,-315.0,-321.0,0.0,0.0,0.0,-321.0,-321.0,0.0,-23.0,507.0,-530.0,0.0,0.0,0.0,0.0,29.0,-66.0,-164.0,111.0,313.0,720.0,-922.0,0.0,0.0,0.0,-13.0,-2.0,-22.0,
09/30/2010,176.0,197,169,22.0,32.0,-10.0,-212.0,,,,-212.0,,-900.0,-384.0,0.0,0.0,0.0,-384.0,-384.0,0.0,23.0,23.0,0.0,-492.0,0.0,-492.0,0.0,-47.0,845.0,-162.0,956.0,487.0,1185.0,-716.0,71.0,71.0,0.0,-20.0,,121.0,
12/31/2010,401.0,320,171,-8.0,143.0,-151.0,-82.0,,,,-82.0,,-680.0,-465.0,0.0,0.0,0.0,-465.0,-465.0,0.0,-49.0,538.0,-587.0,0.0,0.0,0.0,0.0,-166.0,179.0,-163.0,208.0,-152.0,1764.0,-1404.0,145.0,145.0,0.0,-11.0,3.0,-97.0,
03/31/2011,722.0,357,178,132.0,109.0,23.0,55.0,,,,55.0,,-332.0,-329.0,0.0,0.0,0.0,-329.0,-329.0,0.0,-28.0,186.0,-214.0,0.0,0.0,0.0,0.0,25.0,-382.0,-170.0,-205.0,-182.0,919.0,-942.0,0.0,0.0,0.0,-7.0,2.0,10.0,
06/30/2011,616.0,284,181,48.0,90.0,-42.0,103.0,,,,103.0,,-239.0,-410.0,0.0,0.0,0.0,-410.0,-410.0,0.0,-2.0,547.0,-549.0,0.0,0.0,0.0,0.0,173.0,21.0,-171.0,0.0,-76.0,1505.0,-1429.0,213.0,213.0,0.0,-21.0,,398.0,
09/30/2011,349.0,254,184,58.0,41.0,17.0,-147.0,,,,-147.0,,-975.0,-560.0,0.0,0.0,0.0,-560.0,-560.0,0.0,37.0,473.0,-436.0,-390.0,0.0,-390.0,0.0,-62.0,173.0,-170.0,2252.0,116.0,259.0,1877.0,0.0,0.0,0.0,-32.0,-11.0,-464.0,
12/31/2011,499.0,289,182,38.0,133.0,-95.0,-10.0,,,,-10.0,,-552.0,-616.0,0.0,0.0,0.0,-616.0,-616.0,0.0,7.0,503.0,-496.0,0.0,0.0,0.0,0.0,57.0,153.0,-183.0,358.0,83.0,275.0,0.0,0.0,0.0,0.0,-22.0,,100.0,
03/31/2012,546.0,333,187,98.0,74.0,24.0,-72.0,,,,-72.0,,-402.0,-343.0,0.0,0.0,0.0,-343.0,-343.0,0.0,-127.0,734.0,-861.0,-30.0,0.0,-30.0,0.0,98.0,-214.0,-185.0,-26.0,-26.0,,,0.0,0.0,0.0,-3.0,1.0,-69.0,
