Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,6813,120,120,0.0,1076,,,,1946,,,,,37,,,,,3179,3577,4847,-1270,0.0,57,,,,,57,3634,,1133,1133,,,,421,,,,,,695,,,695,2249,2415,,,,,269,,,,269,2684,4933,0.0,,,,0.0,,1880,1880,0.0,1880,6813,
07/29/1989,6775,81,81,0.0,1038,,,,1961,,,,,31,,,,,3111,3603,4926,-1323,0.0,61,,,,,61,3664,,1102,1102,,,,399,,,,,,689,,,689,2190,2411,,,,,259,,,,259,2670,4860,0.0,,,,0.0,,1915,1915,0.0,1915,6775,
10/28/1989,7474,134,134,0.0,1105,,,,2472,,,,,45,,,,,3756,3663,5049,-1386,0.0,55,,,,,55,3718,,1367,1367,,,,1170,,,,,,753,,,753,3290,2411,,,,,252,,,,252,2663,5953,0.0,,,,0.0,,1521,1521,0.0,1521,7474,
02/03/1990,6684,103,103,,1138,,,,1827,,,,,39,,,,,3107,3523,4873,-1350,,54,,,,,54,3577,,1166,1166,,,,306,,,,,,723,,,723,2195,2510,,,,,225,,,,225,2735,4930,1.0,105.0,,,0.0,,1648,1754,,1754,6684,
05/05/1990,6857,236,236,0.0,1005,,,,1888,,,,,73,,,,,3202,3597,5027,-1430,0.0,58,,,,,58,3655,,1081,1081,,,,442,,,,,,701,,,701,2224,2580,,,,,264,,,,264,2844,5068,5.0,,,,0.0,,1784,1789,0.0,1789,6857,
08/04/1990,8050,114,114,0.0,1109,,,,2056,,,,,94,,,,,3373,4467,5975,-1508,0.0,210,,,,,210,4677,,1135,1135,,,,557,,,,,,803,,,803,2495,3433,,,,,297,,,,297,3730,6225,10.0,,,,0.0,,1815,1825,0.0,1825,8050,
11/03/1990,8808,96,96,0.0,1199,,,,2659,,,,,99,,,,,4053,4542,6128,-1586,0.0,213,,,,,213,4755,,1446,1446,,,,964,,,,,,839,,,839,3249,3396,,,,,301,,,,301,3697,6946,18.0,,,,0.0,,1844,1862,0.0,1862,8808,
02/02/1991,8524,92,92,,1407,,,,2016,,,,,143,,,,,3658,4525,6133,-1608,,341,,,,,341,4866,,1267,1267,,,,357,,,,,,798,,,798,2422,3682,,,,,347,,,,347,4029,6451,25.0,112.0,,,0.0,,1936,2073,,2073,8524,
05/04/1991,8579,142,142,0.0,1192,,,,2095,,,,,148,,,,,3577,4661,6353,-1692,0.0,341,,,,,341,5002,,1245,1245,,,,52,,,,,,1013,,,1013,2310,3828,,,,,352,,,,352,4180,6490,36.0,,,,0.0,,2053,2089,0.0,2089,8579,
08/03/1991,8823,113,113,0.0,1149,,,,2300,,,,,122,,,,,3684,4777,6535,-1758,0.0,362,,,,,362,5139,,1360,1360,,,,122,,,,,,918,,,918,2400,3959,,,,,356,,,,356,4315,6715,46.0,,,,0.0,,2062,2108,0.0,2108,8823,
