Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2007,1085.2,0.0,0.0,0.0,,0.0,1085.2,62.1,,,,980.3,42.8,,1085.2,-779.4,,779.4,305.8,15.1,21.0,-36.1,320.9,-91.3,,,,229.6,,,,229.6,-53.7,175.9,,,175.9,175.9,,393.6,0.45,0.45,0.49,407.6,0.43,0.43,0.47,
03/31/2008,866.1,0.0,0.0,0.0,0.0,0.0,866.1,-44.3,,,,887.0,23.4,,866.1,-682.3,0.0,682.3,183.8,1.4,17.9,-19.3,185.2,-73.8,,,,111.4,,,,111.4,43.8,155.2,0.0,,155.2,155.2,,387.8,0.4,0.4,0.4,399.4,0.39,0.39,0.39,
06/30/2008,975.9,0.0,0.0,0.0,0.0,0.0,975.9,40.3,,,,902.3,33.3,,975.9,-695.6,0.0,695.6,280.3,-0.3,9.6,-9.3,280.0,-77.2,,,,202.8,,,,202.8,-40.0,162.8,0.0,,162.8,162.8,,387.6,0.42,0.42,0.42,399.0,0.41,0.41,0.41,
09/30/2008,830.0,0.0,0.0,0.0,0.0,0.0,830.0,2.8,,,,812.4,14.8,,830.0,-632.0,0.0,632.0,198.0,-12.7,8.0,4.7,185.3,-49.2,,,,136.1,,,,136.1,-4.3,131.8,0.0,,131.8,131.8,,386.0,0.34,0.34,0.34,397.9,0.33,0.33,0.33,
12/31/2008,577.6,0.0,0.0,0.0,0.0,0.0,577.6,-56.8,,,,603.7,30.7,0.0,577.6,-549.9,0.0,549.9,17.1,-21.2,,21.2,6.5,-35.8,,,,-29.3,0.0,,,-29.3,61.2,31.9,0.0,0.0,31.9,31.9,,386.3,0.08,0.08,0.17,394.8,0.08,0.08,0.17,
03/31/2009,548.6,0.0,0.0,0.0,,,548.6,0.0,0.0,0.0,0.0,536.4,12.2,,548.6,-573.3,0.0,573.3,-24.7,-12.8,-2.5,15.3,-37.5,-20.3,,,,-57.8,0.0,0.0,0.0,-57.8,88.5,30.7,0.0,0.0,30.7,30.7,56.225,394.1,0.08,0.08,0.220566,399.9,0.08,0.08,0.220566,
06/30/2009,625.1,0.0,0.0,0.0,,,625.1,0.0,0.0,0.0,0.0,610.0,15.1,,625.1,-563.1,0.0,563.1,62.0,2.2,-7.5,5.3,64.2,-36.0,,,,28.2,0.0,0.0,0.0,28.2,47.5,75.7,0.0,0.0,75.7,75.7,31.46,410.6,0.184364,0.184364,0.260984,416.8,0.181622,0.181622,0.257102,
09/30/2009,705.8,0.0,0.0,0.0,,,705.8,0.0,0.0,0.0,0.0,686.4,19.4,,705.8,-552.1,0.0,552.1,153.7,-5.3,-7.9,13.2,148.4,-43.7,,,,104.7,0.0,0.0,0.0,104.7,0.5,105.2,0.0,0.0,105.2,105.2,0.65,431.6,0.24,0.24,0.24525,437.7,0.24,0.24,0.241485,
12/31/2009,747.8,0.0,0.0,0.0,,,747.8,0.0,0.0,0.0,0.0,730.0,17.8,,747.8,-561.4,0.0,561.4,186.4,-4.0,-9.1,13.1,182.4,-48.2,,,,134.2,0.0,0.0,0.0,134.2,-23.3,110.9,0.0,0.0,110.9,110.9,8.1,434.1,0.26,0.26,0.27413,440.1,0.25,0.25,0.268405,
03/31/2010,719.1,0.0,0.0,0.0,,,719.1,0.0,0.0,0.0,0.0,707.4,11.7,,719.1,-479.1,0.0,479.1,240.0,24.6,-5.8,-18.8,264.6,-50.1,,,,214.5,0.0,0.0,0.0,214.5,-119.5,95.0,0.0,0.0,95.0,95.0,15.3,439.0,0.22,0.22,0.251253,442.4,0.21,0.21,0.244584,
06/30/2010,787.0,0.0,0.0,0.0,,,787.0,0.0,0.0,0.0,0.0,770.8,16.2,,787.0,-528.4,0.0,528.4,258.6,16.3,-10.4,-5.9,274.9,-36.7,,,,238.2,0.0,0.0,0.0,238.2,-197.4,40.8,0.0,0.0,40.8,40.8,51.545,455.0,0.09,0.09,0.202956,457.8,0.09,0.09,0.202593,
09/30/2010,953.1,0.0,0.0,0.0,,,953.1,0.0,0.0,0.0,0.0,919.9,33.2,,953.1,-918.5,0.0,918.5,34.6,47.3,-10.7,-36.6,81.9,-54.5,,,,27.4,0.0,0.0,0.0,27.4,127.3,154.7,0.0,0.0,154.7,154.7,17.8,476.6,0.32,0.32,0.361939,479.1,0.32,0.32,0.357153,
12/31/2010,1028.5,0.0,0.0,0.0,,,1028.5,0.0,0.0,0.0,0.0,994.4,34.1,,1028.5,-857.8,0.0,857.8,170.7,41.7,-13.3,-28.4,212.4,-55.7,,,,156.7,0.0,0.0,0.0,156.7,18.5,175.2,0.0,0.0,175.2,175.2,17.355,470.5,0.37,0.37,0.409256,473.1,0.37,0.37,0.406684,
03/31/2011,1027.3,0.0,0.0,0.0,,,1027.3,0.0,0.0,0.0,0.0,994.8,32.5,,1027.3,-887.1,0.0,887.1,140.2,34.7,-6.7,-28.0,174.9,-75.6,,,,99.3,0.0,0.0,0.0,99.3,78.2,177.5,0.0,0.0,177.5,177.5,5.0,469.9,0.38,0.38,0.388381,472.1,0.38,0.38,0.388381,
06/30/2011,1070.0,0.0,0.0,0.0,,,1070.0,0.0,0.0,0.0,0.0,1038.1,31.9,,1070.0,-901.7,0.0,901.7,168.3,36.5,-10.8,-25.7,204.8,-75.4,,,,129.4,0.0,0.0,0.0,129.4,53.6,183.0,0.0,0.0,183.0,183.0,6.9,465.5,0.39,0.39,0.407948,467.4,0.39,0.39,0.404763,
09/30/2011,997.8,0.0,0.0,0.0,,,997.8,0.0,0.0,0.0,0.0,971.2,26.6,,997.8,-863.1,0.0,863.1,134.7,7.8,-8.1,0.3,142.5,-59.1,,,,83.4,0.0,0.0,0.0,83.4,83.5,166.9,0.0,0.0,166.9,166.9,2.9,459.5,0.36,0.36,0.369532,461.0,0.36,0.36,0.366291,
12/31/2011,997.1,0.0,0.0,0.0,,,997.1,0.0,0.0,0.0,0.0,952.6,44.5,,997.1,-681.1,0.0,681.1,316.0,69.9,-4.9,-65.0,385.9,-76.0,,,,309.9,0.0,0.0,0.0,309.9,-107.6,202.3,0.0,0.0,202.3,202.3,5.74,456.8,0.44,0.44,0.455429,458.3,0.44,0.44,0.452525,
03/31/2012,1033.7,0.0,0.0,0.0,,,1033.7,0.0,0.0,0.0,0.0,1000.9,32.8,,1033.7,-925.8,0.0,925.8,107.9,40.5,-9.7,-30.8,148.4,-73.6,,,,74.8,0.0,0.0,0.0,74.8,119.1,193.9,0.0,0.0,193.9,193.9,0.9,454.3,0.43,0.43,0.428792,455.9,0.43,0.43,0.428792,
06/30/2012,981.8,0.0,0.0,0.0,,,981.8,0.0,0.0,0.0,0.0,955.9,25.9,,981.8,-704.8,0.0,704.8,277.0,9.8,-6.9,-2.9,286.8,-61.2,,,,225.6,-2.0,-2.0,0.0,227.6,-73.7,153.9,0.0,0.0,153.9,153.9,0.7,453.8,0.34,0.33,0.336271,455.3,0.34,0.33,0.331537,
09/30/2012,1013.9,0.0,0.0,0.0,,,1013.9,0.0,0.0,0.0,0.0,989.6,24.3,,1013.9,-828.2,0.0,828.2,185.7,40.3,-5.2,-35.1,226.0,-72.3,,,,153.7,-3.2,-3.2,0.0,156.9,13.7,170.6,0.0,0.0,170.6,170.6,1.9,451.3,0.38,0.37,0.375138,452.8,0.38,0.37,0.374196,
