Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,38.763,11.502,27.320999,4.405,,4.405,-4.465,,,,-4.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,33.264,7.651,24.788,0.454,,0.454,0.371,,,,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,40.941002,9.456,28.312,4.039,,4.039,-0.866,,,,-0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,76.389999,11.688,36.394001,4.711,,4.711,23.597,,,,23.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.389999,,,
03/31/1991,20.391001,12.11,27.985001,-14.384,,-14.384,-5.32,,,,-5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,32.708,6.579,25.885,0.565,,0.565,-0.321,,,,-0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,62.522999,1.076,39.181,25.097,,25.097,-2.831,,,,-2.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,40.962002,14.85,42.778999,3.534,,3.534,-20.201,,,,-20.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.962002,,,
03/31/1992,13.393,4.049,37.112,-18.624001,,-18.624001,-9.144,,,,-9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,56.346001,24.027,41.557999,-23.09,,-23.09,13.851,,,,13.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
