Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1995,615.307983,15.837,12.29,3.547,73.934998,,,41.431999,,,,,17.782,,,,,148.985992,307.278992,,,74.448997,,,84.594002,,,,84.594002,466.321991,,12.402,12.402,,,,2.489,,,,,44.103998,,,44.103998,58.994999,126.623001,,,,8.029,,,8.029,134.652001,193.647,0,,,,,,419.679993,419.679993,1.981,421.660993,615.307993,
06/30/1995,620.554016,30.336999,26.285999,4.051,80.242996,,,41.875999,,,,,16.645,,,,,169.100998,314.359985,,,56.030998,,,81.061996,,,,81.061996,451.45298,,9.807,9.807,,,,0.63,,,,,35.843998,,,35.843998,46.280998,128.302002,,,,8.031,,,8.031,136.333002,182.614,0,,,,,,436.385986,436.385986,1.554,437.939986,620.553987,
09/30/1995,660.502014,54.880002,52.955002,1.925,82.695999,,,46.154999,,,,,16.731001,,,,,200.462006,320.434998,,,55.869999,,,83.735001,,,,83.735001,460.039997,,10.167,10.167,,,,0.645,,,,,40.907002,,,40.907002,51.719002,126.258003,,,,8.101,,,8.101,134.359003,186.078005,0,,,,,,472.914001,472.914001,1.51,474.424001,660.502006,
12/31/1995,854.585999,209.101998,103.630997,105.471001,87.121002,,,52.280998,,,,,22.108,,,,,370.612,327.460999,391.286987,-63.826,69.822998,,,86.690002,,,,86.690002,483.973999,,19.548,19.548,,,,2.276,,,,,40.752,,,40.752,62.576,124.473,,,,8.256,,,8.256,132.729,195.305,0,,,,0.0,,659.281006,659.281006,0.0,659.281006,854.586006,
03/31/1996,888.362976,249.567001,74.253998,175.313004,84.749001,,,57.858002,,,,,21.351,,,,,413.524994,333.309998,,,52.629002,,,88.899002,,,,88.899002,474.838001,,11.6,11.6,,,,2.271,,,,,48.400999,,,48.400999,62.271999,24.285999,,,,8.039,,,8.039,32.324999,94.596998,0,,,,0.0,,793.765991,793.765991,0.0,793.765991,888.362989,
06/30/1996,948.841003,246.413994,85.353996,161.059998,96.719002,,,62.988998,,,,,23.039,,,,,429.161011,344.65799,,,53.608002,,,121.414001,,,,121.414001,519.679993,,12.063,12.063,,,,2.724,,,,,58.948001,,,58.948001,73.735001,24.242001,,,,7.928,,,7.928,32.170001,105.905001,0,,,,0.0,,842.935974,842.935974,0.0,842.935974,948.840975,
09/30/1996,1180.870972,197.791,116.880997,80.910004,114.263,,,110.974998,,,,,27.981001,,,,,451.01001,362.791992,,,48.396,,,318.673004,,,,318.673004,729.860996,,20.851999,20.851999,,,,0.817,,,,,95.861999,,,95.861999,117.530998,224.255997,,,,0.208,,,0.208,224.463997,341.994995,0,,,,0.0,,838.875977,838.875977,0.0,838.875977,1180.870972,
12/31/1996,1229.519043,133.510002,77.220001,56.290001,115.155998,,,123.442001,,,,,119.050003,,,,,491.15799,371.609985,458.830994,-87.221001,38.215,,,328.536011,,,,328.536011,738.360996,,20.521999,20.521999,,,,0.999,,,,,88.264005,,,88.264005,109.785004,223.998001,,,,11.511,,,11.511,235.509001,345.294005,0,,,,0.0,,884.224976,884.224976,0.0,884.224976,1229.518981,
03/31/1997,1138.855957,130.060001,88.245003,41.814999,118.060997,,,127.803001,,,,,34.474998,,,,,410.398987,366.207001,,,32.381001,,,329.868988,,,,329.868988,728.456989,,16.687,16.687,,,,1.022,,,,,87.722,,,87.722,105.431,123.750999,,,,10.768,,,10.768,134.518999,239.949999,0,,,,0.0,,898.906006,898.906006,0.0,898.906006,1138.856005,
06/30/1997,1150.860962,126.429996,79.186996,47.243,118.654999,,,135.298996,,,,,35.393002,,,,,415.777008,369.410004,,,29.118,,,336.556,,,,336.556,735.084003,,17.287001,17.287001,,,,0.837,,,,,87.141998,,,87.141998,105.265999,123.214996,,,,1.573,,,1.573,124.787996,230.053995,0,,,,0.0,,920.807007,920.807007,0.0,920.807007,1150.861002,
