Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1991,5.979,,,-3.8,,,2.179,,-0.608,,,,,1.571,-0.373,,0.429,,0.0,,-0.056,1.198,-0.51,,,0.688,0.0,,,0.688,0.0,0.688,0.0,,0.688,0.688,,0.139545,4.888889,4.888889,,0.139545,4.888889,4.888889,4.888889,
12/31/1991,5.971,,,-4.075,,,1.896,,-0.749,,,,,1.147,-0.634,,0.827,,0.0,,-0.193,0.513,-0.175,,,0.338,0.0,,,0.338,0.0,0.338,0.0,,0.338,0.338,,0.139545,2.444444,2.444444,,0.139545,2.444444,2.444444,2.444444,
03/31/1992,5.847,,,-3.212,,,2.635,,-1.293,,,,,1.342,-0.722,,0.673,,0.0,,0.049,0.62,-0.185,,,0.435,0.0,,,0.435,0.0,0.435,0.0,,0.435,0.435,,0.139545,3.111111,3.111111,,0.139545,3.111111,3.111111,3.111111,
06/30/1992,4.555,,,-3.043,,,1.512,,-0.668,,,,,0.702,-0.502,,0.844,,0.0,,-0.342,0.2,-0.16,,,0.378,0.0,,,0.04,0.0,0.378,0.0,,0.378,0.378,,,0.0,,,,,,,
09/30/1992,3.652,,,-2.701,,,0.951,,-0.66,,,,,0.291,-0.605,,0.758,,0.0,,-0.153,-0.314,0.089,,,-0.225,0.0,,,-0.225,0.0,-0.225,0.0,,-0.225,-0.225,,0.139545,-1.555556,-1.555556,,0.139545,-1.555556,-1.555556,-1.555556,
12/31/1992,4.329,,,-2.638,,,1.691,,-1.062,,,,,0.629,-0.729,,0.793,,0.0,,-0.064,-0.1,0.031,,,-0.069,0.0,,,-0.069,0.0,-0.069,-0.05,,-0.119,-0.119,,0.135855,0.888889,0.888889,,0.135855,0.888889,0.888889,0.888889,
03/31/1993,4.461,,,-2.946,,,1.515,,-1.012,,,,,0.503,-0.07,,0.582,,0.0,,-0.512,0.433,-0.135,,,0.298,0.0,,,0.298,0.0,0.298,-0.166,,0.132,0.132,,0.201285,0.666667,0.666667,,0.201285,0.666667,0.666667,0.666667,
06/30/1993,4.686,,,-2.142,,,2.544,,-1.743,,,,,0.801,-1.284,,0.149,,0.0,,1.135,-0.483,0.114,,,-0.369,0.0,,,-0.369,0.0,-0.369,-0.169,,-0.538,-0.538,,0.194355,-4.444445,-4.444445,,0.194355,-4.444445,-4.444445,-4.444445,
09/30/1993,5.366,,,-4.038,,,1.328,,-0.678,,,,,0.65,-0.218,,0.449,,0.0,,-0.231,0.432,-0.147,,,0.285,0.0,,,0.285,0.0,0.285,-0.17,,0.115,0.115,,0.238635,0.444445,0.444444,,0.238635,0.444445,0.444444,0.444444,
12/31/1993,6.25,,,-4.541,,,1.709,,-0.868,,,,,0.841,-0.058,,0.352,,0.0,,-0.294,0.783,-0.266,,,0.517,0.0,,,0.517,0.0,0.517,-0.17,,0.347,0.347,,0.23499,1.555556,1.555556,,0.23499,1.555556,1.555556,1.555556,
03/31/1994,6.606,,,-5.248,,,1.358,,-0.642,,,,,0.716,-0.201,,0.437,,0.0,,-0.236,0.515,-0.175,,,0.34,0.0,,,0.34,0.0,0.34,0.0,,0.34,0.34,,0.23445,1.555556,1.555556,,0.23445,1.333334,1.555556,1.555556,
06/30/1994,10.621,,,-3.16,,,7.461,,-2.818,,,,,4.643,-1.218,,1.438,,0.0,,-0.22,3.425,-0.662,,,2.763,0.0,,,2.763,0.0,2.763,0.0,,2.763,2.763,,0.254385,10.888889,10.888889,10.888889,0.254385,10.888889,10.888889,10.888889,
09/30/1994,13.042,,,-7.639,,,5.403,,-0.844,,,,,4.559,-1.314,,1.578,,0.0,,-0.264,3.245,-0.909,,,2.336,0.0,,,2.336,0.0,2.336,0.0,,2.336,2.336,,0.266085,8.888889,8.888889,,0.266085,8.888889,8.888889,8.888889,
12/31/1994,14.185,,,-7.579,,,6.606,,-0.802,,,,,5.804,-0.714,,1.358,,0.0,,-0.644,5.09,-1.842,,,3.248,0.0,,,3.248,0.0,3.248,0.0,,3.248,3.248,,0.277785,11.555555,11.555555,,0.277785,11.555555,11.555555,11.555555,
