Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,23.382,4.523,4.523,0.0,6.147,,,6.475,,,,,0.361,,,,,17.506001,2.605,,,3.195,,0.076,,,,0.076,5.876,,1.706,1.706,,,,0.036,,,,,,1.996,,,1.996,3.738,0.774,,,,,0.0,,,,,,0.0,0.774,4.512,0.0,4.803,,,0.0,,14.067,18.87,0,18.87,23.382,
06/30/1990,24.478001,3.558,3.558,0.0,6.442,,,6.93,,,,,0.356,,,,,17.285999,2.853,,,4.254,,0.085,,,,0.085,7.192,,1.668,1.668,,,,0.037,,,,,,1.548,,,1.548,3.253,0.764,,,,,0.0,,,,,,0.0,0.764,4.017,0.0,4.803,,,0.0,,15.658,20.461,0,20.461,24.478,
09/30/1990,26.573,4.324,4.324,0.0,6.927,,,7.607,,,,,0.358,,,,,19.216,3.2,,,4.064,,0.093,,,,0.093,7.357,,1.842,1.842,,,,0.038,,,,,,1.791,,,1.791,3.671,0.753,,,,,0.0,,,,,,0.0,0.753,4.424,0.0,4.803,,,0.0,,17.346001,22.149001,0,22.149001,26.573001,
12/31/1990,28.290001,4.572,4.572,0.0,6.581,,,8.769,,,,,0.379,,,,,20.301001,3.655,5.897,-2.242,4.235,,0.099,,,,0.099,7.989,,1.799,1.799,,,,0.039,,,,,,1.636,,,1.636,3.474,0.743,,,,,0.0,,,,,,0.0,0.743,4.217,0.0,4.803,,,0.0,,19.27,24.073,0,24.073,28.29,
03/31/1991,30.051001,5.4,5.4,0.0,6.743,,,9.707,,,,,0.46,,,,,22.309999,3.813,,,3.821,,0.107,,,,0.107,7.741,,2.67,2.67,,,,0.772,,,,,,1.884,,,1.884,5.326,0.0,,,,,0.0,,,,,,0.0,0.0,5.326,0.0,4.803,,,0.0,,19.922001,24.725001,0,24.725001,30.051001,
06/30/1991,30.743999,3.735,3.735,0.0,7.804,,,9.692,,,,,0.52,,,,,21.750999,4.408,,,4.445,,0.14,,,,0.14,8.993,,2.242,2.242,,,,0.762,,,,,,1.354,,,1.354,4.358,0.0,,,,,0.0,,,,,,0.0,0.0,4.358,0.0,4.803,,,0.0,,21.583,26.386,0,26.386,30.744,
09/30/1991,32.057999,3.113,3.113,0.0,8.362,,,9.791,,,,,0.553,,,,,21.819,5.597,,,4.49,,0.152,,,,0.152,10.239,,2.222,2.222,,,,0.0,,,,,,1.57,,,1.57,3.792,0.0,,,,,0.0,,,,,,0.0,0.0,3.792,0.0,4.803,,,0.0,,23.462999,28.265999,0,28.265999,32.057999,
12/31/1991,34.103001,3.407,3.407,0.0,8.196,,,11.231,,,,,0.619,,,,,23.452999,6.344,9.871,-3.527,4.167,,0.139,,,,0.139,10.65,,2.441,2.441,,,,0.0,,,,,,1.458,,,1.458,3.899,0.0,,,,,0.0,,,,,,0.0,0.0,3.899,0.0,4.803,,,0.0,,25.400999,30.203999,0,30.203999,34.102999,
03/31/1992,36.735001,1.539,1.539,0.0,9.491,,,12.995,,,,,0.589,,,,,24.614,8.103,,,3.874,,0.144,,,,0.144,12.121,,2.986,2.986,,,,0.0,,,,,,2.392,,,2.392,5.378,0.0,,,,,0.0,,,,,,0.0,0.0,5.378,0.0,4.803,,,0.0,,26.554001,31.357001,0,31.357001,36.735001,
06/30/1992,38.528999,2.122,2.122,0.0,10.389,,,13.531,,,,,0.587,,,,,26.629,8.651,,,3.094,,0.155,,,,0.155,11.9,,2.842,2.842,,,,0.0,,,,,,2.143,,,2.143,4.985,0.0,,,,,0.0,,,,,,0.0,0.0,4.985,0.0,4.803,,,0.0,,28.740999,33.543999,0,33.543999,38.528999,
09/30/1992,41.198002,3.26,3.26,0.0,11.115,,,13.503,,,,,0.572,,,,,28.450001,9.157,,,3.429,,0.162,,,,0.162,12.747999,,2.786,2.786,,,,0.0,,,,,,2.397,,,2.397,5.183,0.0,,,,,0.0,,,,,,0.0,0.0,5.183,0.0,4.803,,,0.0,,31.212,36.015,0,36.015,41.198,
12/31/1992,43.937,1.316,1.316,0.0,10.703,,,15.22,,,,,0.799,,,,,28.038,9.812,15.119,-5.307,5.914,,0.173,,,,0.173,15.899,,3.011,3.011,,,,0.0,,,,,,2.458,,,2.458,5.469,0.0,,,,,0.0,,,,,,0.0,0.0,5.469,0.0,4.803,,,0.0,,33.665001,38.468001,0,38.468001,43.937001,
03/31/1993,47.060001,0.446,0.446,0.0,12.744,,,15.732,,,,,1.03,,,,,29.952,11.911,,,5.019,,0.178,,,,0.178,17.108,,3.478,3.478,,,,0.0,,,,,,3.471,,,3.471,6.949,0.0,,,,,0.0,,,,,,0.0,0.0,6.949,0.0,4.803,,,0.0,,35.307999,40.110999,0,40.110999,47.059999,
06/30/1993,49.512001,0.879,0.879,0.0,14.861,,,16.934,,,,,0.909,,,,,33.583,12.473,,,3.273,,0.183,,,,0.183,15.929,,3.742,3.742,,,,0.0,,,,,,2.783,,,2.783,6.525,0.0,,,,,0.0,,,,,,0.0,0.0,6.525,0.0,4.803,,,0.0,,38.183998,42.986998,0,42.986998,49.511998,
09/30/1993,53.547001,2.552,2.552,0.0,15.246,,,19.013,,,,,0.872,,,,,37.682999,12.772,,,2.864,,0.228,,,,0.228,15.864,,3.554,3.554,,,,0.0,,,,,,3.635,,,3.635,7.189,0.0,,,,,0.0,,,,,,0.0,0.0,7.189,0.0,4.803,,,0.0,,41.555,46.358,0,46.358,53.547,
12/31/1993,57.463001,1.976,1.976,0.0,15.723,,,22.233999,,,,,1.04,,,,,40.973,12.739,20.577,-7.838,3.455,,0.296,,,,0.296,16.49,,4.364,4.364,,,,0.0,,,,,,3.29,,,3.29,7.654,0.0,,,,,0.0,,,,,,0.0,0.0,7.654,0.0,4.803,,,0.0,,45.006001,49.809001,0,49.809001,57.463001,
03/31/1994,62.176998,3.324,3.324,0.0,18.287001,,,22.65,,,,,1.033,,,,,45.293999,13.293,,,3.329,,0.261,,,,0.261,16.883,,4.071,4.071,,,,0.0,,,,,,5.621,,,5.621,9.692,0.0,,,,,0.0,,,,,,0.0,0.0,9.692,0.0,4.803,,,0.0,,47.681999,52.484999,0,52.484999,62.177,
06/30/1994,67.57,2.825,2.825,0.0,20.855,,,24.17,,,,,1.108,,,,,48.958,14.837,,,3.503,,0.272,,,,0.272,18.612,,5.368,5.368,,,,0.0,,,,,,5.147,,,5.147,10.515,0.0,,,,,0.0,,,,,,0.0,0.0,10.515,0.0,4.803,,,0.0,,52.251999,57.054999,0,57.054999,67.569999,
09/30/1994,73.864998,3.85,3.85,0.0,23.784,,,25.672001,,,,,1.129,,,,,54.435001,15.27,,,3.791,,0.369,,,,0.369,19.43,,5.519,5.519,,,,0.0,,,,,,6.137,,,6.137,11.656,0.0,,,,,0.0,,,,,,0.0,0.0,11.656,0.0,4.803,,,0.0,,57.405998,62.208998,0,62.208998,73.864998,
12/31/1994,81.794998,3.133,3.133,0.0,23.606001,,,30.910999,,,,,1.837,,,,,59.487,16.988001,28.086,-11.098,5.026,,0.294,,,,0.294,22.308001,,7.814,7.814,,,,0.0,,,,,,6.332,,,6.332,14.146,0.0,,,,,0.0,,,,,,0.0,0.0,14.146,0.0,4.803,,,0.0,,62.846001,67.649001,0,67.649001,81.795001,
03/31/1995,89.527,1.101,1.101,0.0,27.594999,,,35.574001,,,,,1.743,,,,,66.013,20.368999,,,2.837,,0.308,,,,0.308,23.513999,,7.361,7.361,,,,0.0,,,,,,9.194,,,9.194,16.555,0.0,,,,,0.0,,,,,,0.0,0.0,16.555,0.0,4.803,,,0.0,,68.168999,72.971999,0,72.971999,89.526999,
06/30/1995,96.112,0.201,0.201,0.0,29.872999,,,40.245998,,,,,1.774,,,,,72.094002,22.570999,,,1.139,,0.308,,,,0.308,24.017999,,7.311,7.311,,,,2.6,,,,,,6.464,,,6.464,16.375,0.0,,,,,0.0,,,,,,0.0,0.0,16.375,0.0,4.803,,,0.0,,74.933998,79.736998,0,79.736998,96.111998,
09/30/1995,101.264999,2.575,2.575,0.0,33.235001,,,37.049,,,,,1.958,,,,,74.817001,24.955,,,1.17,,0.323,,,,0.323,26.448,,7.023,7.023,,,,0.0,,,,,,7.084001,,,7.084001,14.107,0.0,,,,,0.0,,,,,,0.0,0.0,14.107,0.0,4.803,,,0.0,,82.355003,87.158003,0,87.158003,101.265004,
12/31/1995,109.32,6.583,6.583,0.0,31.865999,,,40.178001,,,,,2.47,,,,,81.097,27.09,42.381001,-15.291,0.784,,0.349,,,,0.349,28.223,,7.882,7.882,,,,0.0,,,,,,7.115,,,7.115,14.997,0.0,,,,,0.0,,,,,,0.0,0.0,14.997,0.0,4.803,,,0.0,,89.519997,94.322997,0,94.322997,109.319997,
03/31/1996,121.12,8.187,8.187,0.0,36.287,36.287,,42.81,,,,,2.51,,,,,89.794,30.203,,,0.759,0.759,0.364,,,,0.364,31.326,,9.093,9.093,,,,0.0,0.0,0.0,0.0,,,11.026,,,11.026,20.119,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,20.119,0.0,4.803,,,0.0,96.24,-0.042,101.001,0,101.001,121.12,
06/30/1996,133.913,0.85,0.85,0.0,39.846,39.846,,48.399,,,,,2.947,,,,,92.042,37.33,,,0.719,0.719,3.822,,,,3.822,41.871,,11.393,11.393,,,,5.562,5.562,0.0,0.0,,,7.647,,,7.647,24.602,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,24.602,0.0,4.803,,,0.0,104.685,-0.177,109.311,0,109.311,133.913,
09/30/1996,144.157,0.91,0.91,0.0,42.847,42.847,,51.691,,,,,3.736,,,,,99.184,40.482,,,0.681,0.681,3.81,,,,3.81,44.973,,10.228,10.228,,,,8.766,8.766,0.0,0.0,,,7.146,,,7.146,26.14,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,26.14,0.0,4.803,,,0.0,113.377,-0.163,118.017,0,118.017,144.157,
12/31/1996,151.544998,0.426,0.426,0.0,41.553001,,,56.526001,,,,,4.95,,,,,103.455002,43.93,64.611,-20.681,0.515,,3.645,,,,3.645,48.09,,10.01,10.01,,,,8.622,,,,,,6.406,,,6.406,25.038,0.0,,,,,0.54,,,,,,0.54,0.54,25.578,0.0,4.803,,,0.0,,121.164001,125.967001,0,125.967001,151.545001,
03/31/1997,173.054993,0.25,0.25,0.0,52.230999,,,60.006001,,,,,5.465,,,,,117.952003,50.931,73.230003,-22.299,0.515,,3.657,,,,3.657,55.103,,12.992,12.992,,,,12.986,,,,,,12.592,,,12.592,38.57,0.0,,,,,0.54,,,,,,0.54,0.54,39.11,0.0,4.803,,,0.0,,129.141998,133.944998,0,133.944998,173.054998,
06/30/1997,180.688004,0.284,0.284,0.0,57.403999,,,60.096001,,,,,6.711,,,,,124.495003,52.039001,75.782997,-23.743999,0.515,,3.639,,,,3.639,56.193001,,13.301,13.301,,,,12.385,,,,,,10.033002,,,10.033002,35.719002,0.0,,,,,0.54,,,,,,0.54,0.54,36.259002,0.0,4.803,,,0.0,,139.626007,144.429007,0,144.429007,180.688009,
09/30/1997,195.229004,0.303,0.303,0.0,61.278,61.278,,68.017998,,,,,6.63,,,,,136.229004,54.848999,80.573997,-25.725,0.515,0.515,3.636,,,,3.636,58.999999,,17.468,17.468,,,,10.438,,,,,,11.022001,,,11.022001,38.928001,0.0,,,,,0.54,,,,,,0.54,0.54,39.468001,0.0,4.803,,,0.0,151.165,-0.207007,155.760993,0,155.760993,195.228994,
12/31/1997,205.136993,0.386,0.386,0.0,57.542,,,79.415001,,,,,6.828,,,,,144.171005,57.084,85.296997,-28.212999,0.265,,3.617,,,,3.617,60.966,,12.95,12.95,,,,16.302999,,,,,,8.363002,,,8.363002,37.616001,0.0,,,,,1.649,,,,,,1.649,1.649,39.265001,0.0,4.803,,,0.0,,161.069,165.872,0,165.872,205.137001,
03/31/1998,220.677994,0.418,0.418,0.0,67.170998,,,82.128998,0.0,0.0,82.128998,0.0,7.884,,,,,157.602005,59.205002,89.07,-29.865,0.265,,3.606,0.0,,,3.606,63.076002,,13.326,13.326,,,,11.362,,,,,,16.831,,,16.831,41.519001,0.0,,,,,1.649,,,,,,1.649,1.649,43.168001,0.0,4.803,,,0.0,,172.707001,177.510001,0,177.510001,220.678002,
06/30/1998,238.712006,0.801,0.801,0.0,71.851997,,,88.097,0.0,0.0,88.097,0.0,8.165,,,,,168.914993,65.961998,97.776001,-31.813999,0.265,,3.57,0.0,,,3.57,69.796998,,14.963,14.963,,,,19.643999,,,,,,11.086001,,,11.086001,45.693001,0.0,,,,,1.649,,,,,,1.649,1.649,47.342001,0.0,4.803,,,0.0,,186.567001,191.370001,0,191.370001,238.712002,
09/30/1998,243.569,1.645,1.645,0.0,71.662003,,,91.719002,0.0,0.0,91.719002,0.0,7.639,,,,,172.664993,67.098,101.113998,-34.015999,0.265,,3.541,0.0,,,3.541,70.903999,,11.823,11.823,,,,12.73291,,,,,,12.181089,,,12.181089,36.737,0.0,,,,,1.649,,,,,,1.649,1.649,38.386,0.0,4.803,,,0.0,,200.380005,205.183005,0,205.183005,243.569004,
12/31/1998,251.233994,2.086,2.086,0.0,68.498001,,,93.734001,0.0,0.0,93.734001,0.0,8.949,,,,,173.266998,74.211998,111.014,-36.801998,0.265,,3.49,0.0,,,3.49,77.966998,,17.410999,17.410999,,,,4.055,,,,,,9.342001,,,9.342001,30.808001,0.0,,,,,2.78,,,,,,2.78,2.78,33.588001,0.0,4.803,,,0.0,,212.843002,217.646002,0,217.646002,251.234003,
03/31/1999,274.828003,11.473,11.473,0.0,80.679001,,,94.051003,0.0,0.0,94.051003,0.0,8.372,,,,,194.574997,76.581001,115.93,-39.348999,0.215,,3.457,0.0,,,3.457,80.253001,,20.996,20.996,,,,0.0,0.0,0.0,0.0,,,19.4,,,19.4,40.396,0.0,0.0,0.0,0.0,,2.78,,,,,,2.78,2.78,43.176,0.0,4.803,,,0.0,,226.848999,231.651999,0,231.651999,274.827999,
06/30/1999,289.18399,16.549,16.549,0.0,86.255997,,,99.588997,0.0,0.0,99.588997,0.0,8.324,,,,,210.718002,74.824997,115.783997,-40.959,0.215,,3.426,0.0,,,3.426,78.465997,,21.921,21.921,,,,0.0,0.0,0.0,0.0,,,15.622999,,,15.622999,37.543999,0.0,0.0,0.0,0.0,,2.78,,,,,,2.78,2.78,40.323999,0.0,4.803,,,0.0,,244.057007,248.860007,0,248.860007,289.184005,
09/30/1999,304.821014,24.261999,24.261999,0.0,90.750999,,,99.344002,0.0,0.0,99.344002,0.0,8.13,,,,,222.487,78.733002,121.278999,-42.546001,0.215,,3.386,0.0,,,3.386,82.334002,,19.952,19.952,,,,0.0,0.0,0.0,0.0,,,16.103001,,,16.103001,36.055,0.0,0.0,0.0,0.0,,2.78,,,,,,2.78,2.78,38.835,0.0,4.803,,,0.0,,261.183014,265.986014,0,265.986014,304.821014,
12/31/1999,318.621002,27.849001,27.849001,0.0,84.563004,,,106.597,0.0,0.0,106.597,0.0,8.396,,,,,227.404999,87.629997,131.412994,-43.783001,0.215,,3.371,0.0,0.0,0.0,3.371,91.215997,,19.325001,19.325001,,,,0.0,0.0,0.0,0.0,,,14.335999,,,14.335999,33.660999,0.0,0.0,0.0,0.0,,3.0,,,,,,3.0,3.0,36.660999,0.0,4.803,,,0.0,,277.157013,281.960013,0,281.960013,318.621012,
03/31/2000,352.980011,40.234001,40.234001,0.0,97.463997,,,110.791,0.0,0.0,110.791,0.0,8.363,,,,,256.85199,92.638,138.084,-45.445999,0.146,,3.344,0.0,,,3.344,96.128001,,23.617001,23.617001,,,,0.0,0.0,0.0,0.0,,,25.468998,,,25.468998,49.085999,0.0,0.0,0.0,0.0,,5.0,,,,,,5.0,5.0,54.085999,0.0,4.803,,,0.0,,294.091003,298.894003,0,298.894003,352.980002,
06/30/2000,371.552002,28.573999,28.573999,0.0,105.609001,,,126.127998,0.0,0.0,126.127998,0.0,11.266,,,,,271.576996,96.518997,143.766006,-47.247002,0.143,,3.313,0.0,,,3.313,99.974997,,29.865999,29.865999,,,,0.0,0.0,0.0,0.0,,,16.966002,,,16.966002,46.832001,0.0,0.0,0.0,0.0,,5.0,,,,,,5.0,5.0,51.832001,0.0,4.803,,,0.0,,314.916992,319.719992,0,319.719992,371.551993,
