Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting & Acq Cost (L),Amort Def Acq Cost (L),Other Cost (L),Other Operating Expense,Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,437.394989,312.958008,,,87.564997,36.872002,,,-189.876999,0.0,189.876999,,-87.972,,,,,,106.698997,,-11.598,0.0,95.100998,-32.341999,62.758999,0.0,,,62.758999,-2.394,60.365002,-1.81667,,58.548332,58.548332,,354.605172,0.164444,0.164444,,354.605172,0.164444,0.164444,0.164444,
06/30/1990,435.588013,313.851013,,,82.246001,39.491001,,,-194.408005,0.0,194.408005,,-87.896004,,,,,,102.348,,-12.702,0.0,89.646,-26.872999,62.772999,0.0,,,62.773001,-2.309,60.464001,-1.817,,58.647001,58.647001,,352.356751,0.167407,0.167407,,352.356751,0.167407,0.167407,0.167407,
09/30/1990,461.165009,331.842987,,,95.058,34.264,,,-217.487,0.0,217.487,,-90.549004,,,,,,106.282997,,-10.914,0.0,95.368998,-31.742001,63.626999,0.0,,,63.626997,-2.476,61.151001,-1.817,,59.334001,59.334001,,349.568988,0.17037,0.17037,,349.568988,0.17037,0.17037,0.17037,
12/31/1990,461.97699,332.599945,,,87.62399,41.753002,,,-214.753998,0.0,214.753998,,-179.615005,,,,,,83.429008,,-11.035002,0.373,72.767007,-23.491999,49.275009,0.0,,,49.275008,-2.078,47.196999,-1.44733,,45.749669,45.749669,,346.666512,0.13037,0.13037,,346.666512,0.13037,0.13037,0.13037,
03/31/1991,475.721008,345.274994,,,89.447002,40.999001,,,-221.190002,0.0,221.190002,,-93.193001,,,,,,104.356003,,-11.937,0.273,92.692003,-31.305,61.387001,0.0,,,61.387002,-2.399,58.987999,-1.497183,,57.490816,57.490816,,346.639501,0.165926,0.165926,,346.639501,0.165926,0.165926,0.165926,
06/30/1991,480.096008,341.382996,,,91.654001,47.058998,,,-223.875,0.0,223.875,,-90.852997,,,,,,106.689003,,-12.428,0.192,94.453003,-30.441999,64.011002,0.0,,,64.011003,-2.661,61.349998,-1.577328,,59.772671,59.772671,,346.552365,0.173333,0.173333,,346.552365,0.173333,0.173333,0.173333,
09/30/1991,488.815002,339.552002,,,95.028003,54.235001,,,-225.550995,0.0,225.550995,,-88.817001,,,,,,109.373001,,-12.582,0.173,96.964001,-31.92,65.043999,0.0,,,65.044001,-2.316,62.728001,-1.561811,,61.16619,61.16619,,344.742763,0.177778,0.177778,,344.742763,0.177778,0.177778,0.177778,
12/31/1991,487.340027,339.602997,,,92.383987,55.352997,,,-222.696991,0.0,222.696991,,-181.195984,,,,,,110.550987,,-13.265001,0.502,97.787986,-31.781998,66.005997,0.0,,,66.005988,-2.583,63.423,-1.479678,,61.943322,61.943322,,337.641749,0.180741,0.180741,,337.641749,0.180741,0.180741,0.180741,
03/31/1992,515.05603,364.662994,,,94.089001,56.304001,,,-237.522995,0.0,237.522995,,-91.113998,,,,,,114.549004,,-13.233,-0.054,101.262004,-34.495998,66.765999,0.0,,,66.766005,-2.744,64.022003,-0.98742,,63.034583,63.034583,,337.562596,0.186667,0.186667,,337.562596,0.186667,0.186667,0.186667,
06/30/1992,530.262024,363.803986,,,97.206001,69.251999,,,-236.404007,0.0,236.404007,,-91.099998,,,,,,118.886002,,-14.224,0.054,104.716002,-35.298,69.417999,0.0,,,69.418001,-2.969,66.448997,-0.822186,,65.626812,65.626812,,326.76016,0.201481,0.201481,,326.76016,0.201481,0.201481,0.201481,
09/30/1992,511.718994,361.757996,,,97.430001,52.530998,,,-241.253998,0.0,241.253998,,-89.719002,,,,,,121.641998,,-14.146,0.332,107.827998,-36.493999,71.334,0.0,,,71.333999,-3.236,68.098,-0.822184,,67.275816,67.275816,,326.265724,0.206667,0.206667,,326.265724,0.206667,0.206667,0.206667,
12/31/1992,488.77301,363.737061,,,93.061982,31.974007,,,-238.366974,0.0,238.366974,,-191.485001,,,,,,58.921,,-14.058,0.496,45.359,-34.555996,70.336006,0.0,,,10.803004,-3.428,66.90799,-0.82121,,66.08678,66.08678,,330.862509,0.202222,0.202222,0.202222,330.862509,0.202222,0.202222,0.202222,
03/31/1993,525.276001,371.440002,,,97.712998,56.123001,,,-240.899994,0.0,240.899994,,-88.553001,,,,,,129.128006,,-13.586,-34.244999,81.297007,-26.719,54.577999,-22.444,,,77.022007,-3.533,73.488998,-0.822186,,72.666812,72.666812,,331.021946,0.22,0.151111,,331.021946,0.22,0.151111,0.151111,
