Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,47.233002,5.766,5.766,0.0,10.465,,,,4.92,,,,,1.948,,,,23.099001,9.049,19.096001,-10.047,0.0,15.085,,,,,15.085,24.134,,7.835,7.835,,,,4.227,,,,,,3.889999,,,3.889999,15.952,30.330999,,,,,0.0,,,,,,0.0,30.330999,46.282999,0.0,5.274,,,0.0,,-4.324,0.95,0.0,0.95,47.232999,
04/03/1993,47.695,6.302,6.302,0.0,10.644,,,,5.087,,,,,2.22,,,,24.253,8.973,,,0.0,14.469,,,,,14.469,23.441999,,8.799,8.799,,,,3.869,,,,,,4.524,,,4.524,17.191999,29.368999,,,,,0.0,,,,,,0.0,29.368999,46.560999,0.0,5.274,,,0.0,,-4.14,1.134,0.0,1.134,47.694999,
07/03/1993,43.004002,0.661,0.661,0.0,10.12,,,,7.652,,,,,1.675,,,,20.108,8.802,,,0.0,14.094,,,,,14.094,22.896,,8.951,8.951,,,,0.0,,,,,,5.311999,,,5.311999,14.263,5.138,,,,,0.0,,,,,,0.0,5.138,19.401,0.0,25.912001,,,0.0,,-2.309,23.603001,0.0,23.603001,43.004,
09/30/1993,45.553001,0.609,0.609,0.0,11.204,,,,9.725,,,,,1.848,,,,23.386,8.236,21.167999,-12.932,0.0,13.931,,,,,13.931,22.167,,9.155,9.155,,,,0.0,,,,,,5.837,,,5.837,14.992,4.438,,,,,0.0,,,,,,0.0,4.438,19.43,0.0,26.179001,,,0.0,,-0.056,26.123001,0.0,26.123001,45.553001,
01/01/1994,64.933998,18.108999,18.108999,0.0,11.326,,,,11.048,,,,,1.832,,,,42.314999,8.855,,,0.0,13.764,,,,,13.764,22.618999,,8.885,8.885,,,,0.0,,,,,,6.604,,,6.604,15.489,0.0,,,,,0.0,,,,,,0.0,0.0,15.489,0.0,46.823002,,,0.0,,2.622,49.445002,0.0,49.445002,64.934002,
04/02/1994,68.228996,19.554,13.666,5.888,13.026,,,,11.22,,,,,1.931,,,,45.730999,8.901,,,0.0,13.597,,,,,13.597,22.498,,9.809,9.809,,,,0.0,,,,,,5.668,,,5.668,15.477,0.0,,,,,0.0,,,,,,0.0,0.0,15.477,0.0,47.467999,,,0.0,,5.284,52.751998,0.0,52.751998,68.228999,
07/02/1994,71.851997,21.805,15.772,6.033,14.388,,,,11.787,,,,,1.739,,,,49.719002,8.702,,,0.0,13.431,,,,,13.431,22.132999,,10.337,10.337,,,,0.0,,,,,,5.895,,,5.895,16.232,0.0,,,,,0.0,,,,,,0.0,0.0,16.232,0.0,47.544998,,,0.0,,8.075,55.619998,0.0,55.619998,71.851998,
09/30/1994,64.467003,25.85,14.68,11.17,16.899,,,,10.288,,,,,2.747,,,,55.784,8.583,25.112,-16.528999,0.0,0.1,,,,,0.1,8.683,,10.624,10.624,,,,0.0,,,,,,7.105,,,7.105,17.729,0.0,,,,,0.0,,,,,,0.0,0.0,17.729,0.0,49.810001,,,0.0,,-3.072,46.738001,0.0,46.738001,64.467001,
12/31/1994,70.735001,23.834,18.076,5.758,18.236,,,,14.922,,,,,2.679,,,,59.671001,10.904,,,0.0,0.16,,,,,0.16,11.064,,12.649,12.649,,,,0.0,,,,,,7.895,,,7.895,20.544001,0.0,,,,,0.0,,,,,,0.0,0.0,20.544001,0.0,49.932999,,,0.0,,0.258,50.190999,0.0,50.190999,70.734999,
04/01/1995,77.483002,27.773001,19.408001,8.365,18.284,,,,17.6,,,,,2.788,,,,66.445,10.878,,,0.0,0.16,,,,,0.16,11.038,,15.431,15.431,,,,0.0,,,,,,7.066999,,,7.066999,22.497999,0.0,,,,,0.0,,,,,,0.0,0.0,22.497999,0.0,50.851002,,,0.0,,4.134,54.985002,0.0,54.985002,77.483001,
