Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2001,6093.2,4277.4,364.6,3912.8,534.8,,,,,,,272.9,,,,,,5085.1,409.4,,,12.9,,,585.8,475.3,475.3,0.0,,110.5,1008.1,,312.7,312.7,,,269.0,,,,,,2241.7,,,2241.7,2823.4,597.8,,,,,497.1,,,,497.1,1094.9,3918.3,,2103.1,,,,,71.8,2174.9,,2174.9,6093.2,
12/31/2001,6276.6,4478.2,406.4,4071.8,621.4,,0.0,0.0,0.0,0.0,0.0,200.3,,,,,,5299.9,402.3,742.1,-339.8,10.8,,,563.6,467.4,,,,96.2,976.7,,331.0,331.0,,,310.7,,,,,,2320.9,,,2320.9,2962.6,818.0,,,,,436.0,,,,436.0,1254.0,4216.6,0.0,1961.9,,,0.0,,98.1,2060.0,0.0,2060.0,6276.6,
03/31/2002,6403.0,4417.2,456.3,3960.9,610.6,,,,,,,390.4,,,,,,5418.2,406.6,,,,,,578.2,469.0,342.8,126.2,,109.2,984.8,,245.8,245.8,,,360.2,,,,,,2402.0,,,2402.0,3008.0,818.7,,,,,450.3,,,,450.3,1269.0,4277.0,,1962.0,,,,155.5,8.5,2126.0,,2126.0,6403.0,
06/30/2002,6641.4,4665.7,665.7,4000.0,596.1,,,,,,,408.4,,,,,,5670.2,396.5,,,,,,574.7,471.9,350.0,121.9,,102.8,971.2,,247.3,247.3,,,304.7,,,,,,2540.1,,,2540.1,3092.1,819.3,,,,,499.3,,,,499.3,1318.6,4410.7,,1958.2,,,,234.8,37.7,2230.7,,2230.7,6641.4,
09/30/2002,12235.2,6600.3,912.0,5688.3,835.7,,,,,,,357.6,,,,,,7793.6,536.7,,,,,,3904.9,3788.7,2502.3,1286.4,,116.2,4441.6,,413.5,413.5,,,371.2,,,,,,3671.0,,,3671.0,4455.7,1658.5,,,,,795.7,,,,795.7,2454.2,6909.9,,4836.5,,,,372.6,116.2,5325.3,,5325.3,12235.2,
12/31/2002,12293.1,6643.0,694.9,5948.1,892.7,,0.0,0.0,0.0,0.0,0.0,340.8,,,,,,7876.5,537.4,1069.2,-531.8,,,,3879.2,3759.5,2484.9,1274.6,,119.7,4416.6,,471.8,471.8,,,357.9,,,,,,3619.2,,,3619.2,4448.9,1659.4,,,,,822.5,,,,822.5,2481.9,6930.8,0.0,4763.6,,,0.0,481.3,117.4,5362.3,0.0,5362.3,12293.1,
03/31/2003,12506.9,6858.0,463.9,6394.1,903.8,,,,,,,361.3,,,,,,8123.1,519.9,,,,,,3863.9,3746.7,2483.9,1262.8,,117.2,4383.8,,356.5,356.5,,,383.9,,,,,,3871.3,,,3871.3,4611.7,1660.3,,,,,758.9,,,,758.9,2419.2,7030.9,,4723.2,,,,636.1,116.7,5476.0,,5476.0,12506.9,
06/30/2003,12908.9,7149.9,475.9,6674.0,997.7,,,,,,,393.9,,,,,,8541.5,524.5,,,,,,3842.9,3713.8,2463.0,1250.8,,129.1,4367.4,,370.9,370.9,,,376.4,,,,,,3942.3,,,3942.3,4689.6,1661.1,,,,,823.9,,,,823.9,2485.0,7174.6,,4733.6,,,,804.7,196.0,5734.3,,5734.3,12908.9,
09/30/2003,13205.2,7177.4,670.1,6507.3,1065.0,,,,,,,392.0,,,,,,8634.4,520.3,,,,,,4050.5,3697.2,2458.1,1239.1,,353.3,4570.8,,435.0,435.0,,,447.3,,,,,,3830.1,,,3830.1,4712.4,1662.0,,,,,977.8,,,,977.8,2639.8,7352.2,,4722.9,,,,982.2,147.9,5853.0,,5853.0,13205.2,
12/31/2003,13414.6,7313.5,464.5,6849.0,690.3,,0.0,0.0,0.0,0.0,0.0,771.3,,,,,,8775.1,510.5,1120.4,-609.9,164.7,,,3964.3,3677.1,2450.1,1227.0,,287.2,4639.5,,900.5,900.5,,,0.4,,,,,,3874.3,,,3874.3,4775.2,1662.8,,,,,976.7,,,,976.7,2639.5,7414.7,0.0,4710.1,,,0.0,1154.3,135.5,5999.9,0.0,5999.9,13414.6,
