Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,227.705002,84.956001,88.239998,,-4.856,11.404,,-36.400002,7.866,19.371,,-22.757,,79.880997,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,227.705002,
06/30/1990,-36.012001,60.448002,92.978996,,-4.246,-1.507,,25.083,-44.481998,-59.595001,,-8.302,,-96.389999,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1990,194.440994,112.111,100.638,,-4.533,-2.951,,-11.85,18.867001,-10.988,,-12.436,,5.583,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1990,204.177002,56.134998,108.653,,-5.479,-1.147,,10.405,-3.192,5.241,,-4.277,,37.838001,,0.0,,,,,,,,,,,,,,,,,,,,
03/31/1991,275.372986,137.115005,95.035004,,-4.076,-5.855,,-71.037003,14.756,-4.242,,7.061,,106.615997,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1991,-3.528,73.315002,91.217003,,-4.401,7.51,,-24.17,-29.851,-44.928001,,5.895,,-78.114998,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1991,196.186005,96.391998,101.108002,,-3.001,-4.257,,-5.272,15.633,1.574,,-8.027,,2.036,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1991,255.009995,4.978,149.878006,,-2.931,-30.285999,,-13.92,8.7,104.267998,,-7.795,,42.118,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1992,210.307007,82.135002,103.995003,,-3.814,-2.921,,4.324,-47.521,-9.655,,2.125,,81.639,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1992,-27.037001,51.647999,102.189003,,-3.453,-2.316,,15.8,18.212999,35.402,,-2.018,,-242.501999,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
