Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/03/2015,2161.282,4.979,4.979,0,696.727,696.727,0,0,0,0,0,0,92.665,0.0,92.665,794.371,436.732,1133.528,-696.796,0,930.179,871.248,802.582,68.666,58.931,1366.911,,240.09,130.551,,109.539,21.351,0,21.351,21.351,,440.606,42.927,0.0,63.689,266.584,702.047,129.933,0.0,129.933,129.933,144.646,0.0,24.292,10.621,13.671,13.738,274.579,976.626,0,0.0,0.0,0.0,0.0,0.0,1067.087,1067.087,27.961,1095.048,2071.674,
07/03/2015,1939.442,7.105,7.105,0,499.574,499.574,0,0,0,0,0,0,85.838,,85.838,592.517,436.006,1153.567,-717.561,0,910.919,855.45,791.865,63.585,55.469,1346.925,,206.338,117.74,,88.598,20.21,0,20.21,20.21,,488.586,,,92.481,259.353,715.134,125.633,0.0,125.633,125.633,190.827,,,,,98.346,316.46,1031.594,0,0.0,0.0,0.0,0.0,,884.591,884.591,23.257,907.848,1939.442,
10/02/2015,1913.456,9.75,9.75,0,471.986,471.986,0,0,0,0,0,0,77.358,,77.358,559.094,437.909,1161.568,-723.659,0,916.453,859.128,791.779,67.349,57.325,1354.362,,228.737,139.751,,88.986,19.212,0,19.212,19.212,,458.888,,,92.481,250.296,706.837,132.195,0.0,132.195,132.195,186.41,,,,,93.929,318.605,1025.442,0,,,,0.0,,859.919,859.919,28.095,888.014,1913.456,
01/01/2016,4937.477,204.469,204.469,0,740.511,740.511,0,0,0,0,0,0,133.023,,133.023,1078.003,501.174,1293.713,-792.539,0,3358.3,3286.025,2344.457,941.568,72.275,3859.474,,378.079,144.124,16.252,217.703,107.871,0,27.871,27.871,80.0,468.522,,,194.931,328.716,954.472,2983.834,2871.906,111.928,111.928,770.939,,,,,576.008,3754.773,4709.245,0,161.108,0.162,160.946,0.0,15.215,29.877,206.2,22.032,228.232,4937.477,
04/01/2016,4846.0,130.0,130.0,0,751.0,751.0,0,0,0,0,0,0,123.0,0.0,123.0,1004.0,530.0,1303.0,-773.0,0,3312.0,3243.0,2332.0,911.0,69.0,3842.0,,388.0,170.0,18.0,200.0,170.0,0,42.0,42.0,128.0,528.0,27.385,0.0,163.0,388.0,1086.0,2765.0,2656.0,109.0,109.0,905.0,0.0,645.799,628.912,16.887,68.816,3670.0,4756.0,0,117.0,0.162926,116.837074,0.0,-74.0,21.0,64.0,26.0,90.0,4846.0,
07/01/2016,4784.0,133.0,133.0,0,743.0,743.0,0,0,0,0,0,0,110.0,,110.0,986.0,514.0,1293.0,-779.0,0,3284.0,3215.0,2332.0,883.0,69.0,3798.0,,390.0,185.0,18.0,187.0,114.0,0,48.0,48.0,66.0,490.0,,,156.0,337.0,994.0,2719.0,2623.0,96.0,96.0,921.0,,,,,765.0,3640.0,4634.0,0,133.0,0.163604,132.836396,,-25.0,13.0,121.0,29.0,150.0,4784.0,
09/30/2016,4769.0,68.0,68.0,0,809.0,809.0,0,0,0,0,0,0,114.0,,114.0,991.0,524.0,1321.0,-797.0,0,3254.0,3186.0,2330.0,856.0,68.0,3778.0,,365.0,171.0,18.0,176.0,126.0,0,53.0,53.0,73.0,532.0,,,153.0,367.0,1023.0,2663.0,2568.0,95.0,95.0,879.0,,,,,726.0,3542.0,4565.0,0,128.0,0.163745,127.836255,,34.0,14.0,176.0,28.0,204.0,4769.0,
12/30/2016,4886.0,162.0,162.0,0,742.0,742.0,0,0,0,0,0,0,109.0,,109.0,1013.0,586.0,1380.0,-794.0,0,3287.0,3201.0,2335.0,866.0,86.0,3873.0,,397.0,182.0,18.0,197.0,102.0,0,50.0,50.0,52.0,523.0,,,213.0,357.0,1022.0,2697.0,2550.0,147.0,147.0,837.0,,,,,624.0,3534.0,4556.0,0,129.0,0.163333,128.836667,,144.0,31.0,304.0,26.0,330.0,4886.0,
03/31/2017,4888.0,126.0,126.0,0,748.0,748.0,0,0,0,0,0,0,126.0,0.0,126.0,1000.0,610.0,1304.0,-694.0,0,3278.0,3191.0,2335.0,856.0,87.0,3888.0,,389.0,187.0,21.0,181.0,116.0,0,44.0,44.0,72.0,487.0,27.0,0.0,272.0,334.0,992.0,2683.0,2511.0,172.0,172.0,854.0,0.0,460.0,451.0,9.0,95.0,3537.0,4529.0,0,134.0,0.163216,133.836784,0.0,165.0,31.0,330.0,29.0,359.0,4888.0,
06/30/2017,4987.0,194.0,194.0,0,814.0,814.0,0,0,0,0,0,0,102.0,,102.0,1110.0,623.0,1313.0,-690.0,0,3254.0,3171.0,2335.0,836.0,83.0,3877.0,,358.0,157.0,18.0,183.0,129.0,0,45.0,45.0,84.0,525.0,,,268.0,364.0,1012.0,2737.0,2549.0,188.0,188.0,827.0,,,,,559.0,3564.0,4576.0,0,127.0,0.163881,126.836119,,225.0,27.0,379.0,32.0,411.0,4987.0,
