Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,7852,,,,,,,,,,,,,,,,,,,,,,,,,,461,,,461.0,461.0,,1463.48996,0.315,0.315,0.315,1463.48996,0.315,0.315,0.315,
12/31/1988,8308,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,500.0,500.0,,1428.570007,0.35,0.35,0.35,1428.570007,0.35,0.35,0.35,
03/31/1989,8674,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,736.0,736.0,,1429.128021,0.515,0.515,0.515,1429.128021,0.515,0.515,0.515,
06/30/1989,9278,,,,,,,,,,,,,,,,,,,,,,,,,,714,,,714.0,714.0,,1428.0,0.5,0.5,0.5,1428.0,0.5,0.5,0.5,
09/30/1989,8589,,,,,,,,,,,,,,,,,,,,,,,,,,547,,,547.0,547.0,,1384.800018,0.395,0.395,0.395,1384.800018,0.395,0.395,0.395,
12/31/1989,8558,,,,,,,,,,,,,,,,,,,,,,,,,,483,,,483.0,483.0,,1360.559967,0.355,0.355,0.355,1360.559967,0.355,0.355,0.355,
03/31/1990,9404,,-7254.0,,2150.0,,-909.0,,,,1241.0,-62.0,,193.0,,,,-131.0,1179.0,-564.0,615.0,0.0,,,615.0,,615,-2.5,,612.5,612.5,,1365.202026,0.45,0.45,,1365.202026,0.45,0.45,0.45,
06/30/1990,9646,,-7312.0,,2334.0,,-1047.0,,,,1287.0,-95.0,,220.0,,,,-125.0,1192.0,-498.0,694.0,0.0,,,694.0,,694,-2.5,,691.5,691.5,,1358.98999,0.51,0.51,,1358.98999,0.51,0.51,0.51,
09/30/1990,9933,,-7864.0,,2069.0,,-1027.0,,,,1042.0,-32.0,,204.0,,,,-172.0,1010.0,-477.0,533.0,0.0,,,533.0,,533,-2.5,,530.5,530.5,,1355.686035,0.395,0.395,,1355.686035,0.395,0.395,0.395,
12/31/1990,10606,,-3140.0,,7466.0,,-6621.0,,,,845.0,-72.0,,202.0,,-46.0,,-84.0,773.0,-305.0,468.0,0.0,,,468.0,,468,-2.5,,465.5,465.5,,1341.949952,0.345,0.345,0.345,1341.949952,0.345,0.345,0.345,
03/31/1991,9679,,-7481.0,,2198.0,,-1019.0,,,,1179.0,-21.0,,189.0,,,,-168.0,1158.0,-568.0,590.0,0.0,,,590.0,,590,-2.5,,587.5,587.5,,1340.328003,0.44,0.44,,1340.328003,0.44,0.44,0.44,
06/30/1991,9825,,-7681.0,,2144.0,,-1085.0,,,,1059.0,16.0,,190.0,,,,-206.0,1075.0,-526.0,549.0,0.0,,,549.0,,549,-2.5,,546.5,546.5,,1365.202026,0.405,0.405,,1365.202026,0.405,0.405,0.405,
09/30/1991,9426,,-7529.0,,1897.0,,-986.0,,,,911.0,-19.0,,190.0,,,,-171.0,892.0,-388.0,504.0,0.0,,,504.0,,504,-2.5,,501.5,501.5,,1341.187988,0.375,0.375,,1341.187988,0.375,0.375,0.375,
12/31/1991,9101,,-2477.0,,6624.0,,-6594.0,,,,30.0,-337.0,,202.0,,-19.0,,154.0,-307.0,67.0,-240.0,0.0,,,-240.0,0.0,-240,-2.5,0.0,-242.5,-242.5,,1342.379028,-0.18,-0.18,-0.18,1342.379028,-0.18,-0.18,-0.18,
03/31/1992,9160,,-7419.0,,1741.0,,-974.0,,,,767.0,10.0,,151.0,,0.0,,-161.0,777.0,-338.0,439.0,4833.0,,,-4394.0,0.0,-4394,-2.5,,-4396.5,-4396.5,,1343.859985,-3.27,0.32,,1343.859985,-3.27,0.32,0.32,
