Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Gross Profit,Operating Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,827.575989,555.682007,271.894012,0.0,0.0,-294.424988,166.024002,166.024002,0.0,128.401001,533.151001,-253.613007,44.209,117.112,92.292,279.537994,-92.693,0.0,,100.027,100.027,0.0,0.0,-7.334,186.844994,-70.905998,115.939003,0.0,115.938996,0.0,115.939003,-12.947,,102.992003,102.992003,121.667,0.847,0.847,0.846,121.667,0.847,0.847,0.847,
06/30/1998,569.379028,398.376007,164.617004,0.0,6.386,-154.951004,91.762001,91.762001,0.0,63.188999,414.428024,-289.692993,43.990002,97.767998,147.934998,124.735001,-60.409996,0.0,,76.824997,76.824997,0.0,0.0,-16.415001,64.325005,-26.507,37.818001,0.0,37.818005,-0.568,37.25,-11.216,,26.034,26.034,134.166,0.19,0.19,0.19,134.166,0.19,0.19,0.19,
09/30/1998,,,,,,,,,,,,,59.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1999,961.107971,174.858002,744.817993,0.0,41.431999,-324.269012,0.0,0.0,0.0,324.269012,636.838959,-394.613007,58.185001,103.892998,232.535004,242.225998,-18.622002,0.0,,35.886002,35.886002,0.0,0.0,-17.264,223.603996,-80.079002,143.524994,0.0,143.524994,-0.304,143.220993,-8.689,,134.531993,134.531993,142.981003,0.94,0.94,0.941,142.981003,0.94,0.94,0.94,
06/30/1999,,,,,,,,,,,,,59.382999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1999,538.468994,241.259003,250.653,0.0,46.556999,-62.560001,0.0,0.0,0.0,62.560001,475.908993,-439.126007,63.130001,77.317001,298.678986,36.783001,-19.191999,0.0,,26.660999,26.660999,0.0,0.0,-7.469,17.591002,-5.54,12.051,0.0,12.051002,-3.035,9.016,-8.688,,0.328,0.328,136.505997,0.0,0.0,0.0,136.505997,0.0,0.0,0.0,
12/31/1999,918.463013,256.052002,447.626007,0.0,214.785004,-291.050995,17.252001,17.252001,,273.803009,627.412018,-487.880005,72.741997,107.799004,307.338989,139.531998,-12.242001,0.0,,29.691,29.691,0.0,0.0,-17.448999,127.289997,-37.990002,89.300003,0.0,89.299995,-5.915,83.385002,-8.685,,74.700002,74.700002,133.865997,0.56,0.56,0.56,133.865997,0.56,0.56,0.56,
03/31/2000,1316.613037,334.403992,804.703003,0.0,177.505997,-480.497986,68.492996,68.492996,0.0,412.005005,836.115051,-539.609009,69.581001,115.422997,354.605011,296.506012,-29.161,0.0,,44.125,44.125,0.0,0.0,-14.964,267.345012,-92.071999,175.272995,0.0,175.273013,-3.029,172.244003,-8.691,,163.553003,163.553003,133.873001,1.22,1.22,1.22,134.117004,1.22,1.22,1.22,
06/30/2000,947.588013,388.695007,419.381989,0.0,139.511002,-270.149994,72.772003,72.772003,0.0,197.378006,677.438019,-543.914001,73.809998,91.117996,378.985992,133.524002,-29.467001,0.0,,42.256001,42.256001,0.0,0.0,-12.789,104.057001,-45.924999,58.132,0.0,58.132002,-4.766,53.366001,-6.286,,47.080001,47.080001,133.889008,0.35,0.35,0.35,134.481995,0.35,0.35,0.35,
09/30/2000,947.137024,374.516998,355.100006,0.0,217.520004,-301.501007,161.085999,0.0,161.085999,140.414993,645.636017,-553.557983,72.973,91.469002,389.115997,92.078003,-38.634998,0.0,,42.780998,42.780998,0.0,0.0,-4.146,53.443005,-32.861,20.582001,0.0,20.582005,-5.952,14.63,-1.476,0.0,13.154,13.154,134.335007,0.1,0.1,0.1,135.669006,0.1,0.1,0.1,
12/31/2000,1910.152,347.0951,927.2239,0.0,635.833,-817.372,319.635,319.635,,658.823,1092.78,-883.025,118.742,126.308,637.975,209.755,-91.175,0.0,6.05,74.188,74.188,0.0,0.0,23.037,118.58,-45.418,73.16199,0.0,73.162,-12.595,60.568,-3.845001,,56.722999,56.722999,135.333,0.44,0.44,0.74,135.333,0.44,0.44,0.74,
03/31/2001,,,,,,,,,,,,,131.164001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2001,1339.302002,357.903992,620.684998,0.0,360.713013,-494.705994,146.356995,146.356995,,348.348999,844.596008,-756.216003,121.578003,100.834999,533.802979,88.379997,-83.214002,0.0,,91.927002,91.927002,0.0,0.0,-8.713,5.165996,-3.714,1.452,-3.892,5.343996,-11.869,-6.525,-1.476,0.0,-8.001,-8.001,137.916,-0.06,-0.09,0.16,139.360992,-0.06,-0.09,0.16,
09/30/2001,,,,,,,,,,,,,135.936996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,1509.687988,331.923004,892.518982,0.0,285.246002,-555.84198,84.32,84.32,,471.522003,953.846008,-867.820007,182.528,111.190002,574.10199,86.026001,26.565994,0.0,,89.510002,89.510002,,,-116.075996,112.591995,-49.924,62.667999,26.75,35.917995,0.0,35.917999,-1.476,,34.441999,34.441999,139.285004,0.25,0.44,0.71,140.121002,0.25,0.44,0.71,
03/31/2002,,,,,,,,,,,,,125.997002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2002,,,,,,,,,,,,,127.462997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2002,,,,,,,,,,,,,127.301003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2003,2512.524902,397.700012,1832.70105,0.0,282.123993,-1293.687012,97.522003,97.522003,,1196.165039,1218.837891,-767.872986,144.970993,124.712997,498.188995,450.964996,-46.987003,0.0,,68.939003,68.939003,0.0,0.0,-21.952,403.977993,-142.832993,261.144989,-0.174,261.319,-18.054001,243.264999,-1.461,,241.803999,241.803999,156.886002,1.54,1.54,1.46,158.044998,1.53,1.53,1.45,
06/30/2003,1408.151978,392.345001,732.036011,0.0,283.770996,-526.776001,102.475998,102.475998,,424.299988,881.375977,-747.177002,142.289993,95.250999,509.635986,134.199005,-111.658997,0.0,,79.197998,79.197998,0.0,0.0,32.460999,22.540009,-15.478,7.062,0.0,7.062009,-13.0,-5.938,-1.461,0.0,-7.399,-7.399,157.942993,-0.05,-0.05,-0.05,158.757004,-0.05,-0.05,-0.05,
09/30/2003,1131.813965,427.661987,405.777008,0.0,298.375,-305.765015,132.649002,132.649002,,173.115997,826.04895,-734.827026,135.656006,91.790001,507.381012,91.222,-51.339998,0.0,,78.365997,78.365997,0.0,0.0,-27.025999,39.882002,-7.403,32.479,0.0,32.479002,-19.893999,12.585,-1.461,,11.124,11.124,158.783005,0.07,0.07,0.02,159.539001,0.07,0.07,0.02,
12/31/2003,1862.670044,370.438995,1190.758057,0.0,301.472992,-783.507019,81.986,81.986,,701.520996,1079.163025,-748.22998,151.156998,106.482002,490.591003,330.933014,-31.295002,0.0,,81.192001,81.192001,0.0,0.0,-49.896999,299.638012,-111.598999,188.039001,37.625,150.414013,-13.599,136.815002,-1.461,,135.354002,135.354002,159.412994,0.85,1.08,0.98,160.046997,0.85,1.08,0.98,
03/31/2004,2510.600098,359.100006,1927.800049,0.0,223.699997,-1328.199951,101.599998,101.599998,,1226.599976,1182.400146,-700.5,171.199997,122.300003,407.0,481.899994,-75.799998,0.0,,84.099998,84.099998,0.0,0.0,-8.3,406.099996,-137.699997,268.399994,0.4,267.999999,-20.299999,247.699997,-1.5,0.0,246.199997,246.199997,159.891998,1.54,1.54,1.54,161.164001,1.53,1.53,1.53,
06/30/2004,1365.77002,433.763,795.289001,0.0,136.718994,-493.47699,130.347,130.347,,363.130005,872.29303,-757.39801,189.403,90.484001,477.510986,114.896004,112.217003,0.0,,88.474998,88.474998,0.0,0.0,-200.692001,227.113007,-79.714996,147.397995,0.0,147.39801,-16.660999,130.737,-1.459,,129.278,129.278,160.167007,0.81,0.81,0.28,161.432999,0.8,0.8,0.27,
09/30/2004,975.5,503.899994,419.200012,0.0,52.400002,-362.600006,176.0,176.0,,186.600006,612.899994,-541.5,107.199997,89.5,344.799988,71.400002,-113.900003,0.0,,88.300003,88.300003,0.0,0.0,25.6,-42.500002,13.7,-28.799999,87.0,-115.800002,0.0,-115.800003,-1.3,0.0,-117.100003,-117.100003,160.356995,-0.73,-0.19,0.01,161.345993,-0.73,-0.19,0.01,
12/31/2004,1886.524048,441.881989,1383.942017,0.0,60.700001,-1020.486023,132.315002,132.315002,,888.171021,866.038025,-624.841003,98.819,102.069,423.953003,241.197006,146.30899,0.0,,70.496002,70.496002,0.0,0.0,-216.804993,387.505997,-122.278,265.227997,64.433998,200.793999,0.216,201.009995,-1.332,0.0,199.677994,199.677994,160.759003,1.24,1.64,0.89,161.962006,1.23,1.63,0.88,
