Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,91.299995,,,,,,,,,,,,,,,,,,,,,,,,,,,13.299999,,,13.299999,13.299999,,0.0,0.14,0.14,,0.0,0.14,0.14,0.14,
03/31/1990,55.799999,,,-44.099998,,11.700001,,-3.3,,,,8.4,-0.8,,1.6,,,,-0.8,7.6,-2.1,5.5,,,,5.5,,5.5,,,5.5,5.5,,94.400002,0.05875,0.05875,,94.400002,0.05875,0.05875,0.05875,
06/30/1990,86.900002,,,-62.700001,,24.200001,,-4.6,,,,19.6,-0.2,,1.5,,,,-1.3,19.4,-5.3,14.1,,,,14.1,,14.1,,,14.1,14.1,,94.400002,0.15125,0.15125,,94.400002,0.15125,0.15125,0.15125,
09/30/1990,89.599998,,,-84.699997,,4.900002,,-4.0,,,,0.9,4.9,,1.6,,,,-6.5,5.8,-1.6,4.2,,,,4.2,,4.2,,,4.2,4.2,,94.400002,0.045,0.045,,94.400002,0.045,0.045,0.045,
12/31/1990,77.599998,,,-73.0,,4.599998,,-3.3,,,,1.3,72.500002,,1.4,,,,-73.900002,73.800002,-23.799999,50.0,,,,50.000002,,50.0,,,50.0,50.0,,93.447357,0.53375,0.53375,,93.447357,0.53375,0.53375,0.53375,
03/31/1991,57.0,,,-51.599998,,5.400002,,-5.0,,,,0.4,24.9,,1.1,,,,-26.0,25.3,-7.0,18.299999,,,,18.3,,18.299999,,,18.299999,18.299999,,94.400002,0.195,0.195,,94.400002,0.195,0.195,0.195,
06/30/1991,82.699997,,,-64.300003,,18.399994,,-5.2,,,,13.2,0.3,,1.1,,,,-1.4,13.5,-2.3,11.2,,,,11.2,,11.2,,,11.2,11.2,,95.199997,0.11875,0.11875,,95.199997,0.11875,0.11875,0.11875,
09/30/1991,96.5,,,-75.800003,,20.699997,,-5.5,,,,15.2,1.8,,0.8,,,,-2.6,17.0,-4.1,12.9,,,,12.9,,12.9,,,12.9,12.9,,95.199997,0.135,0.135,,95.199997,0.135,0.135,0.135,
12/31/1991,81.199997,,,-63.599998,,17.599999,,-4.0,,,,13.6,0.7,,0.8,,,,-1.5,14.3,-2.9,11.4,,,,11.4,,11.4,,,11.4,11.4,,95.193088,0.12,0.12,0.12,95.193088,0.12,0.12,0.12,
03/31/1992,50.0,,,-40.5,,9.5,,-4.4,,,,5.1,1.9,,0.5,,0.0,,-2.4,7.0,-1.9,5.1,38.700001,,,-33.600001,0.0,-33.599998,0.0,,-33.599998,-33.599998,,96.0,-0.35,0.0525,,96.0,-0.35,0.0525,0.0525,
