Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/01/1990,14.446999,,-7.052,,7.394999,,-6.673,,,,,,0.722,-0.566,,0.75,,0.0,-0.184,0.156,-0.003,0.153,0.0,,,0.153,0.0,0.153,0.0,,0.153,0.153,,69.16,0.0025,0.0025,,69.16,0.0025,0.0025,0.0025,
07/01/1990,15.421999,,-7.833,,7.588999,,-6.397,,,,,,1.192,-0.554,,0.74,,0.0,-0.186,0.638,-0.013,0.625,0.0,,,0.625,0.0,0.625,0.0,,0.625,0.625,,68.807999,0.00875,0.00875,,68.807999,0.00875,0.00875,0.00875,
09/30/1990,15.645999,,-7.272,,8.373999,,-6.943,,,,,,1.431,-0.611,,0.774,,0.0,-0.163,0.82,-0.017,0.803,0.0,,,0.803,0.0,0.803,0.0,,0.803,0.803,,68.743996,0.01125,0.01125,,68.743996,0.01125,0.01125,0.01125,
12/29/1990,15.852,,-7.098,,8.754,,-6.929,,,,,,1.825,-0.593,,0.8,,0.0,-0.207,1.232,-0.012,1.22,0.0,,,1.22,0.0,1.22,0.0,,1.22,1.22,,68.695992,0.0175,0.0175,0.0175,68.695992,0.0175,0.0175,0.0175,
03/31/1991,17.323,,-8.14,,9.183,,-6.919,,,,,,2.264,-0.527,,0.754,,0.0,-0.227,1.737,-0.034,1.703,0.0,,,1.703,0.0,1.703,-0.015,,1.688,1.688,,68.816002,0.025,0.025,,68.816002,0.025,0.025,0.025,
06/30/1991,21.156,,-9.853,,11.303,,-7.615,,,,,,3.688,-0.362,,0.738,,0.0,-0.376,3.326,-0.067,3.259,0.0,,,3.259,0.0,3.259,-0.015,,3.244,3.244,,80.463997,0.04,0.04,,80.463997,0.04,0.04,0.04,
09/29/1991,23.319,,-10.555,,12.764,,-8.579,,,,,,4.185,-0.066,,0.673,,0.0,-0.607,4.119,-0.083,4.036,0.0,,,4.036,0.0,4.036,-0.015,,4.021,4.021,,85.127998,0.0475,0.0475,,85.127998,0.0475,0.0475,0.0475,
12/29/1991,24.135,,-10.618,,13.517,,-9.042,,,,,,4.475,-0.061,,0.631,,0.0,-0.57,4.414,-0.36,4.054,0.0,,,4.054,0.0,4.054,-0.016,,4.038,4.038,,80.636,0.04625,0.04625,0.04625,80.636,0.04625,0.04625,0.04625,
03/29/1992,24.229,,-10.911,,13.318,,-8.749,,,,,,4.569,-0.067,,0.539,,0.0,-0.472,4.502,-0.54,3.962,0.0,,,3.962,0.0,3.962,-0.015,,3.947,3.947,,86.295998,0.04625,0.04625,,86.295998,0.04625,0.04625,0.04625,
06/28/1992,24.253,,-10.833,,13.42,,-8.761,,,,,,4.659,-0.039,,0.503,,0.0,-0.464,4.62,-0.924,3.696,0.0,,,3.696,0.0,3.696,-0.015,,3.681,3.681,,86.552002,0.0425,0.0425,,86.552002,0.0425,0.0425,0.0425,
09/27/1992,21.601999,,-9.962,,11.639999,,-9.535,,,,,,2.105,-0.063,,0.48,,0.0,-0.417,2.042,0.0,2.042,0.0,,,2.042,0.0,2.042,-0.015,,2.027,2.027,,87.127998,0.02375,0.02375,,87.127998,0.02375,0.02375,0.02375,
12/31/1992,22.194,,-10.414,,11.78,,-9.578,,,,,,2.202,-0.058,,0.523,,0.0,-0.465,2.144,0.0,2.144,0.0,,,2.144,0.0,2.144,-0.015,,2.129,2.129,,84.672,0.02375,0.02375,0.02375,84.672,0.02375,0.02375,0.02375,
04/03/1993,21.726,,-10.888,,10.838,,-10.091,,,,,,0.747,-0.054,,0.455,,0.0,-0.401,0.693,-0.062,0.631,0.0,,,0.631,0.0,0.631,0.0,,0.631,0.631,,88.264,0.0075,0.0075,,88.264,0.0075,0.0075,0.0075,
07/04/1993,21.555,,-10.837,,10.718,,-10.102,,,,,,0.616,-0.06,,0.447,,0.0,-0.387,0.556,-0.05,0.506,0.0,,,0.506,0.0,0.506,0.0,,0.506,0.506,,82.839996,0.00625,0.00625,,82.839996,0.00625,0.00625,0.00625,
10/03/1993,20.993,,-13.408,,7.585,,-9.849,,,,,,-2.264,-12.821,,0.442,,0.0,12.379,-15.085,0.364,-14.721,0.0,,,-14.721,0.0,-14.721,0.0,,-14.721,-14.721,,78.456001,-0.18125,-0.18125,,78.456001,-0.18125,-0.18125,-0.18125,
