Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,728.890991,40.598999,40.598999,0.0,152.195999,,,104.473999,,,,,25.893999,,,,323.162994,238.218994,,,0.0,167.509003,,,,,167.509003,405.727997,,29.888,29.888,,,,54.754002,,,,,,151.941998,,,,151.941998,236.584,365.368988,,,,,120.449997,,,120.449997,485.818985,722.402985,0.0,,,,,,2.982,2.982,3.506,6.488,728.890985,
06/30/1997,786.835,30.975,30.975,,158.577,158.577,,109.398,42.309,33.078,34.168,-0.157,29.244,,,,328.194,250.381,,,,208.26,181.284,181.284,0.0,,26.976,458.641,,28.844,28.844,,,,70.476,,,,,,153.364,,,,153.364,252.684,440.605,,,,,121.448,,,121.448,562.053,814.737,,188.109,,,,-195.333,-24.207,-31.431,3.529,-27.902,786.835,
09/30/1997,768.177,33.158,33.158,,148.826,148.826,,106.129,41.843,33.206,31.204,-0.124,32.931,,,,321.044,233.48,,,,213.653,181.902,181.902,0.0,,31.751,447.133,,27.226,27.226,,,,56.559,,,,,,171.657,,,,171.657,255.442,429.033,,,,,116.308,,,116.308,545.341,800.783,,188.011,,,,-195.617,-28.655,-36.261,3.655,-32.606,768.177,
12/31/1997,749.312988,23.566,23.566,0.0,153.619003,,,101.046997,42.435001,29.746,28.865999,,31.65,,,,309.881989,235.261993,266.657013,-31.395,0.0,204.169006,183.317993,,,,20.851013,439.431,,39.341999,39.341999,,,,56.43,,,,,,167.811008,,,,167.811008,263.583008,340.334015,,,,,116.447998,,,116.447998,456.782013,720.365021,0.0,285.013,,,,,-259.614014,25.398987,3.549,28.947987,749.313008,
03/31/1998,735.138,21.303,21.303,,152.396,152.396,,101.02,39.76,32.602,28.763,-0.105,32.23,,,,306.949,224.23,,,,203.959,182.323,182.323,0.0,,21.636,428.189,,32.166,32.166,,,,54.952,,,,,,175.977,,,,175.977,263.095,319.207,,,,,115.323,,,115.323,434.53,697.625,,285.013,,,,-217.314,-33.773,33.926,3.587,37.513,735.138,
06/30/1998,731.844,14.534,14.534,,161.505,161.505,,100.895,39.415,33.089,28.439,-0.048,29.418,,,,306.352,220.574,,,,204.918,182.751,182.751,0.0,,22.167,425.492,,33.607,33.607,,,,56.41,,,,,,167.973,,,,167.973,257.99,303.235,,,,,119.845,,,119.845,423.08,681.07,,285.013,,,,-205.917,-31.825,47.271,3.503,50.774,731.844,
09/30/1998,764.221,15.604,15.604,,164.923,164.923,,109.97,42.726,34.94,32.357,-0.053,30.718,,,,321.215,228.796,,,,214.21,190.997,190.997,0.0,,23.213,443.006,,37.187,37.187,,,,58.201,,,,,,173.928,,,,173.928,269.316,320.193,,,,,128.316,,,128.316,448.509,717.825,,285.171,,,,-203.387,-38.88,42.904,3.492,46.396,764.221,
12/31/1998,820.440979,21.191,21.191,0.0,178.524994,,,112.058998,48.717999,32.416,30.955999,-0.031,46.455002,,,,358.230011,230.264008,261.658997,-31.395,0.0,231.947006,213.772003,,,,18.175003,462.211014,,58.740002,58.740002,,,,46.431999,,,,,,188.256985,,,,188.256985,293.428986,340.246002,,,,,128.766998,,,128.766998,469.013,762.441986,0.0,285.545013,,,,,-231.710007,53.835007,4.164,57.999007,820.440993,
03/31/1999,765.417,16.293,16.293,,174.878,174.878,,111.388,45.141,34.466,31.912,-0.131,28.062,,,,330.621,209.974,,,,224.822,206.167,206.167,0.0,,18.655,434.796,,47.403,47.403,,,,46.68,,,,,,169.047,,,,169.047,263.13,310.589,,,,,123.619,,,123.619,434.208,697.338,,285.545,,,,-178.462,-43.304,63.779,4.3,68.079,765.417,
06/30/1999,806.892,13.403,13.403,,189.12,189.12,,121.711,49.817,35.273,36.851,-0.23,43.351,,,,367.585,206.339,,,,232.968,211.803,211.803,0.0,,21.165,439.307,,54.15,54.15,,,,48.051,,,,,,192.242,,,,192.242,294.443,303.435,,,,,124.985,,,124.985,428.42,722.863,,286.045,,,,-164.995,-41.425,79.625,4.404,84.029,806.892,
