Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/31/1997,511.34201,211.414993,211.414993,0.0,35.688999,,,77.545998,,,,,63.566002,,,,388.216003,122.011002,,,0.0,1.115,,,,1.115,123.126002,,38.673,38.673,,,,72.877998,,,,,,6.274998,,,,6.274998,117.825996,0.0,,,,,2.922,,,2.922,2.922,120.747996,0.0,,,,0.0,,390.593994,390.593994,0.0,390.593994,511.34199,
08/31/1997,576.146973,130.046005,130.046005,0.0,45.917,,,128.757996,,,,,105.533997,,,,410.255005,162.772995,167.470993,-4.698,0.0,3.119,,,,3.119,165.891995,,53.511002,53.511002,,,,123.911003,,,,,,6.767998,,,,6.767998,184.190002,0.0,,,,,3.109,,,3.109,3.109,187.299002,0.0,,,,0.0,,388.847992,388.847992,0.0,388.847992,576.146994,
11/30/1997,550.950012,11.26,11.26,0.0,52.062,,,127.18,,,,,145.367996,,,,335.869995,213.380005,219.546005,-6.166,0.0,1.7,,,,1.7,215.080005,,36.124001,36.124001,,,,123.696999,,,,,,8.117004,,,,8.117004,167.938004,0.0,,,,,3.226,,,3.226,3.226,171.164004,0.0,,,,0.0,,379.786011,379.786011,0.0,379.786011,550.950014,
02/28/1998,448.321991,26.412001,26.412001,0.0,60.866001,,,143.970001,,,,,1.359,,,,232.606995,214.087006,221.460007,-7.373,0.0,1.628,,,,1.628,215.715006,,51.220001,51.220001,,,,0.385,,,,,,3.973997,,,,3.973997,55.578999,27.386,,,,,5.411,,,5.411,32.796999,88.375998,0.0,,,,0.0,,359.946014,359.946014,0.0,359.946014,448.322012,
05/31/1998,491.493011,15.522,15.522,0.0,70.603996,,,195.886002,0.0,0.0,195.886002,0.0,4.599,,,,286.610992,203.054001,212.248001,-9.194,0.0,1.828,,,,1.828,204.882001,,65.819,65.819,,,,0.812,,,,,,7.83189,,,,7.83189,74.462891,52.055,,,,,7.116,,,7.116,59.171,133.633891,0.0,,,,0.0,,357.858002,357.858002,0.0,357.858002,491.491893,
08/31/1998,536.835999,18.808001,18.808001,0.0,89.384003,,,180.834,0.0,0.0,180.834,0.0,4.42,,,,293.446014,240.412003,251.807007,-11.395,0.0,2.978,,,,2.978,243.390002,,53.426998,53.426998,,,,5.817,,,,,,6.938001,,,,6.938001,66.181999,107.417999,,,,,7.795,,,7.795,115.212999,181.394999,0.0,,,,0.0,,355.44101,355.44101,0.0,355.44101,536.836008,
11/30/1998,550.530029,5.627,5.627,0.0,99.042,,,174.309998,0.0,0.0,174.309998,0.0,3.357,,,,282.335999,253.496994,267.225006,-13.728,0.0,14.697,0.0,,,14.697,268.193994,,52.175999,52.175999,,,,66.849998,,,,,,13.30994,,,,13.30994,132.335938,61.132999,,,,,8.296,,,8.296,69.428999,201.764936,0.0,,,,0.0,,348.761993,348.761993,0.0,348.761993,550.52693,
02/28/1999,571.197998,17.679001,17.679001,0.0,97.363998,,,225.460007,0.0,0.0,225.460007,,0.62,,,,341.122986,203.945999,219.785004,-15.839,0.0,26.129,0.0,,,26.129,230.074999,,59.838001,59.838001,,,,5.855,,,,,,16.229995,,,,16.229995,81.922997,139.720001,,,,,9.14,,,9.14,148.860002,230.782998,0.0,,,,0.0,,340.415009,340.415009,0.0,340.415009,571.198007,
05/31/1999,658.885986,14.224,14.224,0.0,127.691002,,,261.75,0.0,0.0,261.75,0.0,0.939,,,,404.604004,214.559998,232.324997,-17.764999,0.0,39.722,0.0,,,39.722,254.281998,,76.393997,76.393997,,,,90.276001,,,,,,26.436005,,,,26.436005,193.106003,111.360001,,,,,10.192,,,10.192,121.552001,314.658004,0.0,,,,0.0,,344.227997,344.227997,0.0,344.227997,658.886001,
08/31/1999,732.409973,35.709999,35.709999,0.0,143.559006,,,286.022003,0.0,0.0,286.022003,0.0,1.027,,,,466.317993,225.526993,246.567993,-21.041,0.0,40.564999,0.0,,,40.564999,266.091991,,100.417999,100.417999,,,,109.165001,,,,,,22.857994,,,,22.857994,232.440994,139.731003,,,,,11.277,,,11.277,151.008003,383.448997,0.0,,,,0.0,,348.960999,348.960999,0.0,348.960999,732.409996,
