Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1996,295.796997,1.825,1.825,0.0,75.559998,,,40.375999,,,,,3.273,,,121.033997,70.277,82.512001,-12.235,,104.486,,,,,104.486,174.763,,18.065001,18.065001,,,,1.303,,,,,,52.481998,,,52.481998,71.849998,143.100006,,,,,8.777,,,,8.777,151.877007,223.727005,6.461,145.376999,,,0.0,,-79.767998,72.070001,0.0,72.070001,295.797006,
06/30/1996,361.937012,0.77,0.77,0.0,79.987,,,53.291,,,,,4.214,,,138.261993,73.266998,87.671997,-14.405,,150.408005,,,,,150.408005,223.675003,,18.48,18.48,,,,1.302,,,,,,56.955999,,,56.955999,76.737999,236.330002,,,,,8.7,,,,8.7,245.030002,321.768001,6.69,145.485992,,,0.0,,-112.007004,40.168989,0.0,40.168989,361.936989,
09/30/1996,363.779999,2.111,2.111,0.0,83.178001,,,51.484001,,,,,3.677,,,140.449997,74.177002,91.050003,-16.872999,,149.153,,,,,149.153,223.330002,,21.541,21.541,,,,1.3,,,,,,58.520999,,,58.520999,81.362,226.251999,,,,,8.503,,,,8.503,234.754999,316.116999,6.922,146.024994,,,0.0,,-105.283997,47.662997,0.0,47.662997,363.779996,
12/31/1996,365.502014,0.639,0.639,0.0,88.112,,,47.351002,,,,,7.93,,,144.031998,74.777,94.505997,-19.729,,146.692993,,,,,146.692993,221.469993,,17.509001,17.509001,,,,1.736,,,,,,63.559999,,,63.559999,82.805,210.470001,,,,,7.294,,,,7.294,217.764001,300.569001,7.153,146.005997,,,0.0,,-88.225998,64.932999,0.0,64.932999,365.502,
03/31/1997,366.520996,2.819,2.819,0.0,87.975998,,,48.858002,,,,,8.096,,,147.748993,74.097,96.125,-22.028,,144.675003,,,,,144.675003,218.772003,,21.502001,21.502001,,,,2.045,,,,,,67.484997,,,67.484997,91.031998,195.024994,,,,,3.294,,,,3.294,198.318994,289.350991,7.388,145.804993,,,0.0,,-76.023003,77.16999,0.0,77.16999,366.520982,
06/30/1997,365.832001,2.438,2.438,0.0,84.786003,,,49.294998,,,,,7.966,,,144.485001,75.003998,99.484001,-24.48,,146.343002,,,,,146.343002,221.347,,20.223,20.223,,,,2.453,,,,,,65.958003,,,65.958003,88.634003,179.552002,,,,,6.79,,,,6.79,186.342002,274.976005,7.623,146.298996,,,0.0,,-63.066002,90.855994,0.0,90.855994,365.831999,
09/30/1997,565.520996,10.102,10.102,0.0,109.181,,,105.601997,,,,,10.607,,,235.492004,83.482002,110.934998,-27.452999,,246.546997,,,,,246.546997,330.028999,,34.125,34.125,,,,5.499,,,,,,119.534997,,,119.534997,159.158997,339.247986,,,,,4.666,,,,4.666,343.913986,503.072982,7.859,158.464996,,,0.0,,-103.875999,62.447997,0.0,62.447997,565.520979,
12/31/1997,552.059021,3.113,3.113,0.0,111.022003,,,87.375,,,,,11.614,,,213.123993,88.667999,118.741997,-30.073999,,250.266998,,,,,250.266998,338.934998,,33.061001,33.061001,,,,7.394,,,,,,130.201005,,,130.201005,170.656006,305.339996,,,,,5.67,,,,5.67,311.009996,481.666002,8.096,161.772003,,,0.0,,-99.474998,70.393004,0.0,70.393004,552.059007,
03/31/1998,549.814026,2.591,2.591,0.0,114.369003,,,79.515999,,,,,16.424999,,,212.901001,89.621002,123.120003,-33.499001,,247.292007,,,,,247.292007,336.91301,,40.807999,40.807999,,,,8.924,,,,,,129.227001,,,129.227001,178.959,292.954987,,,,,5.653,,,,5.653,298.607986,477.566986,8.335,163.031006,,,0.0,,-99.119003,72.247003,0.0,72.247003,549.813989,
06/30/1998,550.598999,1.598,1.598,0.0,112.373001,,,81.510002,25.476999,10.459,45.574001,,16.806999,,,212.287994,89.597,126.916,-37.319,,248.714005,180.675995,,,,68.03801,338.311005,,33.43,33.43,,,,7.269,,,,,,131.325994,,,131.325994,172.024994,279.375,,,,,5.637,,,,5.637,285.012,457.036994,8.575,164.304001,,,0.0,,-79.317001,93.561999,0.0,93.561999,550.598993,
