Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2000,3.276,,-8.709,,-5.433,,-29.688,,,,,,-35.120998,0.316,,,,0.0,-0.316,-34.804998,0.0,,-34.805,0.0,,,-34.804998,0.0,-34.805,-9.366,0.0,-44.171,-44.171,,6.066,-7.39,-7.39,-4.78,6.066,-7.39,-7.39,-4.78,
03/31/2001,7.689,,-11.554,,-3.865,,-27.559999,,,,,,-31.424999,-0.533,,,,0.0,0.533,-31.957999,0.0,,-31.958,0.0,,,-31.957999,0.0,-31.958,-11.191,0.0,-43.149,-43.149,,33.574001,-1.29,-1.29,-0.73,33.574001,-1.29,-1.29,-0.73,
06/30/2001,13.483,,-13.83,,-0.347,,-22.82,,,,,,-23.167,0.873,,,,0.0,-0.873,-22.294,0.0,,-22.294001,0.0,,,-22.294,0.0,-22.294001,0.0,0.0,-22.294001,-22.294001,,44.518002,-0.5,-0.5,-0.35,44.518002,-0.5,-0.5,-0.35,
09/30/2001,12.912,,-11.265,,1.646999,,-24.673,,,,,,-23.025999,0.523,,,,0.0,-0.523,-22.502999,0.0,,-22.503,0.0,,,-22.502999,0.0,-22.503,0.0,0.0,-22.503,-22.503,,45.035,-0.5,-0.5,-0.38,45.035,-0.5,-0.5,-0.38,
12/31/2001,12.3,,-10.182,,2.118,,-22.945,,,,,,-20.827,0.118,,,,0.0,-0.118,-20.709,-0.01,,-20.719,0.0,,,-20.719,0.0,-20.719,0.0,0.0,-20.719,-20.719,,45.66,-0.45,-0.45,-0.33,45.66,-0.45,-0.45,-0.33,
03/31/2002,15.858,,-12.024,,3.834,,-23.544001,,,,,,-19.709999,-0.406,,,,0.0,0.406,-20.115999,0.0,,-20.115999,0.0,,,-20.115999,0.0,-20.115999,0.0,0.0,-20.115999,-20.115999,,46.152,-0.42,-0.42,-0.3,46.152,-0.42,-0.42,-0.3,
06/30/2002,15.714,,-10.73,,4.984,,-25.226,,,,,,-20.242001,-0.071,,,,0.0,0.071,-20.313001,0.0,,-20.313,0.0,,,-20.313001,0.0,-20.313,0.0,0.0,-20.313,-20.313,,46.576,-0.44,-0.44,-0.31,46.576,-0.44,-0.44,-0.31,
09/30/2002,17.375,,-10.598,,6.777,,-24.566,,,,,,-17.789,-0.017,,,,0.0,0.017,-17.806,0.0,,-17.806,0.0,,,-17.806,0.0,-17.806,0.0,0.0,-17.806,-17.806,,46.933998,-0.38,-0.38,-0.24,46.933998,-0.38,-0.38,-0.24,
12/31/2002,20.750999,,-11.639,,9.112,,-24.306,,,,,,-15.194,-0.202,,,,0.0,0.202,-15.396,0.0,,-15.396,0.0,,,-15.396,0.0,-15.396,0.0,0.0,-15.396,-15.396,,51.796001,-0.3,-0.3,-0.16,51.796001,-0.3,-0.3,-0.16,
03/31/2003,22.959999,,-11.924,,11.035999,,-21.509001,,,,,,-10.473,-0.198,,,,0.0,0.198,-10.671,0.0,,-10.671,0.0,,,-10.671,0.0,-10.671,0.0,0.0,-10.671,-10.671,,57.188999,-0.19,-0.19,-0.103,57.188999,-0.19,-0.19,-0.103,
06/30/2003,29.225,,-13.269,,15.956,,-24.142,,,,,,-8.186,0.427,,,,0.0,-0.427,-7.759,0.0,,-7.759,0.0,,,-7.759,0.0,-7.759,0.0,0.0,-7.759,-7.759,,57.488998,-0.13,-0.13,-0.06,57.488998,-0.13,-0.13,-0.06,
09/30/2003,34.037998,,-13.446,,20.591998,,-22.34,,,,,,-1.748,-0.396,,,,0.0,0.396,-2.144,0.0,,-2.144,0.0,,,-2.144,0.0,-2.144,0.0,0.0,-2.144,-2.144,,57.948002,-0.04,-0.04,0.02,57.948002,-0.04,-0.04,0.02,
12/31/2003,36.501999,,-12.926,,23.575999,,-23.106001,,,,,,0.47,-0.018,,,,0.0,0.018,0.452,0.0,,0.452,0.0,,,0.452,0.0,0.452,0.0,0.0,0.452,0.452,,58.397999,0.01,0.01,0.06,63.703999,0.01,0.01,0.06,
03/31/2004,39.205,,-13.393,,25.812,,-24.895,21.549,13.272,,,3.346,0.917,-0.227,0.227,,,0.0,0.0,0.69,-0.133,,0.557,0.0,,,0.557,0.0,0.557,0.0,0.0,0.557,0.557,,59.091,0.01,0.01,0.01,64.559,0.01,0.01,0.01,
06/30/2004,44.203999,,-14.25,,29.953999,,-25.613001,,,,,,4.341,-0.175,,,,0.0,0.175,4.166,-0.394,,3.772,0.0,,,3.772,0.0,3.772,0.0,0.0,3.772,3.772,,59.692001,0.06,0.06,0.06,64.460999,0.06,0.06,0.06,
09/30/2004,45.765999,,-14.922,,30.843999,,-26.993,,,,,,3.851,-0.217,,,,0.0,0.217,3.634,-0.316,,3.318,0.0,,,3.318,0.0,3.318,0.0,0.0,3.318,3.318,,60.319,0.06,0.06,0.06,64.055,0.05,0.05,0.05,
12/31/2004,43.654999,,-14.961,,28.693998,,-28.038,,,,,,0.656,0.887,,,-0.616,0.0,-0.271,1.543,-0.151,,1.121,0.0,,,1.392,0.0,1.121,0.0,0.0,1.121,1.121,,60.743999,0.02,0.02,0.02,63.560001,0.02,0.02,0.02,
03/31/2005,51.155,,-15.478,,35.677,,-33.548,28.645,19.134,,,4.903,2.129,-0.06,0.06,0.16,-0.1,0.0,0.0,2.069,-0.206,,1.863,0.0,,,1.863,0.0,1.863,0.0,0.0,1.863,1.863,,61.246,0.03,0.03,0.03,63.148,0.03,0.03,0.03,
06/30/2005,53.94,,-16.62,,37.32,0.0,-36.127,30.772,21.049,,,5.355,1.193,-0.238,0.238,0.438,-0.2,0.0,0.0,0.955,-0.417,,0.538,0.0,,,0.538,0.0,0.538,0.0,0.0,0.538,0.538,,61.484,0.01,0.01,0.01,62.953,0.01,0.01,0.01,
09/30/2005,50.866,,-14.975,,35.891,,-37.43,33.03,21.315,,,4.4,-1.539,0.326,,,-0.326,0.0,0.0,-1.213,-0.303,,-1.516,0.0,,,-1.516,0.0,-1.516,0.0,0.0,-1.516,-1.516,,61.788,-0.02,-0.02,-0.02,61.788,-0.02,-0.02,-0.02,
12/31/2005,51.164,,-16.711,,34.453,,-33.79,,,,,,0.663,0.255,,,-1.318,0.0,1.063,0.918,-0.39,,0.528,0.0,,,0.528,0.0,0.528,0.0,0.0,0.528,0.528,,62.045,0.01,0.01,0.01,63.247,0.01,0.01,0.01,
03/31/2006,48.908,,-14.297,,34.611,,-39.824,35.13,20.066,,,4.694,-5.213,0.698,-0.698,0.002,-0.7,0.0,0.0,-4.515,-0.249,,-4.764,0.0,,,-4.764,0.0,-4.764,0.0,0.0,-4.764,-4.764,,62.518,-0.08,-0.08,-0.08,62.518,-0.08,-0.08,-0.08,
