Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,10376.152344,920.718994,3526.051025,,,2954.123077,,,,,,,,,,2476.434082,-51.715,2424.718994,190.705002,,,,,,,36.183998,323.651253,,2505.751953,3723.346069,1691.864014,2031.482056,0.0,6229.098145,3057.820068,,,,,,114.449997,,,,,,,,354.696999,9756.065208,0.0,75.192001,,,-18.996,,563.89102,620.087021,0.0,620.087021,10376.152229,
06/30/1990,10306.076172,924.057007,3398.302979,,,2951.508072,,,,,,,,,,2476.496094,-52.661999,2423.833984,202.550003,,,,,,,40.094002,365.730125,,2760.711914,3865.13208,1749.031006,2116.101074,0.0,6625.844238,2539.657959,,,,,,114.166,,,,,,,,383.390999,9663.059196,0.0,71.650002,,,-14.925,,586.292005,643.017006,0.0,643.017006,10306.076202,
09/30/1990,11592.115234,866.44397,4709.896973,,,2874.882935,,,,,1688.0,,,723.0,173.328003,2584.327881,-51.789001,2532.539062,210.167007,,,,,,,35.422001,362.763287,,2643.003906,4687.783081,1812.45105,2875.332031,0.0,7330.787109,3092.641113,,,,,,113.769997,,,,,,,,387.150997,10924.349216,0.0,67.964996,,,-10.195,,609.996025,667.766022,0.0,667.766022,11592.115238,
12/31/1990,11650.919922,1403.052002,4162.878906,,,3393.528991,,,,,1713.261963,,,192.419998,199.392014,2105.073975,-50.974998,2054.098977,212.688995,,,,,,,44.487,380.185051,,3236.079102,4421.557983,1658.005981,2763.552002,0.0,7657.637207,2804.646973,,,,,,111.788002,,,,,,,,381.791992,10955.864174,0.0,66.779999,,,-6.622,,634.895987,695.053986,0.0,695.053986,11650.91816,
03/31/1991,10943.966797,750.627991,4202.955078,,,3217.648087,,,,,1688.0,,,282.0,179.199005,2149.198975,-52.410999,2096.788086,258.990997,,,,,,,31.985001,384.971558,,2537.500977,4473.381104,2100.466064,2372.915039,0.0,7010.881836,2593.514893,,,,,,150.716003,,,,,,,,441.233994,10196.346725,0.0,67.494003,,,-5.229,,685.354977,747.61998,0.0,747.61998,10943.966705,
06/30/1991,11730.056641,861.085022,4963.580078,,,3206.396103,,,,,1681.0,,,229.0,160.085007,2070.084961,-54.389,2015.696045,264.242004,,,,,,,36.457001,382.600388,,3014.822998,4578.322998,2122.794922,2455.528076,0.0,7593.145996,2763.168945,,,,,,150.123001,,,,,,,,453.283997,10959.721939,0.0,66.120003,,,0.0,,704.215027,770.33503,0.0,770.33503,11730.056969,
09/30/1991,13326.397461,1224.120972,5900.10791,,,3258.776947,,,,,1639.0,,,219.0,180.375,2038.375,-57.939999,1980.435059,287.920013,,,,,,,111.666,563.37056,,3500.408936,4528.452148,2145.030029,2383.422119,0.0,8028.86084,3847.389893,,,,,,148.889008,,,,,,,,509.301987,12534.441727,0.0,67.341003,,,0.0,,724.614014,791.955017,0.0,791.955017,13326.396744,
12/31/1991,15046.299805,1016.760986,7858.606934,,,3503.830124,,,,,1535.428955,,,158.535995,211.349991,1905.314941,-65.888,1839.426941,319.471008,,,,,,,86.230003,421.973809,,3563.522949,5167.838135,2203.736084,2964.102051,0.0,8731.361328,4896.454102,,,,,,147.013,,,,,,,,454.903991,14229.732421,0.0,71.086998,,,0.0,,745.481995,816.568993,0.0,816.568993,15046.301414,
03/31/1992,15451.169922,999.924011,8155.775879,,,3685.886993,,,,,1583.0,,,200.0,92.0,1875.0,-67.295998,1807.703979,333.122009,,,,,,,68.776001,399.981049,,3799.175049,5936.612061,2429.975098,3506.636963,0.0,9735.787109,4244.221191,,,,,,146.772003,,,,,,,,477.506012,14604.286316,0.0,74.073997,,,0.0,,772.809998,846.883995,0.0,846.883995,15451.170311,
06/30/1992,17010.908203,1167.774048,9380.155273,,,3717.000107,,,,,1619.0,,,191.0,161.751007,1971.750977,-65.369003,1906.381958,351.522003,,,,,,,57.612999,430.461815,,4034.27002,6625.992188,2342.10498,4283.887207,0.0,10660.261719,4792.520996,,,,,,146.444,,,,,,,,530.373985,16129.6007,0.0,77.139,,,0.0,,804.169006,881.308006,0.0,881.308006,17010.908707,
09/30/1992,16662.859375,935.286987,8823.791016,,,3954.481903,,,,,1695.0,,,181.0,256.121002,2132.121094,-61.605,2070.516113,382.998993,,,,,,,39.542,456.242363,,4026.208008,6609.369141,2296.315918,4313.053223,0.0,10635.577148,4461.104004,,,,,,146.113998,,,,,,,,500.256981,15743.052132,0.0,81.962997,,,0.0,,837.843994,919.806992,0.0,919.806992,16662.859123,
12/31/1992,16489.830078,1284.467041,8058.96582,,,4256.902954,,,,,1613.938965,,,138.013,251.761002,2003.713013,-57.931,1945.782013,412.799988,,,,,,,35.011002,495.90126,,4373.491211,6686.576172,2107.001953,4579.574219,0.0,11060.070312,3846.513916,,,,,,145.798996,,,,,,,,484.313019,15536.696243,0.0,83.061996,,,0.0,,870.072998,953.134994,0.0,953.134994,16489.831237,
03/31/1993,17677.474609,869.539001,9435.12793,,,4398.385132,,,,,1702.310059,,,162.0,257.0,2121.310059,-55.207001,2066.103027,420.355011,,,,,,,37.435001,450.529507,,3304.831055,7036.03418,2131.688965,4904.345215,0.0,10340.865234,5781.467773,,,,,,106.727997,,,,,,,,455.590008,16684.651012,0.0,88.455002,,,0.0,,904.367981,992.822983,0.0,992.822983,17677.473995,
