Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2003,83.472,,,-44.431999,,39.040001,,-32.479,,,,,6.562,-0.69,0.643,0.643,,0.0,0.047,5.872,-2.352,,3.519,0.0,,,3.52,0.0,3.519,0.0,0.0,3.519,3.519,,113.639999,0.03125,0.03125,0.03125,129.423996,0.0275,0.0275,0.0275,
03/31/2004,100.072767,,,-53.077136,,46.995631,0.0,-37.133931,14.206691,10.693727,,22.92724,9.8617,-0.431786,0.518813,0.536395,-0.017582,,-0.087027,9.429914,-3.795,,5.634914,,,,5.634914,,5.634914,0.0,0.0,5.634914,5.634914,,157.142912,0.03625,0.03625,0.03625,177.4486,0.03125,0.03125,0.03125,
06/30/2004,104.878203,,,-55.43706,,49.441143,0.0,-40.290913,15.039983,11.733773,,25.25093,9.15023,-0.212488,0.271858,0.275329,-0.003471,,-0.05937,8.937742,-3.595,,5.342742,,,,5.342742,,5.342742,0.0,0.0,5.342742,5.342742,,160.409336,0.03375,0.03375,0.03375,179.70892,0.03,0.03,0.03,
09/30/2004,106.045357,,,-57.361745,,48.683612,0.0,-40.708265,14.333426,12.524453,,26.374839,7.975347,-0.42783,0.311002,0.3184,-0.007398,,0.116828,7.547517,-2.985,,4.562517,,,,4.562517,,4.562517,0.0,0.0,4.562517,4.562517,,161.620896,0.02875,0.02875,0.02875,179.9378,0.025,0.025,0.025,
12/31/2004,113.759973,,,-61.264195,,52.495778,,-44.575773,,,,,7.920005,0.019882,,0.422397,-0.018079,0.0,-0.4242,7.939887,-2.909,,5.031887,0.0,,,5.030887,0.0,5.031887,0.0,0.0,5.031887,5.031887,,162.464,0.03125,0.03125,0.03,180.184,0.0275,0.0275,0.02625,
03/31/2005,133.807,,,-71.171,,62.636,0.0,-48.24,17.725,14.095,,30.515,14.396,-0.392,0.554,0.572,-0.018,0.0,-0.162,14.004,-5.603,,8.401,0.0,,,8.401,0.0,8.401,0.0,0.0,8.401,8.401,,165.048,0.05125,0.05125,0.05125,181.536,0.04625,0.04625,0.04625,
06/30/2005,136.023,,,-71.531,,64.492,0.0,-50.682,18.719,15.398,,31.963,13.81,-0.617,0.695,0.735,-0.04,0.0,-0.078,13.193,-5.566,,7.627,0.0,,,7.627,0.0,7.627,0.0,0.0,7.627,7.627,,166.84,0.04625,0.04625,0.04625,187.088,0.04125,0.04125,0.04125,
09/30/2005,133.64,,,-70.696,,62.944,0.0,-51.479,18.455,15.724,,33.024,11.465,-0.343,0.704,0.734,-0.03,0.0,-0.361,11.122,-4.519,,6.603,0.0,,,6.603,0.0,6.603,0.0,0.0,6.603,6.603,,169.96,0.03875,0.03875,0.03875,190.712,0.035,0.035,0.035,
12/31/2005,143.922,,,-76.39,,67.532,,-54.261,,,,,13.271,0.093,,0.187,-0.253,0.0,-0.027,13.364,-5.108,,8.256,0.0,,,8.256,0.0,8.256,0.0,0.0,8.256,8.256,,202.12,0.04,0.04,0.04,218.28,0.0375,0.0375,0.0375,
03/31/2006,192.139,,,-103.728,,88.411,0.0,-68.066,24.91,19.926,,43.156,20.345,-0.137,0.943,0.967,-0.024,0.0,-0.806,20.208,-8.124,,12.084,0.0,,,12.084,0.0,12.084,0.0,0.0,12.084,12.084,,208.248,0.0575,0.0575,0.0575,221.868,0.055,0.055,0.055,
06/30/2006,195.037,,,-106.921,,88.116,0.0,-67.518,24.731,19.808,,42.787,20.598,-1.22,1.347,1.378,-0.031,0.0,-0.127,19.378,-7.716,,11.662,0.0,,,11.662,0.0,11.662,0.0,0.0,11.662,11.662,,211.208,0.055,0.055,0.055,222.824,0.0525,0.0525,0.0525,
09/30/2006,197.659,,,-108.222,,89.437,0.0,-71.572,25.604,20.387,,45.968,17.865,-1.591,1.829,1.867,-0.038,0.0,-0.238,16.274,-5.816,,10.458,0.0,,,10.458,0.0,10.458,0.0,0.0,10.458,10.458,,212.392,0.05,0.05,0.05,223.64,0.0475,0.0475,0.0475,
12/31/2006,204.546,,,-112.96,,91.586,0.0,-73.228,26.929,19.967,,46.299,18.358,-1.398,1.705,1.743,-0.038,,-0.307,16.96,-6.77,,10.19,,,,10.19,,10.19,0.0,0.0,10.19,10.19,,213.324,0.0475,0.0475,0.0475,224.672,0.045,0.045,0.045,
03/31/2007,235.318,,,-128.222,,107.096,0.0,-79.834,28.732,22.175,,51.102,27.262,-1.085,1.733,,,0.0,-0.648,26.177,-10.383,,15.794,0.0,,,15.794,0.0,15.794,0.0,0.0,15.794,15.794,,213.264,0.075,0.075,0.075,224.008,0.07,0.07,0.07,
