Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1994,11.494,11.467,11.467,,0.736112,0.648295,0.648295,0.43,0.43,0.43,0.43,0.43,0.43,0.495,0.601291,,0.55,,0.028102,16.056986,,
06/30/1994,11.517,11.505,11.505,,1.106562,0.950196,0.971925,0.68,0.68,0.68,0.68,0.68,0.68,0.5,0.740634,,0.83,,0.028132,16.250586,,
09/30/1994,11.549,11.53,11.53,,0.912229,0.786817,0.8085,0.55,0.55,0.55,0.55,0.55,0.55,0.505,0.873547,,0.74,,0.060092,16.31111,,
12/31/1994,11.595,11.573,11.573,,0.954117,0.796855,0.840059,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.560702,,0.63,,0.080638,16.315653,,
03/31/1995,11.65,11.619,11.619,,0.828385,0.737155,0.737155,0.42,0.42,0.42,0.42,0.42,0.42,0.515,0.616834,,0.45,,0.055536,16.243176,,
06/30/1995,11.696,11.674,11.674,,0.828936,0.717064,0.717064,0.4,0.4,0.4,0.4,0.4,0.4,0.52,0.327309,,0.43,,0.056344,16.132695,,
09/30/1995,11.724,11.708,11.708,,1.137257,0.624359,0.966006,0.28,0.28,0.28,0.28,0.28,0.28,0.52,-0.12453,,0.66,,0.047253,15.908479,,
12/31/1995,12.034,11.879,11.879,,1.008418,0.376463,0.443808,0.06,0.06,0.06,0.06,0.06,0.06,0.52,1.483542,,0.59,,0.071464,15.588914,,
03/31/1996,12.083,12.052,12.052,,0.903584,0.816877,0.829738,0.47,0.47,0.47,0.47,0.47,0.47,0.52,0.695569,0.000249,0.51,,0.082595,15.616403,,
06/30/1996,14.457,13.058,13.058,,1.12008,1.024736,1.03584,0.66,0.66,0.66,0.66,0.66,0.66,0.52,0.616097,-0.287793,0.54,,0.046967,16.621498,,
09/30/1996,16.079931,14.818,14.818,,0.949386,0.805507,0.869551,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.736132,-0.151167,0.54,,0.21617,17.086702,,
