Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075,,,1.075,1.075,,17.213999,0.03,0.03,,17.213999,0.03,0.03,0.03,
03/31/1990,6.828122,,,-4.984043,,,1.844079,,-1.171326,,,,0.672753,-0.241636,,0.212051,,0.0,0.029585,0.431117,-0.16,,,0.271117,0.0,,,0.271117,0.0,0.271117,-0.582,,-0.310883,-0.310883,,17.241924,-0.02,-0.02,,17.241924,-0.02,-0.02,-0.02,
06/30/1990,5.545226,,,-4.127593,,,1.417633,,-1.005664,,,,0.411969,-0.312514,,0.515153,,0.0,-0.202639,0.099455,-0.036,,,0.063455,0.0,,,0.063455,0.0,0.063455,-0.582,,-0.518545,-0.518545,,17.257999,-0.03,-0.03,,17.257999,-0.03,-0.03,-0.03,
09/30/1990,7.636325,,,-5.175233,,,2.461092,,-1.048571,,,,1.412521,-0.209959,,0.58671,,0.0,-0.376751,1.202562,-0.446,,,0.756562,0.0,,,0.756562,0.0,0.756562,-0.582,,0.174562,0.174562,,17.282,0.01,0.01,,17.282,0.01,0.01,0.01,
12/31/1990,9.605892,,,-5.70075,,,3.905142,,-1.693116,,,,2.212026,0.110462,,0.642206,,0.0,-0.752668,2.322488,-0.859,,,1.463488,0.0,,,1.463488,0.0,1.463488,-0.578363,,0.885125,0.885125,,17.33194,0.055,0.055,0.055,17.33194,0.055,0.055,0.055,
03/31/1991,7.587909,,,-5.012325,,,2.575584,,-1.314323,,,,1.261261,-25.192627,,0.596811,,0.0,24.595816,-23.931366,6.12,,,-17.811365,0.0,,,-17.811366,0.0,-17.811365,-0.567353,,-18.378718,-18.378718,,17.360126,-1.06,-1.06,,17.360126,-1.06,-1.06,-1.06,
06/30/1991,6.5083,,,-4.104126,,,2.404174,,-1.28205,,,,1.122124,0.471786,,0.566204,,0.0,-1.03799,1.59391,0.0,,,1.59391,0.0,,,1.59391,0.0,1.59391,-0.567353,,1.026557,1.026557,,17.369999,0.06,0.06,,17.369999,0.06,0.06,0.06,
09/30/1991,5.999985,,,-4.126386,,,1.873599,,-1.405458,,,,0.468141,-0.321193,,0.550158,,0.0,-0.228965,0.146948,0.0,,,0.146948,0.0,,,0.146948,0.0,0.146948,-0.567353,,-0.420405,-0.420405,,17.379999,-0.025,-0.025,,17.379999,-0.025,-0.025,-0.025,
12/31/1991,8.430829,,,-5.202104,,,3.228725,,-1.830794,,,,1.397931,-0.351866,,0.495609,,0.0,-0.143743,1.046065,0.0,,,1.046065,0.0,,,1.046065,0.0,1.046065,-0.567353,,0.478712,0.478712,,17.384492,0.03,0.03,0.03,17.384492,0.03,0.03,0.03,
03/31/1992,7.308844,,,-5.401993,,,1.906851,,-1.32753,,,,0.579321,0.519687,,0.431704,,0.0,-0.951391,1.099008,-0.308,,,0.791008,0.0,,,0.791008,0.0,0.791008,-0.567353,,0.223655,0.223655,,17.38689,0.015,0.015,,17.38689,0.015,0.015,0.015,
