Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2011,983.0,983.0,-381.0,381.0,602.0,0.0,-489.0,335.0,101.0,53.0,113.0,-1.0,,,,,,1.0,112.0,-35.0,77.0,0.0,0.0,0.0,77.0,-1.0,76.0,,0.0,76.0,121.0,45.0,,,,,,,,,
06/30/2011,1074.0,1074.0,-454.0,454.0,620.0,0.0,-503.0,360.0,105.0,38.0,117.0,-13.0,,,,,,13.0,104.0,-38.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0,,0.0,66.0,74.45,8.45,,,,,,,,,
09/30/2011,1049.0,1049.0,-398.0,398.0,651.0,0.0,-501.0,331.0,102.0,68.0,150.0,-2.0,,,,,,2.0,148.0,-53.0,95.0,0.0,0.0,0.0,95.0,-1.0,94.0,,0.0,94.0,127.8,33.8,,,,,,,,,
12/31/2011,1127.0,1127.0,-419.0,419.0,708.0,0.0,-610.0,427.0,119.0,64.0,98.0,-68.0,,,,,,68.0,30.0,-20.0,10.0,0.0,0.0,0.0,10.0,-1.0,9.0,0.0,0.0,9.0,168.0,159.0,,,,,,,,,
04/01/2012,1047.0,1047.0,-393.0,393.0,654.0,0.0,-481.0,338.0,102.0,41.0,173.0,-2.0,,8.0,,0.0,,-6.0,171.0,-59.0,112.0,0.0,0.0,0.0,112.0,-1.0,111.0,0.0,0.0,111.0,152.0,41.0,500.0,0.22,0.22,0.304,500.0,0.22,0.22,0.302,
07/01/2012,1094.0,1094.0,-378.0,378.0,716.0,0.0,-476.0,344.0,92.0,40.0,240.0,12.0,,8.0,,3.0,,-23.0,252.0,-79.0,173.0,0.0,0.0,0.0,173.0,0.0,173.0,0.0,0.0,173.0,176.0,3.0,500.0,0.35,0.35,0.352,500.0,0.35,0.35,0.352,
09/30/2012,1019.0,1019.0,-359.0,359.0,660.0,0.0,-451.0,335.0,94.0,22.0,209.0,4.0,,7.0,,,,-11.0,213.0,-52.0,161.0,0.0,0.0,0.0,161.0,1.0,162.0,0.0,0.0,162.0,154.0,-8.0,500.0,0.32,0.32,0.308,500.0,0.32,0.32,0.304,
12/31/2012,1176.0,1176.0,-433.0,433.0,743.0,0.0,-670.0,453.0,121.0,96.0,73.0,1.0,,8.0,,,,-9.0,74.0,-84.0,-10.0,0.0,0.0,0.0,-10.0,,-10.0,0.0,0.0,-10.0,60.25,70.25,500.0,-0.02,-0.02,0.1205,500.0,-0.02,-0.02,0.1205,
03/31/2013,1090.0,1090.0,-402.0,402.0,688.0,0.0,-469.0,357.0,90.0,22.0,219.0,-27.0,22.0,22.0,0.0,10.0,,-5.0,192.0,-52.0,140.0,0.0,0.0,0.0,140.0,0.0,140.0,0.0,0.0,140.0,179.0,39.0,500.0,0.28,0.28,0.358,500.111,0.28,0.28,0.357983,
06/30/2013,1114.0,1114.0,-416.0,416.0,698.0,0.0,-489.0,399.0,95.0,-5.0,209.0,-22.0,32.0,32.0,0.0,2.0,,-12.0,187.0,-59.0,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,128.0,178.0,50.0,500.0,0.26,0.26,0.356,500.217,0.26,0.26,0.356,
09/29/2013,1103.0,1103.0,-385.0,385.0,718.0,0.0,-510.0,399.0,93.0,18.0,208.0,-23.0,29.0,29.0,0.0,0.0,,-6.0,185.0,-54.0,131.0,0.0,0.0,0.0,131.0,0.0,131.0,0.0,0.0,131.0,172.0,41.0,500.0,0.26,0.26,0.344,500.354,0.26,0.26,0.341942,
12/31/2013,1254.0,1254.0,-466.0,466.0,788.0,0.0,-630.0,458.0,121.0,51.0,158.0,-32.0,30.0,30.0,0.0,8.0,0.0,-6.0,126.0,-22.0,104.0,0.0,0.0,0.0,104.0,1.0,105.0,0.0,0.0,105.0,180.0,75.0,500.007,0.21,0.21,0.359995,500.586,0.21,0.21,0.359824,
03/30/2014,1097.0,1097.0,-379.0,379.0,718.0,0.0,-461.0,356.0,87.0,18.0,257.0,-30.0,29.0,29.0,0.0,9.0,,-8.0,227.0,-72.0,155.0,0.0,0.0,0.0,155.0,0.0,155.0,0.0,0.0,155.0,191.0,36.0,500.231,0.31,0.31,0.381824,500.702,0.31,0.31,0.381824,
06/29/2014,1158.0,1158.0,-413.0,413.0,745.0,0.0,-508.0,396.0,92.0,20.0,237.0,-37.0,29.0,29.0,0.0,7.0,,1.0,200.0,-61.0,139.0,0.0,0.0,0.0,139.0,-3.0,136.0,0.0,0.0,136.0,189.0,53.0,500.975,0.27,0.27,0.377264,501.684,0.27,0.27,0.375644,
09/28/2014,1210.0,1210.0,-434.0,434.0,776.0,0.0,-505.0,394.0,93.0,18.0,271.0,-33.0,29.0,29.0,0.0,7.0,,-3.0,238.0,-71.0,167.0,0.0,0.0,0.0,167.0,-1.0,166.0,0.0,0.0,166.0,207.0,41.0,501.453,0.33,0.33,0.4128,502.445,0.33,0.33,0.411601,
12/31/2014,1320.0,1320.0,-491.0,491.0,829.0,0.0,-650.0,497.0,124.0,29.0,179.0,-24.0,30.0,30.0,0.0,5.0,0.0,-11.0,155.0,-29.0,126.0,0.0,0.0,0.0,126.0,0.0,126.0,0.0,0.0,126.0,203.0,77.0,501.56,0.25,0.25,0.404737,503.269,0.25,0.25,0.403,
03/29/2015,1102.0,1102.0,-394.0,394.0,708.0,0.0,-450.0,354.0,80.0,16.0,258.0,-28.0,28.0,28.0,0.0,8.0,,-8.0,230.0,-65.0,165.0,0.0,0.0,0.0,165.0,0.0,165.0,0.0,0.0,165.0,207.0,42.0,501.1,0.33,0.33,0.413091,503.2,0.33,0.33,0.413091,
06/28/2015,1175.0,1175.0,-427.0,427.0,748.0,0.0,-744.0,379.0,84.0,281.0,4.0,-31.0,29.0,29.0,0.0,4.0,,-2.0,-27.0,-9.0,-36.0,0.0,0.0,0.0,-36.0,-1.0,-37.0,0.0,0.0,-37.0,216.0,253.0,500.2,-0.07,-0.07,0.431827,500.2,-0.07,-0.07,0.431827,
09/27/2015,1214.0,1214.0,-421.0,421.0,793.0,0.0,-493.0,374.0,91.0,28.0,300.0,-27.0,29.0,29.0,0.0,6.0,,-8.0,273.0,-83.0,190.0,0.0,0.0,0.0,190.0,-1.0,189.0,0.0,0.0,189.0,242.85,53.85,499.2,0.38,0.38,0.486478,501.7,0.38,0.38,0.486478,
12/31/2015,1274.0,1274.0,-496.0,496.0,778.0,0.0,-590.0,425.0,109.0,56.0,188.0,-119.0,38.0,38.0,0.0,-5.0,,86.0,69.0,-49.0,20.0,0.0,0.0,0.0,20.0,2.0,22.0,0.0,0.0,22.0,201.45,179.45,498.271,0.04,0.04,0.404298,500.639,0.04,0.04,0.398442,
04/03/2016,1162.0,1162.0,-389.0,389.0,773.0,0.0,-428.0,315.0,90.0,23.0,345.0,-13.0,43.0,43.0,0.0,9.0,,-39.0,332.0,-128.0,204.0,0.0,0.0,0.0,204.0,0.0,204.0,0.0,0.0,204.0,239.0,35.0,497.4,0.41,0.41,0.480499,499.5,0.41,0.41,0.48007,
07/03/2016,1208.0,1208.0,-399.0,399.0,809.0,0.0,-432.0,343.0,88.0,1.0,377.0,-45.0,41.0,41.0,0.0,8.0,,-4.0,332.0,-108.0,224.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,0.0,224.0,246.0,22.0,496.3,0.45,0.45,0.495668,498.8,0.45,0.45,0.494106,
10/02/2016,1241.0,1241.0,-410.0,410.0,831.0,0.0,-460.0,345.0,90.0,25.0,371.0,-38.0,39.0,41.0,-2.0,5.0,,-6.0,333.0,-96.0,237.0,0.0,0.0,0.0,237.0,2.0,239.0,0.0,0.0,239.0,245.85,6.85,495.2,0.48,0.48,0.496466,497.9,0.48,0.48,0.493758,
12/31/2016,1277.0,1277.0,-468.0,468.0,809.0,0.0,-510.0,361.0,108.0,41.0,299.0,-68.0,41.0,41.0,0.0,27.0,,0.0,231.0,-77.0,154.0,0.0,0.0,0.0,154.0,0.0,154.0,0.0,0.0,154.0,217.65,63.65,493.932,0.31,0.31,0.440648,496.638,0.31,0.31,0.438162,
04/02/2017,1231.0,1231.0,-443.0,443.0,788.0,0.0,-420.0,309.0,90.0,21.0,368.0,-31.0,39.0,41.0,-2.0,2.0,,-10.0,337.0,-98.0,239.0,0.0,0.0,0.0,239.0,-1.0,238.0,0.0,0.0,238.0,261.0,23.0,492.4,0.48,0.48,0.530057,495.3,0.48,0.48,0.526437,
07/02/2017,1269.0,1269.0,-440.0,440.0,829.0,0.0,-445.0,336.0,86.0,23.0,384.0,-39.0,38.0,41.0,-3.0,8.0,,-7.0,345.0,-98.0,247.0,0.0,0.0,0.0,247.0,0.0,247.0,0.0,0.0,247.0,261.0,14.0,490.8,0.5,0.5,0.531785,494.0,0.5,0.5,0.52834,
10/01/2017,1347.0,1347.0,-435.0,435.0,912.0,0.0,-455.0,328.0,96.0,31.0,457.0,-44.0,40.0,43.0,-3.0,7.0,,-3.0,413.0,-117.0,296.0,0.0,0.0,0.0,296.0,2.0,298.0,0.0,0.0,298.0,309.05,11.05,489.1,0.61,0.61,0.631875,492.4,0.61,0.61,0.631875,
12/31/2017,1460.0,1460.0,-457.0,457.0,1003.0,0.0,-506.0,361.0,110.0,35.0,497.0,-67.0,50.0,50.0,0.0,12.0,,5.0,430.0,-350.0,80.0,0.0,0.0,0.0,80.0,1.0,81.0,0.0,0.0,81.0,322.75,241.75,487.323,0.17,0.17,0.662292,491.022,0.16,0.16,0.65234,
03/31/2018,1366.0,1366.0,-447.0,447.0,919.0,0.0,-460.0,338.0,97.0,25.0,459.0,-42.0,41.0,47.0,-6.0,8.0,,-7.0,417.0,-67.0,350.0,0.0,0.0,0.0,350.0,2.0,352.0,0.0,0.0,352.0,367.37,15.37,485.9,0.72,0.72,0.756061,489.8,0.72,0.72,0.75138,
06/30/2018,1415.0,1415.0,-447.0,447.0,968.0,0.0,-489.0,359.0,102.0,28.0,479.0,-42.0,38.0,46.0,-8.0,9.0,,-5.0,437.0,-55.0,382.0,0.0,0.0,0.0,382.0,2.0,384.0,0.0,0.0,384.0,429.97,45.97,483.8,0.79,0.79,0.888735,487.5,0.79,0.79,0.884297,
09/30/2018,1480.0,1480.0,-473.0,473.0,1007.0,0.0,-554.0,367.0,108.0,79.0,453.0,-35.0,48.0,54.0,-6.0,9.0,,-22.0,418.0,-71.0,347.0,0.0,0.0,0.0,347.0,0.0,347.0,0.0,0.0,347.0,382.950617,35.950617,482.0,0.72,0.72,0.794503,485.8,0.71,0.71,0.784003,
12/31/2018,1564.0,1564.0,-544.0,544.0,1020.0,0.0,-598.0,420.0,125.0,53.0,422.0,-4.0,48.0,59.0,-11.0,5.0,,-49.0,418.0,-73.0,345.0,0.0,0.0,0.0,345.0,0.0,345.0,0.0,0.0,345.0,379.76,34.76,480.603,0.72,0.72,0.790174,484.479,0.71,0.71,0.781747,
03/31/2019,1455.0,1455.0,-518.0,518.0,937.0,0.0,-514.0,369.0,102.0,43.0,423.0,-42.0,46.0,56.0,-10.0,,,-4.0,381.0,-69.0,312.0,0.0,0.0,0.0,312.0,0.0,312.0,0.0,0.0,312.0,424.0,112.0,479.6,0.65,0.65,0.88407,483.1,0.65,0.65,0.881836,
06/30/2019,1547.0,1547.0,-465.0,465.0,1082.0,0.0,-578.0,406.0,111.0,61.0,504.0,-49.0,46.0,55.0,-9.0,7.0,,-4.0,455.0,-84.0,371.0,0.0,0.0,0.0,371.0,0.0,371.0,0.0,0.0,371.0,436.0,65.0,478.8,0.77,0.77,0.91061,482.3,0.77,0.77,0.904771,
