Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Cash From Disc Ops,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
11/30/1989,4.821,7.25,2.688,0.13,,,0.13,-5.247,,,,-5.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1990,8.453,6.943,2.792,-1.977,,,-1.977,0.695,,,,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1990,16.582001,8.987,2.873,0.17,,,0.17,4.552,,,,4.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1990,19.424999,8.92,3.032,2.928,,,2.928,4.545,,,,4.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.424999,,,
11/30/1990,6.886,7.728,3.127,-0.143,,,-0.143,-3.826,,,,-3.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1991,7.641,7.18,3.232,-4.545,,,-4.545,1.774,,,,1.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1991,13.566,9.046,3.287,4.688,,,4.688,-3.455,,,,-3.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1991,21.853001,8.392,3.348,-2.041,,,-2.041,12.154,,,,12.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.853001,,,
11/30/1991,5.407,6.596,3.457,-1.164,,,-1.164,-3.482,,,,-3.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/29/1992,3.064,7.208,3.528,-3.218,,,-3.218,-4.454,,,,-4.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1992,17.48,9.053,3.722,1.208,,,1.208,3.497,,,,3.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1992,20.700001,9.736,3.746,3.646,,,3.646,3.572,,,,3.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.700001,,,
11/30/1992,8.877,7.852,3.741,-1.034,,,-1.034,-1.682,,,,-1.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1993,8.888,8.008,3.809,-1.97,,,-1.97,-0.959,,,,-0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1993,16.608,9.707,3.995,1.191,,,1.191,1.715,,,,1.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1993,21.017,9.962,3.87,2.117,,,2.117,5.068,,,,5.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.017,,,
11/30/1993,9.22,10.168,3.876,0.309,,,0.309,-5.133,,,,-5.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1994,9.925,8.581,3.9,0.107,,,0.107,-2.663,,,,-2.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1994,13.434,10.386,3.923,-1.305,,,-1.305,0.43,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1994,19.566999,10.2,4.001,3.233,,,3.233,2.133,,,,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.566999,,,
11/30/1994,12.205,8.683,4.008,2.755,,,2.755,-3.241,,,,-3.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1995,6.833,8.582,4.112,-5.509,,,-5.509,-0.352,,,,-0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1995,15.189,9.907,4.162,-0.828,,,-0.828,1.948,,,,1.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1995,22.171,9.843,4.135,2.805,,,2.805,5.388,,,,5.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.171,,,
11/30/1995,9.967,8.565,4.276,2.923,,,2.923,-5.797,,,,-5.797,,-7.706,,,,-7.706,,,,,,,,,,7.706,,,,,,,,,,,,,,,,
02/29/1996,7.252,9.322,4.398,-5.655,,,-5.655,-0.813,,,,-0.813,,-8.899,,,,-8.899,,,,,,,,,,8.899,,,,,,,,,,,,,,,,
05/31/1996,25.347,10.964,4.533,4.1,,,4.1,5.75,,,,5.75,,-9.953,,,,-9.953,,,,,,,,,,9.953,,,,,,,,,,,,,,,,
08/31/1996,17.788,10.357,4.486,-0.223,,,-0.223,3.168,,,,3.168,-17.195,-17.195,,,,-17.195,,,,,,,,,,0.0,,,,,,,,,,,,,0.593,,,
11/30/1996,11.403,8.166,4.831,1.97,,,1.97,-3.564,,,,-3.564,,-20.947001,,,,-20.947001,,,,,,,,,,20.947001,,,,,,,,,,,,,,,,
02/28/1997,4.35,8.404,4.962,-6.665,,,-6.665,-2.351,,,,-2.351,,-9.67,,,,-9.67,,,,,,,,,,9.67,,,,,,,,,,,,,,,,
05/31/1997,22.341999,9.583,5.12,3.341,,,3.341,4.298,,,,4.298,,-10.222,,,,-10.222,,,,,,,,,,10.222,,,,,,,,,,,,,,,,
08/31/1997,19.273001,2.294,5.283,9.486,,,9.486,2.21,,,,2.21,-9.944,-9.944,,,,-9.944,,,,,,,,,,0.0,,,,,,,,,,,,,9.329001,,,
11/30/1997,8.516,6.207,5.112,-1.414,,,-1.414,-1.389,,,,-1.389,-5.089,-6.879,0.0,,,-6.879,,,0.0,0.0,0.0,,,,,1.79,-7.611,-4.653,-3.0,,,,0.042,0.042,0.0,0.0,,,-4.184,,,
