Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,127.991997,,-117.677002,,,10.314995,,-6.55,,,,3.765,-0.101,,1.226,,0.0,,-1.125,3.664,-0.536,3.128,0.0,,,3.128,-0.379,2.749,0.0,,2.749,2.749,,8.25,0.33,0.33,,8.25,0.33,0.33,0.33,
06/30/1990,142.154999,,-129.003998,,,13.151001,,-5.377,,,,7.774,-0.305,,1.198,,0.0,,-0.893,7.469,-1.389,6.08,0.0,,,6.08,-0.901,5.179,0.0,,5.179,5.179,,8.25,0.63,0.63,,8.25,0.63,0.63,0.63,
09/30/1990,145.597,,-135.078995,,,10.518005,,-5.745,,,,4.773,0.061,,1.144,,0.0,,-1.205,4.834,-0.745,4.089,0.0,,,4.089,-0.335,3.754,0.0,,3.754,3.754,,8.25,0.46,0.46,,8.25,0.46,0.46,0.46,
12/31/1990,135.643005,,-130.526001,,,5.117004,,-5.27,,,,-0.153,1.75,,1.15,,0.0,,-2.9,1.597,-0.358,1.239,0.0,,,1.239,-0.392,0.847,0.0,,0.847,0.847,,8.25,0.09,0.09,0.09,8.25,0.09,0.09,0.09,
03/31/1991,141.026993,,-134.216995,,,6.809998,,-5.616,,,,1.194,-0.403,,1.125,,0.0,,-0.722,0.791,-0.669,0.122,0.0,,,0.122,-0.314,-0.192,0.0,,-0.192,-0.192,,8.25,-0.02,-0.02,,8.25,-0.02,-0.02,-0.02,
06/30/1991,137.324005,,-131.296005,,,6.028,,-5.718,,,,0.31,-0.616,,1.085,,0.0,,-0.469,-0.306,-0.74,-1.046,0.0,,,-1.046,-0.317,-1.363,0.0,,-1.363,-1.363,,8.25,-0.17,-0.17,,8.25,-0.17,-0.17,-0.17,
09/30/1991,149.029999,,-145.559006,,,3.470993,,-5.89,,,,-2.419,-0.94,,1.133,,0.0,,-0.193,-3.359,-0.762,-4.121,0.0,,,-4.121,-0.319,-4.44,0.0,,-4.44,-4.44,,8.25,-0.54,-0.54,,8.25,-0.54,-0.54,-0.54,
01/01/1992,141.024002,,-140.630005,,,0.393997,,-6.479,,,,-6.085,-0.57,,1.073,,0.0,,-0.503,-6.655,-0.582,-7.237,0.0,,,-7.237,-0.17,-7.407,0.0,,-7.407,-7.407,,8.25,-0.89,-0.89,-0.89,8.25,-0.89,-0.89,-0.89,
03/31/1992,153.395004,,-146.238998,,,7.156006,,-5.342,,,,1.814,-0.72,,1.173,,0.0,,-0.453,1.094,-0.685,0.409,0.0,,,0.409,-0.214,0.195,0.0,,0.195,0.195,,8.26,0.02,0.02,,8.26,0.02,0.02,0.02,
06/30/1992,130.242996,,-126.197998,,,4.044998,,-5.648,,,,-1.603,-0.357,,1.108,,0.0,,-0.751,-1.96,-0.568,-2.528,0.0,,,-2.528,-0.188,-2.716,0.0,,-2.716,-2.716,,8.25,-0.33,-0.33,,8.25,-0.33,-0.33,-0.33,
09/30/1992,124.779999,,-120.686996,,,4.093002,,-5.433,,,,-1.34,-0.737,,0.985,,0.0,,-0.248,-2.077,-0.811,-2.888,-1.191,,,-1.697,-0.288,-1.985,-1.14,,-3.125,-3.125,,7.085,-0.44,-0.61,,7.085,-0.44,-0.61,-0.61,
12/31/1992,132.550003,,-130.031006,,,2.518997,,-35.035999,,,,-32.516998,-0.526,,0.898,,0.0,,-0.372,-33.042998,-1.431,-34.473999,1.191,,,-35.664998,-0.853,-36.518002,-1.222,,-37.740002,-37.740002,,6.954,-5.43,-4.76,-4.76,6.954,-5.43,-4.76,-4.76,
03/31/1993,115.199997,,-109.074997,,,6.125,,-7.176,,,,-1.051,-0.781,,1.255,,0.0,,-0.474,-1.832,-0.623,-2.455,0.0,,,-2.455,-0.264,-2.719,-1.222,,-3.941,-3.941,,6.954,-0.57,-0.57,,6.954,-0.57,-0.57,-0.57,
06/30/1993,110.676003,,-104.460999,,,6.215004,,-6.011,,,,0.204,0.549,,1.108,,0.0,,-1.657,0.753,-0.501,0.252,0.0,,,0.252,-0.169,0.083,-1.222,,-1.139,-1.139,,6.954,-0.16,-0.16,,6.954,-0.16,-0.16,-0.16,
09/30/1993,117.275002,,-110.341003,,,6.933998,,-8.85,,,,-1.916,-0.465,,1.097,,0.0,,-0.632,-2.381,-0.03,-2.411,0.0,,,-2.411,-0.304,-2.715,-1.222,,-3.937,-3.937,,6.954,-0.57,-0.57,,6.954,-0.57,-0.57,-0.57,
12/31/1993,126.747002,,-133.251999,,,-6.504997,,-6.712,,,,-13.217,-78.734003,,1.476,,0.0,,77.258003,-91.951003,-0.333,-92.283997,0.0,,,-92.284003,-0.011,-92.294998,-1.222,,-93.516998,-93.516998,,6.954,-13.44,-13.44,-13.44,6.954,-13.44,-13.44,-13.44,
03/31/1994,99.234001,,-96.144997,,,3.089005,,-6.551,,,,-3.462,-0.562,,1.093,,0.0,,-0.531,-4.024,-0.569,-4.593,0.0,,,-4.593,-0.195,-4.788,-1.222,,-6.01,-6.01,,6.955,-0.86,-0.86,,6.955,-0.86,-0.86,-0.86,
06/30/1994,108.762001,,-102.345001,,,6.417,,-7.016,,,,-0.599,-0.406,,1.189,,0.0,,-0.783,-1.005,-0.596,-1.601,0.0,,,-1.601,-0.109,-1.71,-1.222,,-2.932,-2.932,,6.955,-0.42,-0.42,,6.955,-0.42,-0.42,-0.42,
09/30/1994,96.751999,,-88.301003,,,8.450996,,-7.536,,,,0.915,-1.138,,1.595,,0.0,,-0.457,-0.223,-0.266,-0.489,0.0,,,-0.489,-0.214,-0.703,-1.222,,-1.925,-1.925,,6.955,-0.28,-0.28,,6.955,-0.28,-0.28,-0.28,
12/31/1994,72.613998,,-79.350998,,,-6.737,,-7.435,,,,-14.172,42.459999,,1.548,,0.0,,-44.007999,28.287999,-0.869,27.419001,0.0,,,27.418999,-0.065,27.354,-1.222,,26.132,26.132,,6.956,3.75,3.75,3.75,6.956,3.75,3.75,3.75,
03/31/1995,40.787998,,-49.974998,,,-9.187,,-3.999,,,,-13.186,15.207,,0.342,,0.0,,-15.549,2.021,-0.358,1.663,0.0,,,1.663,-0.185,1.478,-1.222,,0.256,0.256,,6.959,0.04,0.04,,6.959,0.04,0.04,0.04,
06/30/1995,39.467999,,-49.831001,,,-10.363003,,-4.261,,,,-14.624,4.589,,0.339,,0.0,,-4.928,-10.035,-0.239,-10.274,0.0,,,-10.274,-0.169,-10.443,-1.222,,-11.665,-11.665,,6.961,-1.5,-1.5,,6.961,-1.5,-1.5,-1.5,
09/30/1995,20.014,,-31.971001,,,-11.957001,,-4.417,,,,-16.374001,-66.071001,,0.351,,0.0,,65.720001,-82.445002,-0.278,-82.723,0.0,,,-82.723002,-0.264,-82.987,-1.222,,-84.209,-84.209,,6.961,-12.1,-12.1,,6.961,-12.1,-12.1,-12.1,
