Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/1989,156.080002,9.089,9.089,0.0,64.969002,,,29.877001,,,,,3.61,,,,,,107.544998,47.331001,112.555,-65.223999,0.0,,1.204,,,,,1.204,48.535001,,79.459999,79.459999,,,,0.735,,,,,,9.241997,,,,9.241997,89.436996,49.271,,,,,12.505,,,,,12.505,61.776,151.212996,0.0,6.219,,,-0.569,,-0.783,4.867,0.0,4.867,156.079996,
01/31/1990,167.619995,4.803,4.803,0.0,76.248001,,,35.540001,,,,,1.786,,,,,,118.376999,48.078999,114.709999,-66.630997,0.0,,1.164,,,,,1.164,49.242999,,92.762001,92.762001,,,,0.756,,,,,,8.844998,,,,8.844998,102.362999,44.943001,,,,,11.905,,,,,11.905,56.848001,159.210999,0.0,6.219,,,-0.569,,2.759,8.409,0.0,8.409,167.619999,
04/30/1990,150.201004,1.579,1.579,0.0,59.222,,,35.298,,,,,2.907,,,,,,99.005997,50.067001,118.348,-68.280998,0.0,,1.128,,,,,1.128,51.195001,,76.855003,76.855003,,,,0.777,,,,,,11.155999,,,,11.155999,88.788002,40.318001,,,,,11.604,,,,,11.604,51.922001,140.710003,0.0,6.219,,,-0.569,,3.841,9.491,0.0,9.491,150.201003,
07/31/1990,149.503006,3.893,3.893,0.0,56.671001,,,31.785999,,,,,2.628,,,,,,94.977997,53.450001,123.139999,-69.690002,0.0,,1.075,,,,,1.075,54.525001,,66.258003,66.258003,,,,0.8,,,,,,16.311999,,,,16.311999,83.370003,34.136002,,,,,10.626,,,,,10.626,44.762002,128.132005,0.0,6.219,,,-0.569,,15.721,21.371,0.0,21.371,149.503005,
10/31/1990,172.580002,1.639,1.639,0.0,76.998001,,,29.341999,,,,,2.721,,,,,,110.699997,60.845001,132.276001,-71.431,0.0,,1.035,,,,,1.035,61.880001,,94.775002,94.775002,,,,0.823,,,,,,15.064001,,,,15.064001,110.662003,27.549,,,,,10.685,,,,,10.685,38.234,148.896003,0.0,6.219,,,-0.569,,18.034,23.684,0.0,23.684,172.580003,
01/31/1991,190.343994,2.07,2.07,0.0,72.654999,,,40.763,,,,,2.014,,,,,,117.501999,71.846001,144.389999,-72.543999,0.0,,0.996,,,,,0.996,72.842001,,101.620003,101.620003,,,,0.83,,,,,,7.932001,,,,7.932001,110.382004,43.964001,,,,,10.546,,,,,10.546,54.51,164.892004,0.0,6.219,,,-0.569,,19.802,25.452,0.0,25.452,190.344004,
04/30/1991,178.203995,1.253,1.253,0.0,56.563,,,34.589001,,,,,1.578,,,,,,93.983002,83.253998,157.641006,-74.387001,0.0,,0.967,,,,,0.967,84.220998,,79.605003,79.605003,,,,0.655,,,,,,9.819999,,,,9.819999,90.080002,49.563999,,,,,10.453,,,,,10.453,60.016999,150.097001,0.0,6.219,,,-0.569,,22.457,28.107,0.0,28.107,178.204001,
07/31/1991,212.095001,17.172001,17.172001,0.0,61.701,,,29.622999,,,,,2.838,,,,,,111.334,98.733002,174.556,-75.822998,0.0,,2.028,,,,,2.028,100.761002,,80.746002,80.746002,,,,0.474,,,,,,11.456,,,,11.456,92.676003,80.164001,,,,,9.444,,,,,9.444,89.608002,182.284004,0.0,6.219,,,-0.569,,24.160999,29.810999,0.0,29.810999,212.095003,
10/31/1991,235.953003,8.272,8.272,0.0,79.151001,,,37.716999,,,,,3.251,,,,,,128.391006,105.643997,183.774002,-78.129997,0.0,,1.918,,,,,1.918,107.561997,,103.744003,103.744003,,,,0.286,,,,,,12.262996,,,,12.262996,116.292999,80.164001,,,,,10.037,,,,,10.037,90.201001,206.494,0.0,6.219,,,-0.569,,23.809,29.459,0.0,29.459,235.953,
01/31/1992,236.455994,2.485,2.485,0.0,71.883003,,,41.651001,,,,,9.739,,,,,,125.758003,108.889,189.460007,-80.570999,0.0,,1.809,,,,,1.809,110.698,,94.217003,94.217003,,,,21.608,,,,,,11.284998,,,,11.284998,127.110001,80.155998,,,,,10.372,,,,,10.372,90.527998,217.637999,0.0,6.219,,,-0.569,,13.168,18.818,0.0,18.818,236.455998,
