Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,91.325996,78.161003,-7.924,188.222,349.785004,,,,,,,,,,,,,,,,,
06/30/1990,,2.248,66.633003,-13.821,27.572001,82.632004,,,,,,,,,,,,,,,,,
09/30/1990,,-22.247,66.290001,-17.344,-161.945999,-135.246994,,,,,,,,,,,,,,,,,
12/31/1990,,92.443001,70.714996,67.408997,-195.192001,35.375,,,,,,,,,,,,,,,,,
03/31/1991,,101.292999,74.322998,-17.101,217.559998,376.075012,,,,,,,,,,,,,,,,,
06/30/1991,,-5.431,68.199997,-11.43,101.536003,152.875,,,,,,,,,,,,,,,,,
09/30/1991,,-22.879,62.261002,1.042,-125.456001,-85.031998,,,,,,,,,,,,,,,,,
12/31/1991,,95.629997,79.928001,33.660999,-155.257996,53.960999,,,,,,,,,,,,,,,,,
03/31/1992,,111.186996,70.942001,22.216999,60.442001,264.787994,,,,,,,,,,,,,,,,,
06/30/1992,,0.564,69.167999,-3.978,75.046997,140.800995,,,,,,,,,,,,,,,,,
09/30/1992,,-13.818,73.713997,24.711,-91.647003,-7.04,,,,,,,,,,,,,,,,,
12/31/1992,,97.025002,74.015999,30.958,-195.190994,6.808,,,,,,,,,,,,,,,,,
03/31/1993,,143.136002,74.492996,-42.199001,175.483002,350.912994,,,,,,,,,,,,,,,,,
06/30/1993,,6.636,72.250999,-2.909,85.110001,161.087997,,,,,,,,,,,,,,,,,
09/30/1993,,-29.965,72.452003,39.323002,-165.393997,-83.584,,,,,,,,,,,,,,,,,
12/31/1993,,86.109001,75.452003,-172.056,53.027,42.532001,,,,,,,,,,,,,,,,,
