Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,499.38,,,,,,59.484204,,,,16.728365,,,,
06/30/2008,460.858,,,460.858,,,61.324838,,,61.324838,14.556273,,,14.556273,
09/30/2008,774.39,,211.363,985.753,,-6.537,72.910321,,19.900237,92.810558,19.92573,,5.438554,25.364285,
12/31/2008,651.709,,39.383,691.092,,6.537,115.693602,,6.991404,122.685006,35.492479,,2.144823,37.637302,
03/31/2009,597.061,1.864,24.913,623.838,,,50.978961,0.159154,2.127151,53.265266,16.126284,0.050346,0.672886,16.849516,
06/30/2009,636.424,2.483,15.121,654.028,,,53.343973,0.208121,1.267416,54.81951,17.412278,0.067934,0.413704,17.893916,
09/30/2009,737.399,0.046,15.121,752.565,,,60.874249,0.003797,1.248279,62.126243,19.658301,0.001226,0.40311,20.062611,
12/31/2009,775.72,30.564,10.864,817.148,,,61.747234,2.432891,0.864773,65.044898,20.415452,0.804385,0.285919,21.505757,
03/31/2010,1190.814,58.581,0.0,1249.395,,3.78,67.314669,3.311483,0.0,70.626152,27.458173,1.35078,0.0,28.808952,
06/30/2010,517.343,35.858,0.0,553.201,,,26.751224,1.854177,0.0,28.605401,10.910469,0.756225,0.0,11.666693,
09/30/2010,505.426,24.874,0.0,530.3,,,26.727466,1.315364,0.0,28.042829,10.750933,0.529096,0.0,11.280029,
12/31/2010,298.467,15.424,0.0,313.891,,,16.763458,0.866292,0.0,17.62975,6.47296,0.334506,0.0,6.807465,
03/31/2011,293.058,0.0,0.0,293.058,6.095,,16.387061,0.0,0.0,16.387061,6.283255,0.0,0.0,6.283255,
