Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,2236.0,1064.199951,,,758.800011,413.0,,,-1472.900024,0.0,1391.900024,81.0,-497.53299,,,,,,,,182.667007,-18.200001,-24.066999,140.400007,-24.4,116.0,10.7,,,105.300008,0.0,105.300003,0.0,0.0,105.300003,105.300003,,360.799988,0.29,0.32,0.49,360.799988,0.29,0.32,0.49,
06/30/2001,2084.699951,891.099976,,,750.299988,443.299988,,,-1328.400047,0.0,1247.300049,81.099998,-467.710999,,,,,,,,184.188995,-20.200001,-13.189,150.799994,-31.700001,119.099998,0.0,,,119.099994,0.0,119.099998,0.0,0.0,119.099998,119.099998,,360.799988,0.33,0.33,0.51,360.799988,0.33,0.33,0.51,
09/30/2001,2405.0,1255.0,,,746.3,403.7,,,-1676.4,0.0,1597.3,79.1,-393.7,,,,,,,,179.9,-19.7,-5.8,154.4,-34.5,119.9,4.1,,,115.8,0.0,115.8,0.0,0.0,115.8,115.8,,360.8,0.32,0.33,0.47,360.8,0.32,0.33,0.47,
12/31/2001,2040.3,912.0,,,623.1,505.2,,,-1318.1,0.0,1245.6,72.5,-509.319,,,,,,,,8.681,-18.1,18.119,8.7,9.9,18.6,0.0,,,18.6,0.0,18.6,0.0,0.0,18.6,18.6,,367.2,0.05,0.05,0.5,367.2,0.05,0.05,0.5,
03/31/2002,2227.8,885.7,,,909.2,432.9,,,-1285.6,0.0,1203.2,82.4,-592.2,,,,,,,,350.0,0.0,0.0,350.0,-106.3,243.7,278.6,,,-34.9,0.0,-34.9,0.0,0.0,-34.9,-34.9,,360.4,-0.1,0.68,0.51,360.7,-0.1,0.68,0.51,
06/30/2002,2335.5,1166.6,,,731.7,437.2,,,-1587.4,0.0,1507.9,79.5,-410.3,,,,,,,,167.7,-19.4,0.0,148.3,-31.9,116.4,-3.8,,,120.2,,120.2,0.0,0.0,120.2,120.2,,356.8,0.34,0.33,0.52,357.3,0.34,0.33,0.52,
09/30/2002,1995.9,888.7,,,590.6,516.6,,,-1310.7,0.0,1231.6,79.1,-423.7,,,,,,,,76.6,-18.6,-13.0,45.0,-2.4,42.6,201.0,,,-158.4,0.0,-158.4,0.0,0.0,-158.4,-158.4,,347.2,-0.46,0.12,0.58,348.2,-0.45,0.12,0.58,
12/31/2002,2333.6,940.8,,,759.1,633.7,,,-1354.4,0.0,1278.8,75.6,-435.0,,,,,,,,170.6,-22.0,129.4,278.0,-60.8,217.2,1.8,,,215.4,0.0,215.4,0.0,0.0,215.4,215.4,,336.7,0.64,0.65,0.53,337.4,0.64,0.64,0.53,
03/31/2003,2296.8,905.5,905.5,0.0,759.3,632.0,,,-1275.3,0.0,1195.2,80.1,-465.1,,,,,,,,243.0,-20.8,0.0,222.2,-65.8,156.4,0.7,,,155.7,0.0,155.7,0.0,0.0,155.7,155.7,,331.4,0.47,0.47,0.63,331.7,0.47,0.47,0.63,
06/30/2003,1951.5,875.7,,,799.1,276.7,,,-1259.1,0.0,1185.2,73.9,-490.3,,,,,,,,202.1,,0.0,202.1,-50.0,152.1,-50.1,,,202.2,0.0,202.2,0.0,0.0,202.2,202.2,,326.9,0.62,0.46,0.46,327.4,0.62,0.46,0.46,
09/30/2003,1972.1,867.8,,,821.4,289.3,,,-1253.1,0.0,1174.4,78.7,-494.5,,,,,,,,224.5,,0.0,224.5,-55.8,168.7,-15.8,,,184.5,0.0,184.5,0.0,0.0,184.5,184.5,,323.5,0.57,0.52,0.63,324.1,0.57,0.52,0.63,
12/31/2003,2478.5,983.2,,,875.6,619.7,,,-1377.8,0.0,1302.6,75.2,-888.9,,,,,,,,211.8,,0.0,211.8,-18.4,193.4,-10.5,,,203.9,,203.9,0.0,0.0,203.9,203.9,,323.3,0.63,0.6,0.46,323.3,0.63,0.6,0.46,
03/31/2004,1996.7,920.4,920.4,0.0,743.7,332.6,,,-1259.4,0.0,1186.1,73.3,-500.5,,,,,,,,236.8,-29.0,0.0,207.8,-44.4,163.4,-30.2,,,193.6,0.0,193.6,0.0,0.0,193.6,193.6,,320.8,0.6,0.51,0.58,322.0,0.6,0.51,0.58,
06/30/2004,1979.7,892.6,892.6,0.0,722.9,364.2,,,-1295.5,0.0,1221.1,74.4,-490.0,,,,,,,,194.2,-31.1,0.0,163.1,-34.2,128.9,9.2,,,119.7,0.0,119.7,0.0,0.0,119.7,119.7,,317.9,0.38,0.41,0.55,319.2,0.37,0.4,0.54,
09/30/2004,2088.7,923.8,923.8,0.0,801.3,363.6,,,-1310.0,0.0,1238.0,72.0,-522.4,,,,,,,,256.3,-20.9,0.0,235.4,-40.7,194.7,-104.1,,,298.8,0.0,298.8,0.0,0.0,298.8,298.8,,311.7,0.96,0.62,0.66,313.0,0.95,0.62,0.66,
12/31/2004,2237.7,973.2,,,852.9,411.6,,,-1391.3,0.0,1314.3,77.0,-556.1,,,,,,,,290.3,-15.9,0.0,274.4,-59.4,215.0,1.5,,,213.5,0.0,213.5,0.0,0.0,213.5,213.5,,302.8,0.7,0.71,0.66,304.7,0.7,0.71,0.66,
03/31/2005,2143.7,934.1,,,792.4,417.2,,,-1307.2,0.0,1234.3,72.9,-537.7,,,,,,,,298.8,-19.2,0.0,279.6,-74.7,204.9,-0.6,,,205.5,0.0,205.5,0.0,0.0,205.5,205.5,,299.5,0.69,0.68,0.7,301.2,0.68,0.68,0.69,
06/30/2005,2200.4,948.9,,,846.2,405.3,,,-1336.7,0.0,1264.5,72.2,-558.7,,,,,,,,305.0,-22.1,0.0,282.9,-59.3,223.6,-15.3,,,238.9,0.0,238.9,0.0,0.0,238.9,238.9,,288.9,0.83,0.78,0.77,291.4,0.82,0.77,0.76,
09/30/2005,2218.4,943.4,,,851.7,423.3,,,-1355.2,0.0,1281.3,73.9,-559.8,,,,,,,,303.4,-17.0,0.0,286.4,-67.1,219.3,-0.1,,,219.4,0.0,219.4,-9.4,0.0,210.0,210.0,,279.8,0.75,0.75,0.76,283.9,0.74,0.74,0.75,
12/31/2005,2479.2,1148.6,,,858.6,472.0,,,-1576.8,0.0,1502.8,74.0,-604.8,,,,,,,,297.6,-22.8,0.0,274.8,-31.1,243.7,-11.5,,,255.2,0.0,255.2,-8.3,0.0,246.9,246.9,,280.5,0.88,0.84,0.78,282.9,0.87,0.83,0.77,
