Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,43029.6,1655.3,1655.3,0.0,2733.2,2733.2,,976.3,0.0,48.9,68.2,1767.3,1430.7,,,,,,6795.5,3232.8,5110.1,-1877.3,0.0,,,33001.3,18914.8142,18904.3,10.5142,,,14086.4858,36234.1,,596.4,596.4,,,,747.1,,,,,,4035.1,,,4035.1,5378.6,7153.2,,,,,8759.1,,,,8759.1,15912.3,21290.9,0.0,44305.2,,,-334.3,-21836.4,-397.5,21737.0,1.7,21738.7,43029.6,
03/31/2006,42503.3,1286.8,1286.8,0.0,2770.8,2770.8,,800.3,,,,,1338.4,,,,,,6196.3,3205.0,5165.8,-1960.8,0.0,,,33102.0,29705.9,19192.0,10513.9,,,3396.1,36307.0,,479.9,479.9,,,,17.4,,,,,,3946.0,,,3946.0,4443.3,7085.3,,,,,8845.5,,,,8845.5,15930.8,20374.1,0.0,44480.6,,,-321.1,-21609.5,-422.5,22127.5,1.7,22129.2,42503.3,
06/30/2006,43069.5,3061.8,3061.8,0.0,2451.9,2451.9,,743.8,,,,,1252.6,,,,,,7510.1,2704.2,4125.5,-1421.3,0.0,,,32855.2,29473.1,18983.0,10490.1,,,3382.1,35559.4,,378.9,378.9,,,,16.3,,,,,,3871.1,,,3871.1,4266.3,7019.4,,,,,8670.9,,,,8670.9,15690.3,19956.6,0.0,44592.8,,,-321.1,-20827.8,-332.8,23111.1,1.8,23112.9,43069.5,
09/30/2006,43485.8,3176.6,3176.6,0.0,2582.2,2582.2,,838.2,,,,,1275.5,,,,,,7872.5,2705.0,4172.6,-1467.6,0.0,,,32908.3,29467.4,18994.9,10472.5,,,3440.9,35613.3,,426.0,426.0,,,,14.8,,,,,,3808.8,,,3808.8,4249.6,7033.0,,,,,8954.9,,,,8954.9,15987.9,20237.5,0.0,44385.0,,,-315.4,-20510.9,-311.1,23247.6,0.7,23248.3,43485.8,
12/31/2006,43508.8,3074.6,3074.6,0.0,2824.0,2824.0,,982.9,0.0,40.1,82.9,1542.6,1262.6,,,,,,8144.1,2813.8,4274.6,-1460.8,0.0,,,32550.9,29246.5,18821.5,10425.0,,,3304.4,35364.7,,502.3,502.3,,,,15.0,,,,,,3882.2,,,3882.2,4399.5,7027.3,,,,,8558.5,,,,8558.5,15585.8,19985.3,0.0,44260.1,,,-315.4,-20175.9,-246.3,23522.5,1.0,23523.5,43508.8,
03/31/2007,43325.6,3378.6,3378.6,0.0,2835.4,2835.4,,768.9,,,,,1274.6,,,,,,8257.5,2812.2,4278.1,-1465.9,0.0,,,32255.9,29024.4,18719.0,10305.4,,,3231.5,35068.1,,399.6,399.6,,,,677.6,,,,,,4248.2,,,4248.2,5325.4,7047.7,,,,,8486.2,,,,8486.2,15533.9,20859.3,0.0,44369.2,,,-1720.5,-19958.3,-224.9,22465.5,0.8,22466.3,43325.6,
06/30/2007,42691.8,2796.8,2796.8,0.0,2541.7,2541.7,,729.6,,,,,1360.7,,,,,,7428.8,2809.4,4517.7,-1708.3,0.0,,,32453.6,29277.1,19022.8,10254.3,,,3176.5,35263.0,,396.1,396.1,,,,19.5,,,,,,3981.4,,,3981.4,4397.0,6995.8,,,,,8665.1,,,,8665.1,15660.9,20057.9,0.0,44325.9,,,-1954.3,-19554.2,-184.1,22633.3,0.6,22633.9,42691.8,
09/30/2007,41101.7,1226.0,1226.0,0.0,2592.9,2592.9,,792.2,,,,,1132.2,,,,,,5743.3,2844.5,4581.6,-1737.1,0.0,,,32513.9,29321.9,19081.5,10240.4,,,3192.0,35358.4,,375.6,375.6,,,,19.8,,,,,,3867.8,,,3867.8,4263.2,7035.9,,,,,8603.4,,,,8603.4,15639.3,19902.5,0.0,44228.8,,,-3703.3,-19211.0,-116.4,21198.1,1.1,21199.2,41101.7,
12/31/2007,40430.2,1346.9,1346.9,0.0,2678.0,2678.0,,971.9,0.0,31.2,95.0,1422.3,1034.1,,,,,,6030.9,2921.5,4683.4,-1761.9,0.0,,,31477.8,28533.3,18452.0,10081.3,,,2944.5,34399.3,,352.3,352.3,,,,19.1,,,,,,4033.2,,,4033.2,4404.6,7068.6,,,,,7483.1,,,,7483.1,14551.7,18956.3,0.0,44090.4,,,-3703.3,-18924.8,10.1,21472.4,1.5,21473.9,40430.2,
03/31/2008,41031.3,2258.9,2258.9,,2923.0,2923.0,,750.0,,,,,1059.9,,,,,,6991.8,2893.0,4699.7,-1806.7,,,,31146.5,28441.6,18480.6,9961.0,,,2704.9,34039.5,,328.1,328.1,,,,14.6,,,,,,4394.2,,,4394.2,4736.9,7112.0,,,,,7513.7,,,,7513.7,14625.7,19362.6,,43958.7,,,-3693.4,-18680.5,82.2,21667.0,1.7,21668.7,41031.3,
06/30/2008,41247.8,813.9,813.9,,2668.0,2668.0,,635.7,,,,,1116.0,,,,,,5233.6,3027.3,4863.4,-1836.1,,,,32986.9,30077.8,20134.3,9943.5,,,2909.1,36014.2,,364.3,364.3,,,,16.7,,,,,,4319.4,,,4319.4,4700.4,7072.7,,,,,7545.4,,,,7545.4,14618.1,19318.5,,43800.1,,,-3693.4,-18272.1,92.6,21927.2,2.1,21929.3,41247.8,
09/30/2008,27173.7,553.1,553.1,,2780.4,2780.4,,781.5,,,,,1102.8,,,,,,5217.8,3030.6,4921.2,-1890.6,,,,18925.3,15877.9,8897.1,6980.8,,,3047.4,21955.9,,387.0,387.0,,,,15.8,,,,,,4269.4,,,4269.4,4672.2,7084.3,,,,,6241.1,,,,6241.1,13325.4,17997.6,,43652.3,,,-3693.4,-30734.3,-51.1,9173.5,2.6,9176.1,27173.7,
12/31/2008,27080.9,419.5,419.5,,2749.9,2749.9,,1027.3,,53.6,83.7,890.0,1019.2,,,,,,5215.9,3008.3,4899.5,-1891.2,,,,18856.7,15752.0,8647.8,7104.2,,,3104.7,21865.0,,462.8,462.8,,,,21.3,,,,,,4316.8,,,4316.8,4800.9,6974.8,,,,,6707.9,,,,6707.9,13682.7,18483.6,0.0,43495.8,,,-3693.4,-30598.2,-606.9,8597.3,0.0,8597.3,27080.9,
03/31/2009,26405.8,239.6,239.6,0.0,2932.9,2932.9,0.0,753.3,,,,,1037.7,,,,275.6,703.5,4963.5,2957.1,4906.6,-1949.5,0.0,,,18485.2,15650.6,8590.1,7060.5,,,2741.6,21442.3,,2010.1,354.4,17.0,,1638.7,22.5,0.0,,,,22.5,2428.9,,,1996.3,4461.5,7108.7,7108.7,,,,6365.9,,2287.3,344.4,3458.6,13474.6,17936.1,0.0,43490.1,0.8,43489.3,-3693.4,-30653.5,-673.5,8469.7,0.0,8469.7,26405.8,
06/30/2009,26025.9,341.5,341.5,0.0,2677.2,2677.2,0.0,648.5,,,,,1043.9,,,,,1043.9,4711.1,2958.4,5032.4,-2074.0,0.0,,,18356.4,15697.3,8659.4,7037.9,,,2659.1,21314.8,,2410.8,384.0,,,2026.8,22.5,0.0,,,,22.5,1703.6,,,1703.6,4136.9,6964.3,6964.3,,,,6314.6,,,,6314.6,13278.9,17415.8,0.0,,,,,,8610.1,8610.1,0.0,8610.1,26025.9,
09/30/2009,26560.5,473.8,473.8,0.0,2726.9,2726.9,0.0,861.3,,,,,1039.3,,6.8,,271.9,702.7,5101.3,2899.2,5065.7,-2166.5,0.0,,,18560.0,15615.2,8661.3,6953.9,,,2848.3,21459.2,,2168.1,373.6,81.7,,1712.8,22.7,0.0,,,,22.7,2029.8,,,1589.1,4220.6,6963.7,6963.7,,,,6530.0,,2301.9,484.8,3471.4,13493.7,17714.3,0.0,43485.9,0.8,43485.1,-3693.4,-30430.5,-515.8,8846.2,0.0,8846.2,26560.5,
03/31/2010,26756.1,872.7,872.7,0.0,3198.7,3198.7,0.0,604.8,,,,,1029.0,14.8,,,256.7,701.4,5705.2,2785.6,4986.4,-2200.8,0.0,,,18265.3,15377.0,8663.3,6713.7,,,2800.1,21050.9,,1950.0,335.6,0.0,,1614.4,442.5,0.0,,,,442.5,2319.8,,,1907.5,4712.3,6528.3,6528.3,,,,6469.4,,2115.4,610.7,3486.6,12997.7,17710.0,0.0,43457.0,0.8,43456.2,-3689.2,-30397.9,-323.8,9046.1,0.0,9046.1,26756.1,
06/30/2010,26014.2,838.1,838.1,0.0,2895.6,2895.6,0.0,496.8,,,,,1011.0,21.0,4.1,,250.9,678.6,5241.5,2715.4,4954.1,-2238.7,0.0,,,18057.3,15342.1,8660.1,6682.0,,,2622.8,20772.7,,1922.9,332.7,0.0,,1590.2,26.1,0.0,,,,26.1,1958.7,,,1672.3,3907.7,6515.9,6515.9,,,,6407.6,,2114.5,696.5,3345.7,12923.5,16831.2,0.0,43449.5,0.8,43448.7,-3689.2,-30247.8,-329.5,9183.0,0.0,9183.0,26014.2,
09/30/2010,26488.6,1072.0,1072.0,0.0,3035.5,3035.5,0.0,552.3,,,,,1018.9,,0.9,,250.0,708.0,5678.7,2681.8,5031.0,-2349.2,0.0,,,18128.1,15172.2,8520.0,6652.2,,,2865.0,20809.9,,2149.7,397.4,95.4,,1656.9,570.5,0.0,,,,570.5,1920.8,,,1578.1,4641.0,5966.7,5966.7,,,,6353.9,,2110.3,614.2,3379.4,12320.6,16961.6,0.0,43448.5,0.8,43447.7,-3689.2,-29930.5,-301.8,9527.0,0.0,9527.0,26488.6,
