Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2002,112.980003,,-92.917,,20.063004,,-45.612,,,,-25.549,-180.453995,,0.125,0.0,180.328995,-206.002995,24.058001,,,-181.945007,0.0,,,-181.944994,0.0,-181.945007,0.0,0.0,-181.945007,-181.945007,,137.367996,-1.33,-1.33,-0.02,137.367996,-1.33,-1.33,-0.02,
09/27/2002,150.673004,,-89.961998,,60.711006,,-56.351002,,,,4.36,-5.644,,4.102,0.0,1.542,-1.284,-0.199,,,-1.483,0.0,,,-1.483,0.0,-1.483,0.0,0.0,-1.483,-1.483,,137.464005,-0.01,-0.01,-0.03,137.464005,-0.01,-0.01,-0.03,
12/31/2002,160.194,,-95.074,,65.12,,-58.68,,,,6.44,-4.911,5.734,5.734,,-0.823,1.529,-0.738,,,0.791,397.139,,,-396.348,,-396.348,,0.0,-396.348,-396.348,,137.896,-2.874253,0.005736,0.005736,137.896,-2.874253,0.005736,0.005736,
03/31/2003,157.364,,-93.845,,63.519,,-64.452,,,,-0.933,-4.421,,5.047,,-0.626,-5.354,-0.601,,,-5.955,,,,-5.955,,-5.955,,0.0,-5.955,-5.955,,138.141,-0.04,-0.04,-0.04,138.141,-0.04,-0.04,-0.04,
06/27/2003,150.199,,-94.121,,56.078,,-57.214,,,,-1.136,-4.787,,5.069,0.0,-0.282,-5.923,-0.263,,,-6.186,0.0,,,-6.186,0.0,-6.186,0.0,0.0,-6.186,-6.186,,138.729,-0.04,-0.04,-0.04,138.729,-0.04,-0.04,-0.04,
09/30/2003,150.032,,-97.425,,52.607,,-90.517,,,,-37.91,-5.967,5.553,5.553,,0.414,-43.877,0.95,,,-42.927,397.139,,,-440.066,,-440.066,0.0,0.0,-440.066,-440.066,,142.738,-3.083033,-0.30074,-0.30074,142.738,-3.083033,-0.30074,-0.30074,
01/02/2004,175.108,,-108.368,,66.74,,-56.367,,,,10.373,-4.921,5.374,5.374,0.0,-0.453,5.452,-1.28,,,4.172,0.0,,,4.172,0.0,4.172,0.0,0.0,4.172,4.172,,148.784,0.03,0.03,0.03,150.997,0.03,0.03,0.03,
04/02/2004,183.471,,-114.167,,69.304,,-73.674,,,,-4.37,-5.1,,5.403,0.0,-0.303,-9.47,0.049,,,-9.421,0.0,,,-9.421,0.0,-9.421,0.0,0.0,-9.421,-9.421,,149.396,-0.06,-0.06,-0.06,149.396,-0.06,-0.06,-0.06,
07/02/2004,207.377,,-126.528,,80.849,0.0,-63.038,25.306,,37.732,17.811,-3.214,,3.61,0.0,-0.396,14.597,-1.567,,,13.03,0.0,,,13.03,0.0,13.03,0.0,0.0,13.03,13.03,,153.062,0.09,0.09,0.09,155.274,0.08,0.08,0.08,
10/01/2004,218.067,,-121.744,,96.323,,-77.485,,,,18.838,-3.56,,3.56,,-0.539,15.817,-1.186,,,14.631,,,,14.631,,14.631,,0.0,14.631,14.631,,157.118,0.093121,0.093121,0.093121,161.301,0.090706,0.090706,0.090706,
12/31/2004,220.16,,-132.141,,88.019,0.0,-65.074,27.224,,37.85,22.945,-2.412,3.533,3.533,,-1.121,20.533,-6.616,,,13.917,,,,13.917,,13.917,,0.0,13.917,13.917,,156.44,0.09,0.09,0.09,158.905,0.09,0.09,0.09,
03/31/2005,190.505,,-117.906,,72.599,0.0,-64.279,25.058,,39.221,8.32,-2.568,,3.635,,-1.067,5.752,-4.508,,,1.244,0.0,,,1.244,0.0,1.244,0.0,0.0,1.244,1.244,,157.235,0.01,0.01,0.04,158.435,0.01,0.01,0.04,
06/30/2005,191.532,,-113.658,,77.874,0.0,-66.104,25.745,,40.359,11.77,-2.147,,3.683,0.0,-1.536,9.623,-2.234,,,7.389,0.0,,,7.389,0.0,7.389,0.0,0.0,7.389,7.389,,157.809,0.05,0.05,0.05,158.682,0.05,0.05,0.05,
09/30/2005,190.174,,-120.894,,69.28,,-62.182,,,,7.098,-3.746,,3.746,0.0,-1.729,5.081,-2.02,,,3.061,0.0,,,3.061,0.0,3.061,0.0,0.0,3.061,3.061,8.01125,158.328,0.019333,0.019333,0.050599,159.406,0.019203,0.019203,0.050256,
12/31/2005,198.325,,-123.602,,74.723,,-66.219,,,,8.504,-1.493,3.812,3.812,0.0,-2.319,7.011,-2.724,,,4.287,0.0,,,4.287,0.0,4.287,0.0,0.0,4.287,4.287,,158.573,0.03,0.03,0.07,158.827,0.03,0.03,0.07,
03/31/2006,185.234,,-115.884,,69.35,,-66.803,,,,2.547,-2.016,4.446,4.446,,-2.43,0.531,0.395,,,0.926,0.0,,,0.926,0.0,0.926,0.0,0.0,0.926,0.926,,159.084,0.01,0.01,0.02,159.629,0.01,0.01,0.02,
06/30/2006,197.058,,-123.711,,73.347,,-67.488,,,,5.859,-1.409,3.231,3.231,0.0,-1.822,4.45,-1.445,,,3.005,0.0,,,3.005,0.0,3.005,0.0,0.0,3.005,3.005,,159.699,0.02,0.02,0.02,160.876,0.02,0.02,0.02,
09/29/2006,193.133,,-147.874,,45.259,,-101.541,,,,-56.282,-28.484,,3.308,0.0,25.176,-84.766,-11.604,,,-96.37,0.0,,,-96.37,0.0,-96.37,0.0,0.0,-96.37,-96.37,,160.278,-0.6,-0.6,0.04,160.278,-0.6,-0.6,0.04,
12/29/2006,196.03,,-120.714,,75.316,,-54.976,,,,20.34,-6.567,3.249,3.249,0.0,3.318,13.773,-1.736,,,12.037,0.0,,,12.037,0.0,12.037,0.0,0.0,12.037,12.037,,161.183,0.07,0.07,0.12,162.88,0.07,0.07,0.12,
03/30/2007,180.21,,-111.508,,68.702,,-55.669,,,,13.033,-1.211,4.114,4.114,0.0,-2.903,11.822,0.375,,,12.197,0.0,,,12.197,0.0,12.197,0.0,0.0,12.197,12.197,,160.687,0.08,0.08,0.08,161.972,0.08,0.08,0.08,
06/29/2007,175.05,,-106.418,,68.632,,-55.959,,,,12.673,-0.056,2.565,2.565,0.0,-2.509,12.617,-1.194,,,11.423,0.0,,,11.423,0.0,11.423,0.0,0.0,11.423,11.423,,158.606,0.07,0.07,0.08,160.032,0.07,0.07,0.08,
09/28/2007,190.454,,-115.719,,74.735,,-56.565,,,,18.17,0.388,2.662,2.662,0.0,-3.05,18.558,3.435,,,21.993,0.0,,,21.993,0.0,21.993,0.0,0.0,21.993,21.993,,159.496,0.14,0.14,0.12,167.006,0.14,0.14,0.12,
12/28/2007,210.533,,-128.195,,82.338,,-61.313,,,,21.025,-0.158,2.208,2.208,0.0,-2.05,20.867,-1.789,,,19.078,0.0,,,19.078,0.0,19.078,0.0,0.0,19.078,19.078,,160.319,0.12,0.12,0.13,162.836,0.12,0.12,0.13,
03/28/2008,201.708,,-121.341,,80.367,,-61.798,,,,18.569,0.114,1.769,1.769,0.0,-1.883,18.683,-2.01,,,16.673,0.0,,,16.673,0.0,16.673,0.0,0.0,16.673,16.673,,161.165,0.1,0.1,0.12,162.982,0.1,0.1,0.12,
06/27/2008,215.21,,-128.776,,86.434,,-63.637,,,,22.797,-0.594,1.658,1.658,0.0,-1.064,22.203,-1.737,,,20.466,0.0,,,20.466,0.0,20.466,0.0,0.0,20.466,20.466,,162.095,0.13,0.13,0.14,164.649,0.12,0.12,0.13,
