Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,51.756001,8.449,8.449,0.0,30.466,,,,1.532,,,,,0.554,,,,41.000999,4.565,,,0.0,,6.19,,,,6.19,10.755,,16.509001,16.509001,,,,1.276,,,,,,2.729999,,,2.729999,20.514999,1.432,,,,,2.071,,,,,,2.071,3.503,24.018,0.0,16.721001,,,-0.13,,11.147,27.738001,0.0,27.738001,51.756,
06/30/1990,52.310001,8.608,8.608,0.0,27.735001,,,,3.589,,,,,0.567,,,,40.499001,5.138,,,0.0,,6.673,,,,6.673,11.811,,14.543,14.543,,,,1.112,,,,,,4.238999,,,4.238999,19.893999,6.863,,,,,2.071,,,,,,2.071,8.934,28.827999,0.0,16.73,,,-5.693,,12.445,23.481999,0.0,23.481999,52.309999,
09/30/1990,53.537998,7.59,7.59,0.0,28.702,,,,3.133,,,,,0.601,,,,40.026001,6.362,,,0.0,,7.15,,,,7.15,13.512,,13.755,13.755,,,,1.097,,,,,,4.502999,,,4.502999,19.355,7.863,,,,,2.071,,,,,,2.071,9.934,29.289,0.0,16.736,,,-5.693,,13.206,24.249,0.0,24.249,53.538,
12/31/1990,44.174999,7.056,7.056,0.0,19.882,,,,1.982,,,,,1.492,,,,30.412001,6.186,11.235,-5.049,0.0,,7.577,,,,7.577,13.763,,5.416,5.416,,,,2.274,,,,,,3.261,,,3.261,10.951,7.729,,,,,2.767,,,,,,2.767,10.496,21.447,0.0,16.747,,,-5.693,,11.674,22.728,0.0,22.728,44.175,
03/31/1991,55.956001,6.441,6.441,0.0,30.657,,,,3.133,,,,,0.952,,,,41.182999,6.296,,,0.0,,8.477,,,,8.477,14.773,,14.125,14.125,,,,2.988,,,,,,4.488,,,4.488,21.601,7.07,,,,,2.729,,,,,,2.729,9.799,31.4,0.0,16.757999,,,-5.693,,13.491,24.555999,0.0,24.555999,55.955999,
06/30/1991,54.882999,6.086,6.086,0.0,30.523001,,,,2.236,,,,,0.602,,,,39.446999,6.462,,,0.0,,8.974,,,,8.974,15.436,,10.142,10.142,,,,3.957,,,,,,6.130999,,,6.130999,20.23,6.325,,,,,2.729,,,,,,2.729,9.054,29.283999,0.0,16.768,,,-5.693,,14.524,25.599,0.0,25.599,54.882999,
09/30/1991,60.316002,8.235,8.235,0.0,31.952999,,,,2.475,,,,,1.431,,,,44.094002,6.569,,,0.0,,9.653,,,,9.653,16.222,,13.581,13.581,,,,3.593,,,,,,7.986,,,7.986,25.16,5.621,,,,,2.729,,,,,,2.729,8.35,33.51,0.0,16.796,,,-5.693,,15.703,26.806,0.0,26.806,60.316,
12/31/1991,56.154999,8.694,8.694,0.0,29.304001,,,,1.454,,,,,0.279,,,,39.730999,6.412,12.805,-6.393,0.0,,10.012,,,,10.012,16.424,,11.053,11.053,,,,0.438,,,,,,5.652,,,5.652,17.143,7.982,,,,,3.513,,,,,,3.513,11.495,28.638,0.0,16.879999,,,-5.693,,16.33,27.516999,0.0,27.516999,56.154999,
03/31/1992,55.154999,10.383,10.383,0.0,24.688999,,,,1.806,,,,,0.704,,,,37.582001,7.159,,,0.0,,10.414,,,,10.414,17.572999,,5.868,5.868,,,,1.076,,,,,,7.782,,,7.782,14.726,7.828,,,,,3.513,,,,,,3.513,11.341,26.067,0.0,16.993,,,-5.693,,17.788,29.088,0.0,29.088,55.155,
06/30/1992,64.971001,9.611,9.611,0.0,32.231998,,,,3.277,,,,,0.91,,,,46.029999,8.383,,,0.0,,10.558,,,,10.558,18.941,,11.299,11.299,,,,2.78,,,,,,8.838,,,8.838,22.917,7.372,,,,,3.363,,,,,,3.363,10.735,33.652,0.0,17.013,,,-5.693,,19.999,31.319,0.0,31.319,64.971,
