Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1883.400024,,,-1314.199951,,569.200073,,-398.899994,,,170.300003,-64.699997,,65.199997,,,0.0,,-0.5,105.600006,-39.400002,66.199997,0.0,,,66.200005,0.0,66.199997,-0.3,,65.899997,65.899997,,362.496002,0.1825,0.1825,,362.496002,0.1825,0.1825,0.1825,
06/30/1990,1988.199951,,,-1398.0,,590.199951,,-407.600006,,,182.600006,-66.199998,,67.099998,,,0.0,,-0.9,116.400008,-44.299999,72.099998,0.0,,,72.100008,0.0,72.099998,-0.3,,71.799998,71.799998,,360.003998,0.2,0.2,,360.003998,0.2,0.2,0.2,
09/29/1990,1898.900024,,,-1325.800049,,573.099976,,-402.399994,,,170.699997,-63.799997,,64.199997,,,0.0,,-0.4,106.9,-40.299999,66.599998,0.0,,,66.600001,0.0,66.599998,-0.3,,66.299998,66.299998,,355.063995,0.1875,0.1875,,355.063995,0.1875,0.1875,0.1875,
12/29/1990,2144.5,,,-1568.699951,,575.800049,,-384.299988,,,191.5,-61.2,,62.0,,,0.0,,-0.8,130.3,-52.200001,78.099998,0.0,,,78.099999,0.0,78.099998,-0.4,,77.699998,77.699998,,341.962004,0.225,0.225,0.225,341.962004,0.225,0.225,0.225,
03/30/1991,1908.300049,,,-1335.900024,,572.400024,,-398.5,,,173.899994,-61.6,,62.0,,,0.0,,-0.4,112.299994,-45.900002,66.400002,0.0,,,66.399992,0.0,66.400002,-0.3,,66.100002,66.100002,,347.791992,0.19,0.19,,347.791992,0.19,0.19,0.19,
06/29/1991,2001.400024,,,-1415.400024,,586.0,,-408.700012,,,177.300003,-53.399999,,61.299999,,,0.0,,-7.9,123.900004,-49.799999,74.099998,0.0,,,74.100005,0.0,74.099998,-0.3,,73.799998,73.799998,,350.084015,0.2125,0.2125,,350.084015,0.2125,0.2125,0.2125,
09/28/1991,1899.099976,,,-1322.599976,,576.5,,-395.899994,,,180.600006,-55.200001,,62.200001,,,0.0,,-7.0,125.400005,-49.700001,75.699997,0.0,,,75.700005,0.0,75.699997,-0.3,,75.399997,75.399997,,351.036011,0.215,0.215,,351.036011,0.215,0.215,0.215,
12/29/1991,2013.699951,,,-1427.099976,,586.599975,,-397.0,,,189.600006,-56.2,,58.5,,,0.0,,-2.3,133.400006,-50.099998,83.300003,0.0,,,83.300008,0.0,83.300003,-0.2,,83.100003,83.100003,,343.862,0.2375,0.2375,0.2375,343.862,0.2375,0.2375,0.2375,
04/04/1992,1995.099976,,,-1066.800049,,928.299927,,-354.0,,,574.299988,-458.999985,,188.199997,,,0.0,,270.799988,115.300003,-45.900002,69.400002,679.5,,,-610.099998,0.0,-610.099976,-0.25,,-610.349976,-610.349976,,353.436005,-1.725,0.1975,,353.436005,-1.725,0.1975,0.1975,
07/04/1992,2161.600098,,,-1201.699951,,959.900146,,-364.100006,,,595.799988,-463.600006,,190.600006,,,0.0,,273.0,132.199982,-51.400002,80.800003,0.0,,,80.79998,0.0,80.800003,-0.25,,80.550003,80.550003,,353.687988,0.2275,0.2275,,353.687988,0.2275,0.2275,0.2275,
10/03/1992,2031.099976,,,-1071.699951,,959.400024,,-359.799988,,,599.599976,-463.899994,,183.399994,,,0.0,,280.5,135.699982,-52.200001,83.5,0.0,,,83.499981,0.0,83.5,-0.25,,83.25,83.25,,354.424011,0.235,0.235,,354.424011,0.235,0.235,0.235,
01/03/1993,2159.699951,,,-1220.5,,939.199951,,-323.899994,,,615.299988,-471.500015,,179.800003,,,0.0,,291.700012,143.799973,-53.400002,90.400002,0.0,,,90.399971,0.0,90.400002,-0.25,,90.150002,90.150002,,355.519988,0.255,0.255,0.255,355.519988,0.255,0.255,0.255,
03/31/1993,2164.699951,,,-1221.0,,943.699951,,-356.5,,,587.200012,-452.600006,,171.100006,,,0.0,,281.5,134.600006,-51.799999,82.800003,0.0,,,82.800007,0.0,82.800003,-0.249,,82.551003,82.551003,,358.399994,0.23,0.23,,358.399994,0.23,0.23,0.23,
07/03/1993,2253.199951,,,-1288.900024,,964.299927,,-364.200012,,,600.099976,-446.699982,,164.899994,,,0.0,,281.799988,153.399994,-59.099998,94.300003,0.0,,,94.299995,0.0,94.300003,-0.249,,94.051003,94.051003,,359.967987,0.2625,0.2625,,359.967987,0.2625,0.2625,0.2625,
10/02/1993,2233.100098,,,-1246.099976,,987.000122,,-370.399994,,,616.599976,-458.5,,167.0,,,0.0,,291.5,158.099976,-58.599998,99.5,0.0,,,99.499977,0.0,99.5,-0.249,,99.251,99.251,,361.212006,0.275,0.275,,361.212006,0.275,0.275,0.275,
12/31/1993,2427.300049,,,-1454.599976,,972.700073,,-350.100006,,,622.599976,-455.199997,,164.800003,,,0.0,,290.399994,167.399979,-64.900002,102.5,0.0,,,102.499977,0.0,102.5,-0.253,,102.247,102.247,,361.552,0.2825,0.2825,0.2825,361.552,0.2825,0.2825,0.2825,
04/02/1994,2408.0,,,-1426.0,,982.0,,-361.0,,,621.0,-452.0,,158.0,,,0.0,,294.0,169.0,-65.0,104.0,0.0,,,104.0,-4.0,100.0,0.0,,100.0,100.0,,362.35199,0.275,0.275,,362.35199,0.275,0.275,0.275,
07/02/1994,2517.0,,,-1483.0,,1034.0,,-380.0,,,654.0,-469.0,,163.0,,,0.0,,306.0,185.0,-71.0,114.0,0.0,,,114.0,-4.0,110.0,0.0,,110.0,110.0,,362.131989,0.305,0.305,,362.131989,0.305,0.305,0.305,
10/01/1994,2381.0,,,-1338.0,,1043.0,,-368.0,,,675.0,-490.0,,168.0,,,0.0,,322.0,185.0,-71.0,114.0,0.0,,,114.0,-3.0,111.0,0.0,,111.0,111.0,,362.308014,0.3075,0.3075,,362.308014,0.3075,0.3075,0.3075,
12/31/1994,2377.0,,,-1267.0,,1110.0,,-380.0,,,730.0,-515.0,,176.0,,,0.0,,339.0,215.0,-101.0,114.0,0.0,,,114.0,-2.0,112.0,0.0,,112.0,112.0,,356.480012,0.315,0.315,0.315,356.480012,0.315,0.315,0.315,
04/01/1995,2029.0,,,-1278.0,,751.0,,-302.0,,,449.0,-292.0,,202.0,,,0.0,,90.0,157.0,-62.0,95.0,-14.0,,,109.0,0.0,109.0,-0.199,,108.801,108.801,,348.220001,0.3125,0.2725,0.3125,348.220001,0.3125,0.2725,0.3125,
07/01/1995,2138.0,,,-1351.0,,787.0,,-306.0,,,481.0,-304.0,,209.0,,,0.0,,95.0,177.0,-70.0,107.0,-14.0,,,121.0,0.0,121.0,-0.199,,120.801,120.801,,346.716003,0.35,0.3075,0.3075,346.716003,0.35,0.3075,0.3075,
09/30/1995,2057.0,,,-1276.0,,781.0,,-352.0,,,429.0,-256.0,,197.0,,,0.0,,59.0,173.0,-69.0,104.0,-18.0,,,122.0,0.0,122.0,0.0,,122.0,122.0,,346.768005,0.3525,0.3005,0.3,346.768005,0.3525,0.3005,0.3,
12/30/1995,2229.0,,,-1389.0,,840.0,,-314.0,,,526.0,-343.0,,183.0,,,0.0,,160.0,183.0,-73.0,110.0,-17.0,,,127.0,0.0,127.0,-0.602,,126.398,126.398,,349.380004,0.3625,0.31575,0.3625,349.380004,0.3625,0.31575,0.3625,
03/30/1996,2214.0,,,-1393.0,,821.0,,-331.0,,,490.0,-309.0,,183.0,,,0.0,,126.0,181.0,-72.0,109.0,74.0,,,35.0,0.0,35.0,-0.199,,34.801,34.801,,337.859985,0.105,0.32,0.32,345.928009,0.1,0.315,0.315,
06/29/1996,2384.0,,,-1520.0,,864.0,,-342.0,,,522.0,-313.0,,183.0,,,0.0,,130.0,209.0,-84.0,125.0,0.0,,,125.0,0.0,125.0,-0.199,,124.801,124.801,,336.376007,0.37,0.37,0.37,345.032013,0.365,0.365,0.365,
09/28/1996,2248.0,,,-1395.0,,853.0,,-394.0,,,459.0,-258.0,,183.0,,,0.0,,75.0,201.0,-81.0,120.0,155.0,,,-35.0,0.0,-35.0,-0.199,,-35.199,-35.199,,334.119995,-0.105,0.36,0.36,342.716003,-0.1,0.35,0.35,
12/31/1996,2428.0,,,-1529.0,,899.0,,-307.0,,,592.0,-379.0,,182.0,,,0.0,,197.0,213.0,-85.0,128.0,0.0,,,128.0,0.0,128.0,-0.199,,127.801,127.801,,331.104004,0.385,0.385,0.385,339.492004,0.375,0.375,0.375,
03/29/1997,2103.0,,,-1656.0,,447.0,,-231.0,,,216.0,-78.0,,39.0,,,0.0,,39.0,138.0,-58.0,80.0,-45.0,,,125.0,0.0,125.0,-0.25,,124.75,124.75,,331.79599,0.375,0.24,0.24,340.776001,0.365,0.235,0.235,
06/28/1997,2207.0,,,-1730.0,,477.0,,-244.0,,,233.0,-67.0,,30.0,,,0.0,,37.0,166.0,-66.0,100.0,-45.0,,,145.0,0.0,145.0,-0.25,,144.75,144.75,,330.346008,0.44,0.3,0.3,339.593994,0.43,0.295,0.295,
09/27/1997,2042.0,,,-1589.0,,453.0,,-230.0,,,223.0,-74.0,,32.0,,,0.0,,42.0,149.0,-58.0,91.0,-47.0,,,138.0,0.0,138.0,-0.25,,137.75,137.75,,329.824006,0.415,0.275,0.275,339.350006,0.405,0.27,0.27,
01/03/1998,2331.0,,,-2014.0,,317.0,,-189.0,,,128.0,41.0,,28.0,,,0.0,,-69.0,169.0,-68.0,101.0,-49.0,,,150.0,0.0,150.0,-0.25,,149.75,149.75,,327.394012,0.46,0.31,0.31,337.053986,0.445,0.3,0.3,
04/04/1998,2252.0,,,-1765.0,,487.0,,-247.0,,,240.0,-76.0,70.0,70.0,,,0.0,,6.0,164.0,-65.0,99.0,-43.0,,,142.0,0.0,142.0,,,142.0,142.0,,325.618,0.435,0.3,0.3,334.31,0.425,0.295,0.295,
07/04/1998,2484.0,,,-1948.0,,536.0,,-262.0,,,274.0,-72.0,75.0,75.0,,,0.0,,-3.0,202.0,-86.0,116.0,-48.0,,,164.0,0.0,164.0,,,164.0,164.0,,327.226,0.5,0.355,0.355,336.054,0.49,0.35,0.35,
10/03/1998,2352.0,,,-1873.0,,479.0,,-252.0,,,227.0,-49.0,,37.0,,,0.0,,12.0,178.0,-70.0,108.0,-34.0,,,142.0,0.0,142.0,-0.25,,141.75,141.75,,324.312012,0.435,0.335,0.335,332.231995,0.425,0.325,0.325,
01/02/1999,2595.0,,,-2065.0,,530.0,,-285.0,,,245.0,-52.0,,36.0,,,0.0,,16.0,193.0,-73.0,120.0,-40.0,,,160.0,0.0,160.0,-0.25,,159.75,159.75,,314.450012,0.51,0.38,0.38,321.959991,0.5,0.37,0.37,
04/03/1999,2749.0,,,-2204.0,,545.0,,-284.0,,,261.0,-25.0,-3.0,13.0,-16.0,,0.0,,28.0,236.0,-91.0,145.0,-1572.0,,,1717.0,0.0,1717.0,-0.25,,1716.75,1716.75,,305.034,5.63,0.475,0.475,312.224,5.5,0.465,0.465,
07/03/1999,2887.0,,,-2270.0,,617.0,,-346.0,,,271.0,-12.0,-3.0,3.0,-6.0,,0.0,,15.0,259.0,-97.0,162.0,0.0,,,162.0,0.0,162.0,-0.25,,161.75,161.75,,301.024,0.54,0.54,0.54,308.192,0.525,0.525,0.525,
10/02/1999,2709.0,,,-2153.0,,556.0,,-300.0,,,256.0,-20.0,11.0,11.0,,,0.0,,9.0,236.0,-90.0,146.0,0.0,,,146.0,0.0,146.0,-0.25,,145.75,145.75,,300.138,0.485,0.485,0.485,306.812,0.475,0.475,0.475,
01/01/2000,3368.0,,,-2474.0,,894.0,,-388.0,,,506.0,-233.0,29.0,29.0,,,0.0,,204.0,273.0,-103.0,170.0,-31.0,,,201.0,0.0,201.0,-0.25,,200.75,200.75,,296.618,0.675,0.57,0.57,302.534,0.665,0.56,0.56,
04/01/2000,3237.0,,,-2609.0,,628.0,,-332.0,,,296.0,-46.0,33.0,33.0,,,0.0,,13.0,250.0,-92.0,158.0,59.0,,,99.0,0.0,99.0,-0.25,,98.75,98.75,,292.562,0.335,0.54,0.54,297.636,0.33,0.53,0.53,
07/01/2000,3222.0,,,-2541.0,,681.0,,-340.0,,,341.0,-57.0,41.0,41.0,,,0.0,,16.0,284.0,-105.0,179.0,0.0,,,179.0,0.0,179.0,-0.25,,178.75,178.75,,287.962,0.625,0.625,0.625,292.608,0.615,0.615,0.615,
09/30/2000,3134.0,,,-2399.0,,735.0,,-335.0,,,400.0,-149.0,42.0,42.0,,,0.0,,107.0,251.0,-93.0,158.0,0.0,,,158.0,0.0,158.0,-0.25,,157.75,157.75,,286.37,0.55,0.55,0.55,290.65,0.54,0.54,0.54,
